K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T8_2.PV
55.33755;138.1123;52.34958;66.43984;76.44583
55.48906;138.1857;52.30479;66.49412;76.42886
55.71011;137.7203;52.11031;66.43958;76.42031
55.53125;137.7594;52.11323;66.41151;76.41698
55.51609;138.232;52.37437;66.46609;76.41594
55.54047;138.1605;52.37698;66.47859;76.40063
55.55969;137.7888;52.14625;66.39417;76.39073
55.56229;137.8044;52.15865;66.39313;76.38698
55.63448;138.2167;52.28614;66.48933;76.37354
55.46542;137.7503;52.08146;66.4151;76.36948
55.60386;137.8248;52.13823;66.40995;76.35812
55.72313;138.4121;52.22448;66.46948;76.34541
55.50865;137.8476;52.14427;66.41239;76.32719
55.4439;137.6484;51.88833;66.40396;76.32562
55.44917;137.9804;52.05177;66.40697;76.32052
55.45401;137.768;51.90313;66.33807;76.31771
55.48302;137.7088;51.86854;66.3839;76.31364
55.5825;137.6377;52.17479;66.41698;76.31156
55.39245;137.8807;52.0775;66.38578;76.30959
55.10729;137.7225;51.84104;66.39172;76.30813
55.69021;137.8456;51.85729;66.29516;76.30427
55.30099;137.8632;52.06896;66.42401;76.30375
55.57802;137.9557;51.9474;66.41156;76.30271
55.50167;138.5081;52.21719;66.45557;76.30135
55.42136;137.6999;51.88396;66.38443;76.30115
55.35729;137.7352;51.85386;66.35031;76.29469
55.37318;137.7088;51.8676;66.38786;76.29396
55.6375;137.8611;52.0924;66.40948;76.29333
55.28495;137.494;51.93261;66.34297;76.28906
55.38073;137.9103;52.13104;66.39302;76.28792
55.13906;137.9222;51.9901;66.44933;76.28615
55.7599;137.5607;52.03021;66.40599;76.28083
55.37135;137.5406;51.97698;66.37714;76.27187
55.43292;137.6603;52.19344;66.42552;76.26531
55.3774;137.948;52.13594;66.42963;76.26229
55.24672;138.0825;51.99677;66.42599;76.26218
55.29724;137.843;52.03073;66.43896;76.25291
55.755;137.5697;51.91823;66.40797;76.24625
55.79703;138.495;52.25021;66.45724;76.24625
50.61349;135.7285;51.55052;62.34016;76.23917
55.06052;138.2206;51.98604;66.4237;76.23875
