K5PCV5I.PV;K5PCV6I.PV
97.69187;97.58885
97.69172;97.57125
97.69172;97.5576
97.69167;97.54787
97.69151;97.55646
97.69146;97.56849
97.69135;97.5789
97.69135;97.56823
97.6913;97.55666
97.69125;97.55724
97.69109;97.59843
97.69109;97.56161
97.69099;97.62286
97.69094;97.55875
97.69083;97.57505
97.69083;97.61344
97.69078;97.60526
97.69073;97.56911
97.69067;97.61047
97.69067;97.56672
97.69057;97.56703
97.69057;97.55937
97.69052;97.60989
97.69052;97.59963
97.69047;97.56406
97.69047;97.61807
97.69041;97.5611
97.69037;97.62453
97.69036;97.62605
97.69036;97.56151
97.69026;97.55224
97.69006;97.57
97.69005;97.62995
97.68995;97.57526
97.6898;97.56677
97.68979;97.57619
97.68964;97.57526
97.68964;97.60594
97.68958;97.61083
97.68948;97.56036
97.68938;97.57735
97.68938;97.61729
97.68932;97.60943
97.68932;97.56047
97.68927;97.57214
97.68912;97.57068
97.68912;97.6189
97.68912;97.55229
97.68912;97.55276
97.68906;97.58542
97.68906;97.56104
97.68896;97.56073
97.68896;97.55833
97.6889;97.57344
97.68886;97.56781
97.68885;97.54745
97.6888;97.61641
97.68875;97.57078
97.68875;97.54719
97.6887;97.5599
97.68854;97.61542
97.68849;97.61245
97.68849;97.56771
97.68833;97.59078
97.68823;97.56567
97.68797;97.55875
97.68791;97.57547
97.68776;97.56667
97.68755;97.55182
97.68713;97.5775
97.68682;97.57912
97.68677;97.54802
97.68672;97.62334
97.68641;97.57099
97.68641;97.56078
97.6864;97.56656
97.6864;97.60745
97.68625;97.60646
97.6862;97.62094
97.6862;97.62255
97.68615;97.58021
97.68614;97.60516
97.68604;97.57687
97.68604;97.56718
97.68568;97.55563
97.68562;97.56714
97.68547;97.61656
97.68542;97.57588
97.68521;97.61427
97.68521;97.61125
97.6852;97.56781
97.68516;97.59828
97.6851;97.56979
97.6851;97.55724
97.68505;97.57156
97.68505;97.58052
97.685;97.57682
97.685;97.56031
97.68494;97.58537
97.6849;97.62141
97.68484;97.58146
97.68484;97.61203
97.68484;97.5988
97.68484;97.60583
97.68479;97.56458
97.68453;97.59578
97.68417;97.62474
97.68411;97.55802
97.68396;97.57021
97.68375;97.58115
97.6837;97.57291
97.6837;97.56745
97.6837;97.54359
97.68365;97.62557
97.68354;97.55422
97.68339;97.57901
97.68339;97.61979
97.68323;97.5527
97.68317;97.56057
97.68307;97.57417
97.68307;97.61526
97.68302;97.57943
97.68291;97.61365
97.68286;97.56219
97.68281;97.55406
97.68271;97.61922
97.68271;97.55745
97.68266;97.57667
97.68266;97.59484
97.68255;97.56776
97.68234;97.57818
97.68234;97.60609
97.68229;97.57818
97.68229;97.60401
97.68229;97.61203
97.68229;97.60365
97.68229;97.55083
97.68224;97.57104
97.68208;97.56198
97.68198;97.61292
97.68188;97.57578
97.68188;97.55547
97.68182;97.56844
97.68177;97.55432
97.68172;97.56406
97.68156;97.5662
97.68156;97.55193
97.68151;97.56693
97.6813;97.57109
97.68125;97.58625
97.68125;97.5537
97.6812;97.57073
97.68114;97.56683
97.68114;97.56307
97.68109;97.57234
97.68104;97.5688
97.68099;97.62693
97.68094;97.5751
97.68083;97.58125
97.68083;97.5562
97.68083;97.56084
97.68037;97.54787
97.68021;97.59786
97.68015;97.57984
