K5PC5CH.OP;K5T5_2.PV;K5F3.PV
52.73672;760.0563;3046.419
53.10313;760.0172;3066.996
55.47479;759.9255;3076.625
52.64359;759.8797;3052.257
56.44761;759.8635;3088.494
55.73146;759.8214;3080.258
56.30656;759.8162;3114.426
55.45922;759.7839;3091.784
56.37979;759.7662;3123.594
55.72469;759.7547;3077.216
53.15906;759.7453;3057.633
53.13411;759.7391;3063.764
55.62912;759.7292;3078.245
52.80031;759.6328;3061.76
55.43073;759.6302;3084.24
56.46042;759.6141;3117.866
55.66646;759.6;3100.632
53.18349;759.5531;3069.383
56.34609;759.5406;3122.114
57.03307;759.5328;3172.836
55.78318;759.5021;3078.302
52.86146;759.4771;3056.213
53.13266;759.4651;3073.971
56.53432;759.4495;3095.712
53.13208;759.4396;3067.323
55.41026;759.4036;3077.024
52.68766;759.3932;3061.411
53.13042;759.3896;3065.866
55.46542;759.3672;3093.184
55.69011;759.3651;3076.554
53.16589;759.361;3067.867
54.34042;759.3495;3043.393
56.31776;759.3474;3092.166
55.47276;759.3026;3090.473
56.49083;759.2802;3093.839
55.60146;759.2584;3088.268
55.52141;759.2495;3080.16
53.3137;759.2266;3073.951
55.52636;759.2073;3076.525
55.3987;759.1969;3082.785
54.66828;759.1906;3077.696
53.13334;759.175;3064.52
53.06213;759.1661;3069.1
55.57802;759.1396;3090.88
55.45401;759.1229;3090.002
55.5901;759.1156;3080.629
55.36911;759.1083;3088.781
55.55792;759.1016;3086.185
53.18771;759.0776;3062.334
56.48359;759.049;3091.686
55.31958;759.0385;3086.305
56.6237;759.0313;3086.117
52.74552;759.0026;3052.488
55.80875;758.9906;3068.028
55.7599;758.9865;3081.638
56.31401;758.9636;3093.761
55.6;758.9625;3077.371
55.80698;758.9531;3086.8
55.30099;758.9281;3081.433
55.55536;758.9219;3074.882
55.73875;758.913;3076.225
55.43636;758.9068;3078.39
55.55969;758.9031;3105.5
52.6513;758.8943;3057.055
55.67719;758.8922;3083.295
53.34589;758.8484;3064.161
56.44078;758.837;3099.489
55.93177;758.8354;3083.282
56.44224;758.8187;3085.718
55.48646;758.8088;3075.258
55.40635;758.8052;3077.315
53.10958;758.788;3071.051
52.7113;758.787;3078.777
55.33167;758.7781;3086.05
55.42422;758.7646;3081.098
53.06635;758.7537;3072.694
55.64797;758.7443;3082.338
55.52422;758.7365;3086.317
53.15641;758.7271;3070.91
55.44224;758.7219;3074.303
56.48109;758.7136;3094.23
55.44453;758.7037;3085.834
53.26026;758.6974;3070.411
52.69927;758.6859;3088.195
55.61177;758.6724;3075.614
55.71011;758.6682;3090.205
53.00042;758.662;3065.405
55.67641;758.6474;3081.967
56.27422;758.639;3082.553
55.50865;758.6302;3077.945
55.52271;758.6281;3078.227
53.18068;758.624;3064.923
56.51234;758.6161;3095.749
52.60771;758.6146;3077.161
55.60812;758.6135;3080.53
55.55906;758.6104;3064.31
52.67177;758.6057;3058.643
56.36719;758.5849;3110.89
55.53667;758.574;3084.147
52.78625;758.5719;3061.461
55.53005;758.5656;3080.524
55.70198;758.5568;3103.78
55.36068;758.5547;3083.101
52.91729;758.5432;3050.614
56.44292;758.5135;3086.368
55.57724;758.5099;3074.267
55.57255;758.5057;3080.649
56.32323;758.4922;3098.397
55.50005;758.4891;3082.008
55.41677;758.4875;3075.421
53.21104;758.4833;3063.861
52.80359;758.4807;3069.327
53.17219;758.4802;3066.37
53.08385;758.4557;3065.633
56.36224;758.4484;3091.06
52.61094;758.4297;3043.832
56.56224;758.4245;3111.748
55.47005;758.4114;3077.177
52.7387;758.4094;3056.177
55.74682;758.4011;3077.732
55.7576;758.3849;3080.948
53.07714;758.3834;3070.256
56.48604;758.3724;3103.953
55.52245;758.3615;3084.456
52.99287;758.3599;3073.347
56.27229;758.351;3113.107
55.33417;758.3406;3089.734
55.21479;758.3386;3082.587
53.14766;758.3365;3074.114
55.54724;758.3349;3081.454
55.25901;758.3292;3082.011
52.85568;758.3083;3048.858
52.8413;758.3026;3079.613
56.60927;758.2891;3116.706
52.89115;758.288;3067.937
53.17453;758.2849;3070.998
52.73469;758.2839;3050.891
56.66297;758.2802;3084.675
53.19828;758.2797;3071.318
55.62693;758.2781;3080.25
53.01437;758.2776;3069.86
52.76052;758.2745;3058.839
53.30354;758.2734;3065.583
56.65359;758.264;3089.604
52.80162;758.2589;3063.591
52.74875;758.2505;3052.43
55.78458;758.2318;3079.043
55.43495;758.2141;3078.8
55.4574;758.2109;3080.699
53.0899;758.2078;3072.154
53.04286;758.2021;3062.451
55.47432;758.1984;3078.272
53.18469;758.1906;3073.384
56.69255;758.1896;3092.327
55.57755;758.1729;3092.728
55.91302;758.1729;3082.029
55.36422;758.1713;3084.264
53.10688;758.1713;3065.786
56.60698;758.1682;3116.489
55.4625;758.1667;3085.377
52.74198;758.1511;3055.702
55.57568;758.1448;3079.117
56.53635;758.1354;3091.711
55.67901;758.1172;3084.465
53.13839;758.0943;3058.94
55.46193;758.0646;3083.652
55.62151;758.049;3078.286
52.8688;758.0359;3060.919
55.40818;758.0162;3076.976
53.10005;758.013;3061.801
52.72458;757.987;3051.018
55.46401;757.9823;3072.98
56.29662;757.9771;3121.699
53.16766;757.9745;3065.024
52.81995;757.9714;3068.638
53.24505;757.9698;3073.004
55.64974;757.9656;3083.288
56.57375;757.9625;3090.063
52.81734;757.962;3060.979
56.54515;757.9599;3080.321
53.14391;757.9573;3064.834
55.54281;757.9396;3032.64
55.3676;757.938;3067.745
55.3774;757.9302;3082.113
55.53896;757.9297;3080.257
52.75338;757.9182;3065.216
55.06052;757.9146;3080.132
55.4749;757.9109;3080.77
56.21062;757.9078;3085.624
53.10271;757.9057;3062.665
55.38073;757.9021;3079.442
55.37318;757.8927;3091.555
54.52146;757.8922;3089.844
55.50625;757.8922;3050.948
55.48906;757.8859;3079.512
55.54911;757.8812;3090.2
53.14375;757.8588;3058.616
53.2026;757.8505;3062.413
56.49682;757.8411;3087.686
56.54901;757.8391;3092.672
56.52151;757.8349;3083.994
55.73037;757.8234;3085.371
53.16271;757.8209;3062.571
52.77666;757.8193;3048.83
55.29724;757.8135;3074.978
52.9012;757.8125;3056.66
55.3887;757.8021;3089.915
55.45839;757.7932;3087.174
55.51963;757.7922;3086.392
55.72313;757.7885;3081.135
53.2438;757.7875;3066.34
53.1974;757.7708;3069.982
55.40213;757.7516;3086.204
53.19297;757.7453;3067.713
55.6375;757.7422;3084.572
53.06167;757.7422;3073.144
52.6337;757.7411;3066.45
55.60219;757.7333;3077.87
55.72818;757.7203;3078.629
55.69552;757.6974;3078.794
56.2962;757.6927;3086.63
52.71599;757.6885;3043.976
55.50089;757.687;3087.439
54.97573;757.6828;3138.477
55.65615;757.6807;3072.967
55.57854;757.6755;3070.38
55.43292;757.6682;3072.648
55.51891;757.6661;3080.043
52.76292;757.6651;3068.343
53.05219;757.6547;3069.52
52.88271;757.649;3060.404
55.38245;757.6453;3086.18
55.57578;757.6323;3081.848
52.99854;757.624;3071.071
55.6163;757.6229;3068.295
55.60693;757.6198;3086.555
53.13375;757.6099;3066.216
52.86469;757.6073;3070.272
55.43489;757.6057;3087.3
55.70026;757.6016;3076.523
55.48781;757.5938;3085.13
53.00859;757.5776;3066.938
56.57833;757.5729;3082.684
56.39838;757.5662;3105.563
53.2187;757.5646;3072.147
56.47203;757.5625;3099.532
55.35844;757.5568;3070.349
56.55959;757.551;3092.184
55.38792;757.5448;3083.727
53.06344;757.5344;3068.375
55.37604;757.5292;3073.511
55.50182;757.5276;3088.528
55.43005;757.5261;3090.592
56.50875;757.5245;3104.449
55.59005;757.5234;3084.212
52.76479;757.5146;3055.053
52.8061;757.5109;3067.12
52.82885;757.4823;3068.019
53.05375;757.4807;3065.998
55.39;757.475;3085.696
55.51313;757.4734;3083.897
55.60724;757.4604;3074.273
55.44807;757.4568;3076.149
55.42193;757.4401;3067.971
55.15583;757.4255;3105.018
56.53349;757.4224;3090.469
55.40229;757.4146;3061.999
53.11505;757.4068;3069.023
55.65047;757.4005;3088.189
52.86057;757.387;3064.614
55.59464;757.3787;3080.774
56.41521;757.3698;3093.671
55.62943;757.3682;3080.118
55.36323;757.3677;3085.367
56.58974;757.361;3092.652
52.76031;757.3563;3057.817
55.48167;757.3489;3086.275
56.29802;757.3484;3094.52
52.78427;757.3474;3044.861
53.14745;757.3458;3072.274
52.62703;757.3359;3054.347
56.49437;757.3333;3089.16
53.19828;757.3318;3064.517
55.66193;757.3312;3087.381
52.80526;757.3109;3048.318
55.5175;757.301;3084.235
53.14162;757.2995;3067.67
56.50281;757.299;3085.984
55.35151;757.2985;3088.336
53.13391;757.2963;3073.469
56.42906;757.2896;3100.268
56.58458;757.288;3094.96
55.22562;757.2875;3082.458
56.23406;757.2854;3087.318
55.26578;757.2813;3082.078
56.45078;757.2792;3091.809
56.46448;757.2755;3097.446
56.52089;757.2656;3085.298
55.59896;757.2615;3086.351
55.32245;757.2578;3079.423
56.37734;757.2224;3084.898
55.64552;757.2141;3082.931
52.70432;757.2125;3050.855
55.24203;757.2021;3063.746
56.35417;757.1698;3096.917
55.60365;757.163;3082.38
54.44802;757.1594;3049.76
55.60578;757.1531;3071.073
55.63005;757.1516;3079.902
55.43328;757.1396;3076.71
55.6326;757.138;3079.429
56.56615;757.1349;3090.728
52.63297;757.1281;3044.693
55.60844;757.1188;3086.771
55.52365;757.113;3081.301
52.72719;757.111;3039.419
52.82495;757.1104;3066.393
55.49599;757.1099;3081.155
52.72932;757.0979;3057.008
55.55443;757.0917;3078.66
56.42719;757.0911;3090.764
55.57005;757.0859;3082.597
53.2287;757.0818;3072.302
55.71094;757.0787;3079.018
55.68943;757.0745;3085.205
56.53849;757.074;3088.26
55.50693;757.0646;3080.27
56.20187;757.063;3078.648
53.115;757.0552;3072.787
55.43636;757.0552;3051.235
55.63307;757.0541;3074.958
55.51208;757.051;3088.166
55.50604;757.0474;3079.791
53.20479;757.0463;3065.602
55.57677;757.0458;3082.76
52.56276;757.0396;3065.542
55.50198;757.0385;3074.375
55.55677;757.0354;3085.918
55.20969;757.0203;3085.775
56.47302;757.0146;3100.139
55.74703;757.012;3082.865
55.67026;757.0115;3079.16
55.39333;757.0099;3081.961
53.08562;757.0068;3083.525
55.58505;757.0062;3076.3
55.87047;756.9995;3083.469
56.42406;756.9984;3104.316
56.54698;756.9953;3086.194
55.57729;756.9948;3080.766
55.36656;756.986;3077.486
