K5PC5CH.OP;K5PCV5I.PV;K5T4.PV;K5P21.PV;K5T18_2.PV;K5T7.PV;K5P19_2.PV;K5P19_1.PV;K5PC6CH.OP;K5HCV63I.PV;K5HCV62I.PV;K5T9_1.PV;K5T9_2.PV;K5T8_1.PV;K5T8_2.PV;K5T8_3.PV;K5PCV6I.PV;K5T10_1.PV;K5T10_2.PV;K5P18_1.PV;K5P18_2.PV;K5P23.PV;K5P24.PV;K5P20.PV;K5T5_1.PV;K5T5_2.PV;K5T18_1.PV;K5T8_4.PV;K5T8_5.PV;K5T8_6.PV
29.16151;96.54832;110.0732;-290.4602;79.60711;39.52743;-269.7383;-317.8453;42.64561;96.94007;0;21.69234;20.10181;48.1815;59.60586;101.6282;95.34618;73.18196;90.10819;-64.80054;-71.93657;0.6122535;0.6837548;-824.0093;575.0162;668.9897;210.0422;93.33189;98.1699;143.4937
29.27619;96.41726;109.4441;-296.1521;80.39757;37.58203;-267.0655;-315.7982;42.95026;96.64465;0;20.38228;18.9912;46.23335;57.87431;100.701;95.1829;74.13808;89.49928;-64.83885;-72.68743;0.6292046;0.6971489;-821.4968;576.1835;670.3198;210.8246;92.24976;97.26915;143.1756
31.50435;96.31897;111.7265;-310.0117;81.83503;38.19651;-263.4087;-312.8396;44.46053;96.8404;0;20.96322;19.47194;47.77956;59.04487;102.0726;95.37141;76.48598;91.16395;-65.80417;-74.04956;0.6718405;0.7432709;-815.0524;581.8292;680.3489;213.7011;93.76206;98.95304;145.1544
32.91343;96.29128;113.4233;-318.0602;82.68428;39.22445;-262.2098;-311.9266;45.49808;97.09773;0;21.54138;20.21458;49.02413;60.20205;103.3667;95.58728;78.47627;92.2709;-66.39665;-74.42295;0.6963038;0.7732988;-811.0739;582.1085;682.7997;215.9714;95.22089;100.5505;146.9561
34.59324;96.46824;114.7747;-327.8894;83.11144;40.07597;-260.5485;-310.8236;46.71793;97.39796;0;22.18461;20.15446;50.67341;61.24419;104.439;95.78455;78.611;93.07278;-67.31948;-74.94744;0.7229144;0.8059146;-806.4493;585.1682;688.5678;217.2103;96.42132;101.817;148.091
35.6139;96.7511;115.7905;-330.3683;82.66502;41.85437;-260.859;-311.4186;47.33128;97.6049;0;23.27858;21.55053;52.52466;63.13401;105.1747;95.73611;77.88777;93.69609;-67.74963;-74.55604;0.72651;0.8139245;-805.5347;580.7367;685.2949;217.7448;97.46637;102.8485;148.8245
35.85681;96.89775;117.1427;-327.5997;83.19077;43.82458;-263.7269;-313.9453;47.63398;97.49432;0;24.77125;22.4952;54.40248;65.01934;106.7342;95.80535;74.05736;94.54416;-67.62563;-72.99368;0.7189739;0.8130657;-806.3354;577.2811;682.467;218.126;99.2003;104.4542;149.8617
36.05956;96.9055;117.8808;-325.1661;82.41154;45.20034;-265.8848;-315.1887;47.76978;97.62291;0;25.73545;25.50916;55.50154;66.63422;107.7405;95.82516;76.76127;95.0139;-68.40021;-72.32877;0.7131894;0.8133811;-806.4006;576.1167;681.0222;218.2899;100.354;105.4821;150.5033
34.57165;96.94001;114.1798;-317.1504;78.5652;41.23802;-267.2412;-316.0732;46.29154;97.45593;0;21.443;21.07355;52.30627;62.33342;104.6068;95.5994;78.16429;91.55879;-66.72585;-72.09038;0.6878854;0.7828533;-810.091;575.8885;678.726;216.9717;97.04871;102.4742;148.3488
33.93195;96.86415;113.3295;-314.6248;79.01286;40.26807;-266.3558;-315.5276;45.78149;97.13403;0;21.27818;20.67577;51.0031;61.52364;103.8666;95.26556;76.52168;91.47911;-66.06491;-72.65162;0.6821985;0.7706643;-811.4841;577.6559;678.961;216.3797;96.01524;101.4025;147.4828
31.99164;96.66527;110.1487;-305.1492;77.24636;37.0692;-267.2354;-315.9189;44.13393;96.80139;0;18.6607;17.87311;47.74717;58.40214;101.4978;94.96208;75.0772;89.49003;-64.06824;-72.4995;0.6516719;0.7295697;-816.5999;576.1672;677.77;214.2482;92.92376;98.29442;144.8468
34.82315;96.40325;113.596;-331.4874;81.11062;38.29315;-259.3617;-309.9652;46.81103;96.65753;0;20.27137;19.48957;49.12806;59.92582;103.2622;94.96503;73.18319;91.84342;-66.48304;-74.95342;0.7317526;0.8146427;-804.0622;584.0978;688.5229;218.6032;95.21812;101.0047;147.8861
30.14186;96.40888;108.9711;-290.4332;77.54546;37.95804;-270.0562;-318.04;42.86312;96.62971;0;20.08862;18.82808;47.43592;58.00979;101.2756;95.0918;71.51199;89.40263;-63.90234;-71.9408;0.6127844;0.6839389;-822.8824;571.6024;665.4084;211.161;93.02833;97.97246;143.8587
30.97768;96.35586;109.9308;-295.4832;78.47611;38.70122;-268.7881;-316.7438;43.60768;96.55311;0;20.51056;19.33056;47.76529;58.24129;101.7295;95.23555;71.36284;89.91574;-64.72784;-72.47472;0.630074;0.7040838;-820.2807;573.902;669.0796;212.3519;93.70562;98.69159;144.5719
