K5T14.PV;K5T3.PV;K5TCV2I.PV;K5F6X.PV;K5T15.PV;K5P8.PV
367.9853;190.2248;42.49599;29.51268;124.85;3.986387
367.9756;196.6237;41.96922;32.14408;119.7546;4.030147
367.975;196.4042;41.96526;32.46423;119.8292;4.022781
367.975;188.8488;26.76698;30.55663;125.1679;4.045206
367.9731;190.5452;43.70161;29.82067;125.2981;4.008781
367.9709;190.301;43.69792;29.84096;125.3604;3.999369
367.9675;190.3717;43.69901;30.06452;125.396;3.996681
367.9653;196.3229;41.95031;32.3597;119.4371;4.014456
367.9578;190.58;43.70589;30.03384;125.2033;3.996819
367.9469;187.7831;26.77172;30.1546;125.785;4.002681
367.9388;196.424;41.95708;32.25248;119.8067;4.022553
367.9369;187.9602;26.76745;30.10936;125.4229;4.005638
367.9291;196.5752;41.95547;32.28942;119.751;4.034338
367.9063;196.3544;41.96437;32.31435;119.8192;4.030022
367.8953;190.7204;43.71432;29.96236;125.2681;4.01155
367.8888;187.9681;26.76859;30.36529;124.9202;4.015503
367.8856;189.7506;42.10229;29.32718;124.8069;3.978656
367.8788;190.3044;26.76011;31.30399;125.6831;4.042622
367.8775;188.8725;42.10938;29.0817;125.3567;3.983525
367.8766;187.8617;26.77338;29.98087;125.4919;4.004453
367.8756;190.6617;26.76912;31.62391;125.7135;4.057322
367.8716;187.8919;26.76807;30.00194;125.3679;4.007881
367.8612;196.2602;41.96422;32.4355;119.8944;4.018684
367.8588;196.054;41.95016;32.46871;119.1794;4.01485
367.8416;189.25;42.09682;29.31767;125.0325;3.973362
367.8372;190.2865;43.71823;29.98512;124.9675;3.995341
367.8072;189.0515;26.77813;30.4548;125.6827;4.041356
367.7856;190.2373;43.70542;30.08846;125.1346;3.996125
367.7809;189.1987;42.10427;29.16097;124.9102;3.971553
367.7772;190.1685;43.71516;29.83074;125.4944;3.992819
367.7634;196.4192;41.95469;32.1128;119.7688;4.033397
367.7616;189.1696;26.76917;30.84759;126.0592;4.01125
367.76;189.4144;42.10203;29.26772;124.769;3.977441
367.755;187.8433;26.76937;30.0741;125.3433;4.012415
367.7538;190.0979;43.71318;29.81553;125.0413;3.991334
367.7347;187.9048;26.76687;30.48995;125.7473;4.009031
367.7337;190.2531;43.70927;29.91961;125.0888;3.995209
367.7294;189.2744;42.10286;29.22529;125.1152;3.974366
367.71;190.6387;43.70792;30.19553;125.3646;4.007266
367.709;190.4106;43.71193;30.18068;124.6898;3.986613
367.6641;187.4369;26.77521;29.96799;124.9246;4.007563
367.6559;189.5702;42.10646;29.26574;124.7646;3.976103
367.6525;195.719;41.9701;31.83774;117.7752;3.983438
367.6453;190.2231;43.71078;30.08158;125.1392;3.992397
367.6381;190.0112;43.6963;30.10783;125.1508;3.990737
367.6353;191.0063;26.76287;32.11455;125.4717;4.047791
367.6341;188.3825;26.77526;30.87716;125.6198;3.997988
367.6338;190.3602;43.70458;30.14859;124.6765;3.986125
367.6303;190.1492;43.70099;30.01694;124.7802;3.990647
367.6278;190.1369;43.715;30.04435;124.896;3.988231
367.6259;190.1258;43.71021;30.02522;124.8425;3.989388
367.6156;188.9835;26.76479;30.80358;125.254;4.045166
367.6078;189.7656;26.76229;31.44617;125.7758;4.049894
367.6013;188.6021;26.78016;30.9233;125.7394;3.99485
367.5956;190.4281;43.69266;30.14289;124.7431;3.9916
367.5656;190.4585;26.77031;31.33824;125.6331;4.055566
367.5587;188.7312;42.10724;29.13221;125.4081;3.983797
367.5506;190.1427;43.70422;29.76859;125.7096;3.995034
367.55;187.7881;26.76531;29.99976;125.5392;4.003963
367.5478;188.8412;26.77208;31.03304;125.8754;4.002125
367.5456;187.6856;26.76583;30.34019;125.2654;4.010031
367.5262;187.6983;26.77719;30.22361;125.9717;4.018694
367.5225;193.1475;44.70021;31.47778;125.931;4.025312
367.5191;187.8217;26.76813;30.18181;125.346;4.015466
367.5141;188.1406;26.76151;30.69454;125.511;3.9939
367.5125;190.6133;43.70198;30.21338;126.0608;4.005047
367.5116;188.8715;26.77021;30.91588;125.996;4.0083
367.5056;187.9275;26.7801;30.06381;125.3669;4.010472
367.5031;190.4263;43.71323;30.1937;124.6985;3.988725
367.4937;187.9242;26.76078;30.43398;125.1123;4.0153
367.4912;189.9402;43.7137;29.84705;124.9808;3.990969
367.4813;190.4096;26.76333;31.27892;125.8117;4.045372
367.48;190.2675;43.70656;30.01368;124.9788;3.995109
367.4766;187.7977;26.76677;29.97864;125.9042;4.020922
367.4703;189.0881;42.11552;29.32102;125.2038;3.976781
367.4587;190.6021;43.69912;30.24374;126.0596;4.004522
367.4587;187.7667;26.77094;30.33777;125.1792;4.015156
367.4562;187.6712;26.76984;29.9113;125.989;3.997872
367.4478;187.8373;26.77557;30.3248;125.3887;4.017072
367.4453;192.0827;44.69557;30.65538;125.624;4.006603
367.4213;199.1313;26.99922;32.13367;114.0171;4.021
367.4175;190.1731;43.71302;30.22754;124.7523;3.983588
367.4041;188.0075;26.76016;30.25614;125.7185;4.000841
367.4;187.7865;26.76089;30.18304;125.0152;4.01299
367.3931;187.7727;26.77057;30.14965;125.5073;4.017953
367.3881;187.361;26.76833;30.23573;125.1104;3.995166
367.3819;199.0065;23.6188;31.88284;113.8869;4.011288
367.3819;187.7885;26.76193;30.30161;125.2917;4.010159
367.3813;190.5098;43.70104;30.09636;126.1171;4.008053
367.3797;187.8735;26.77568;29.99681;125.7983;4.014225
367.3691;188.8079;42.09708;28.71191;125.2631;3.985588
367.3684;190.7406;43.71484;30.16413;125.4154;4.005328
367.3422;195.3288;41.96047;31.57711;117.5413;3.973741
367.3419;187.7092;26.76464;30.18962;125.5488;4.011
367.3213;187.7454;26.76979;30.0851;125.6483;4.023172
367.3172;187.8752;26.76453;30.19657;125.4792;4.021922
367.3169;188.7569;42.10609;29.15982;125.5133;3.986041
367.3153;187.7969;26.76859;30.22297;124.9481;4.013463
367.315;187.8315;26.76818;29.84459;125.6479;4.013397
367.3141;187.6862;26.76927;30.08361;125.7446;4.000778
367.3112;188.8315;26.77182;30.51104;125.46;4.044334
367.3094;187.8071;26.7688;30.02544;125.5402;4.003444
367.3065;190.6027;43.70432;29.88985;126.2227;4.00295
367.3016;188.2108;26.77203;30.38511;125.4671;4.021969
367.2984;188.0146;26.78307;30.49578;125.4437;4.017809
367.2863;188.0887;26.76443;30.56799;125.9417;4.013328
367.2794;187.559;26.77443;30.20469;125.4556;4.002566
367.2775;191.8454;44.68864;30.61165;125.7575;4.001915
367.2762;187.7917;26.77198;30.04932;125.6288;4.010984
367.2734;187.2065;26.76838;29.90318;125.0719;3.989944
367.2684;190.7177;43.69901;30.36921;126.0623;4.006453
367.2675;187.8854;26.77219;29.97391;125.739;4.015656
367.2597;190.4123;43.70625;29.88539;126.236;4.002081
367.2516;187.9685;26.76161;30.20061;125.5398;4.0242
367.2481;188.985;26.76984;30.54876;125.5423;4.044891
367.2469;187.5294;26.77547;30.27681;125.2225;3.988431
367.2425;190.0513;43.70417;29.96345;125.0229;3.994675
367.2397;188.0625;26.7712;30.23306;125.376;4.015553
367.2362;199.4598;31.69406;32.37525;114.2637;4.03026
367.2353;187.9277;26.76755;30.44598;125.4673;4.012703
367.2256;190.3127;43.70338;29.77103;125.8542;3.997822
367.2247;187.8038;26.76781;30.52947;125.83;4.001272
367.2219;187.8096;26.77625;30.11308;125.3921;4.011337
367.2213;190.9865;26.7662;31.83678;125.7548;4.046481
367.2094;187.9548;26.77016;30.17406;125.1006;4.015512
367.2066;190.0567;26.76109;30.85231;125.5381;4.055819
367.1938;190.7183;26.76042;31.43238;125.8823;4.042812
367.1919;188.2083;26.77453;30.39044;125.6852;4.019866
367.1916;188.2906;42.10896;28.56354;125.2321;3.975041
367.1766;188.2875;26.77417;30.13383;125.3642;4.026159
367.1741;188.6515;26.765;30.16008;125.4013;4.032031
367.1512;187.9588;26.76724;30.06178;125.4669;4.022678
367.1494;187.5127;26.77292;30.19917;125.2871;3.984534
367.1465;188.8571;42.10427;29.2637;125.4173;3.974072
367.1384;188.3321;41.14021;28.58616;125.1654;3.971725
367.1356;188.1544;26.76583;30.15414;125.2237;4.013553
367.1356;187.7437;26.77964;30.10097;125.4867;4.005435
367.1341;187.8356;26.77906;30.13603;125.5585;4.011216
367.1306;190.144;43.7063;29.98927;125.1054;4.003106
367.1294;187.864;26.77104;29.96777;125.996;4.015215
367.1269;188.0456;26.76245;30.08672;125.5442;4.019294
367.12;190.1565;43.70443;29.89881;124.8654;3.984281
367.1187;187.8804;26.77104;30.10041;125.5517;4.020916
367.1178;190.1508;43.69786;30.092;124.7842;3.981041
367.1106;190.4344;43.70797;30.02481;125.4415;4.001969
367.1084;188.655;42.10365;29.16106;125.5533;3.981847
367.1059;187.9452;26.7676;30.13568;125.4379;4.011162
367.1034;189.1052;26.77339;30.56557;125.5102;4.052316
367.101;187.5598;26.77;30.28113;125.3929;4.001784
367.1;190.8658;43.70349;30.27738;126.1373;4.007885
367.0916;187.3969;26.76745;29.67535;125.285;4.001263
367.0894;188.7071;42.10583;28.50726;125.2533;3.983034
367.0837;187.9198;26.75969;30.44002;125.4617;3.986137
367.0822;187.5169;26.7637;30.22582;125.3369;3.983897
367.0756;188.8919;42.09385;29.32421;125.5096;3.97595
367.0756;188.1735;26.77802;30.53609;126.0152;3.999731
367.0709;187.9606;26.76255;30.2299;125.5254;4.020875
367.0669;190.7442;43.7099;30.19806;126.2613;4.010781
367.0631;189.1377;42.1088;29.33259;125.2538;3.976134
367.0622;187.7465;26.76344;30.05735;125.6627;4.01815
367.0531;190.344;43.70734;30.02913;125.3129;3.999447
367.0516;187.0994;26.76891;29.83675;125.0683;3.987303
367.0497;192.6423;44.70021;31.36686;125.9121;4.01855
367.0419;187.5844;26.76375;30.44198;125.4142;3.978531
367.0385;187.9146;26.76979;30.22124;125.3917;4.01035
367.0375;190.8767;43.70515;30.15229;126.199;4.004334
367.0287;190.5294;43.70599;30.15246;125.3985;4.008237
367.0253;188.8469;26.7713;30.37406;125.8275;4.037781
367.0234;190.2242;43.70167;29.90761;125.2419;4.001537
367.0191;187.6756;26.75912;30.32497;125.4102;3.988306
367.0097;187.9748;26.76213;30.17946;124.9942;4.012797
367.0016;187.7275;26.77208;30.38165;125.4352;3.983106
366.9881;187.709;26.76406;30.12835;125.255;3.982891
366.9816;187.6385;26.76901;30.00077;125.7683;3.997066
366.9812;188.0877;26.76219;30.22693;125.3896;4.018387
366.9806;192.1317;44.70047;31.11804;125.7969;4.010819
366.9731;187.5529;26.76682;30.2471;125.9233;3.980025
366.9694;190.4083;43.69859;30.18072;125.385;4.002734
366.9662;189.8788;26.76948;31.51965;126.0123;4.052256
366.9653;189.9181;43.70417;29.9573;124.845;3.983869
366.9631;187.6496;26.7626;30.42791;125.4063;3.977872
366.9609;190.2513;43.71302;30.04448;125.3056;4.004325
366.9556;187.8994;26.77146;30.01692;125.5338;4.007119
366.9544;187.601;26.76813;30.04366;124.91;4.010603
366.9469;187.4283;26.77125;30.27818;125.8871;3.978306
366.9381;199.4002;35.62448;31.24034;114.785;4.036556
366.9275;187.9902;26.76396;30.37452;125.7508;4.007844
366.925;187.6381;26.7701;30.26537;125.345;4.003994
366.9166;187.6248;26.76729;29.84816;125.8529;4.012837
366.9131;187.6829;26.77958;30.22176;125.2354;4.01405
366.9;191.0056;43.71193;29.89056;126.1663;4.001803
366.8984;187.7113;26.77141;30.13384;125.509;4.006381
366.8906;189.1415;26.76932;30.29482;125.9992;4.0363
366.8878;187.63;26.77521;30.17227;125.4646;4.011541
366.8834;189.6237;26.76307;30.5989;125.481;4.052669
366.8806;188.0242;26.77031;29.65134;125.9729;4.016987
366.8731;195.1521;41.96172;31.47161;117.4077;3.975363
366.8694;187.8042;26.76661;29.77085;126.269;3.994378
366.8669;188.1263;40.25276;28.72612;125.109;3.970897
366.8641;187.491;26.77859;30.33016;125.3023;4.006647
366.8541;190.389;43.70562;29.73193;125.9919;3.999784
366.8541;187.8377;26.77141;30.22355;124.9296;4.012688
366.851;187.6035;26.76969;30.25937;125.7127;3.978366
366.8475;188.4413;26.77469;29.93777;126.1869;4.027462
366.8419;188.1296;26.76427;30.36483;125.3771;4.018125
366.8416;188.2842;26.76974;30.46119;125.9;4.015981
366.8378;187.8094;26.76411;30.06551;124.8873;4.010756
366.8362;187.4052;26.7699;30.05031;124.8929;4.009266
366.8284;187.5058;26.78;30.17136;125.5973;3.977147
366.8272;187.5121;26.76453;30.22668;125.4219;3.975038
366.8256;187.8829;26.77406;30.29086;125.9498;3.982175
366.825;198.586;23.62667;31.421;113.8942;4.004175
366.8234;187.7702;26.77729;30.38325;125.2887;4.004272
366.8181;188.1413;26.77344;30.4413;125.5333;4.017194
366.8169;191.4804;44.47922;30.23406;125.9508;3.997234
366.8159;187.8533;26.76984;30.22705;125.9254;3.980453
366.8159;187.724;26.75906;30.2608;125.3198;4.015403
366.8122;187.7527;26.7749;30.37199;125.8502;3.995597
366.7963;187.8194;26.75974;30.19637;125.2692;4.012531
366.7959;190.7542;43.70823;30.02144;126.1873;4.007565
366.7941;188.7842;42.09448;29.27768;125.5108;3.979966
366.7894;188.8321;42.10974;29.25025;125.6035;3.979941
366.7856;187.7331;26.7712;30.25803;125.5912;3.988375
366.7831;187.4896;26.76766;30.16661;125.4667;3.975231
366.7831;187.4629;26.75667;30.14431;125.8275;3.97825
366.7806;187.9119;26.76422;30.25315;125.3665;4.010106
366.78;191.0083;43.7038;29.97668;126.0596;3.998659
366.7728;188.7204;26.77182;30.17406;126.0362;4.029994
366.77;187.6248;26.77224;29.98557;125.8321;3.995275
366.7691;189.3931;23.15344;28.32324;125.106;4.039566
366.765;187.9167;26.77797;30.18259;125.4683;4.010019
366.7569;187.5531;26.76661;30.32775;125.525;3.978456
366.7481;186.9602;26.77151;28.53815;125.545;4.030806
366.7437;188.0852;26.76635;29.75058;126.1977;4.024478
366.7412;188.1742;26.76969;30.59703;126.1998;3.997444
366.7381;187.4231;26.7724;29.97094;125.2704;3.984069
366.7375;187.0837;26.76854;29.78946;125.1277;3.98315
366.7219;187.5456;26.76677;30.42529;125.8256;3.996741
366.7103;188.7823;42.0912;29.23579;125.6283;3.983675
366.7091;186.7244;26.77495;29.01945;125.6994;4.027978
366.7059;187.5446;26.76083;30.356;125.5958;3.976344
366.6966;191.3242;22.32057;28.59224;124.9296;4.037003
366.6844;187.6144;26.76354;30.36506;125.7535;3.991972
366.6797;199.3583;32.2537;32.19675;114.5367;4.036615
366.67;187.8446;26.78823;29.66352;126.0415;4.007587
366.6678;188.3412;24.93537;27.98454;125.2767;4.037097
366.6656;187.7035;26.76443;29.67069;125.6544;3.998231
366.6322;187.8435;26.76505;29.79261;126.1698;4.01021
366.6288;187.799;26.76536;30.50564;125.7702;3.999259
366.62;187.7069;26.76162;30.21355;125.7181;3.977616
366.6159;187.9138;26.7763;30.07722;125.624;4.019012
366.6128;187.915;26.76844;30.17765;125.8527;3.979194
366.6125;188.5994;42.09969;29.17422;125.6612;3.982403
366.6103;190.3473;43.70974;29.8133;126.0965;4.004516
366.6072;199.3956;34.23573;31.64935;114.7544;4.033875
366.6059;188.2444;26.76714;30.15628;125.5494;4.019044
366.601;188.7827;42.10297;29.15832;125.5546;3.978731
366.5934;187.7679;26.76641;30.24449;125.276;4.015853
366.5866;187;26.75912;29.77123;125.2048;3.985934
366.5609;187.3154;24.91167;27.85739;125.3452;4.031288
366.5606;187.2023;26.77656;29.98645;125.284;3.990772
366.55;187.8804;26.77115;29.92608;126.4444;3.997163
366.5441;188.6431;42.11271;29.18604;125.6208;3.983681
366.5434;188.325;26.75672;30.45023;126.131;4.017119
366.5353;188.1206;26.77557;30.30285;125.9873;4.00879
366.5191;187.7233;26.77417;30.50662;125.6819;3.998987
366.5119;186.9831;26.11302;28.17755;125.4165;4.030053
366.5031;186.8265;26.76854;28.97844;125.8729;4.023619
366.4912;188.1321;26.77615;30.31468;126.1442;4.009591
366.4825;195.2348;41.96875;31.4469;117.3421;3.974663
366.4709;189.8254;26.76922;30.947;126.2162;4.042609
366.4616;187.9742;26.76615;30.4331;126.0056;4.014978
366.4606;187.6;26.77859;30.37938;125.3163;4.000869
366.4366;187.1625;26.77693;30.00469;125.3002;3.985525
366.4325;187.496;26.77411;30.08958;125.9629;3.993138
366.4253;187.2698;26.76526;30.0176;125.3223;3.987684
366.4159;187.9404;26.7725;30.1092;126.436;4.000853
366.39;188.259;26.76823;30.31272;125.5798;4.017938
