K5T3.PV;K5TCV2I.PV;K5L2.PV
198.0904;14.27427;295.4172
206.7198;16.71208;295.4162
204.7098;10.34333;295.4155
204.5419;11.18557;295.4126
198.0106;14.25755;295.4119
204.42;10.345;295.4096
202.374;11.79531;295.4096
204.2992;11.18906;295.4093
204.6917;11.18484;295.405
203.989;10.34854;295.4047
202.0031;11.80161;295.4005
204.3262;10.35594;295.4001
201.9879;11.81333;295.3978
201.9877;11.80828;295.3978
203.835;10.34932;295.3972
201.3023;11.46422;295.3932
202.3481;11.81318;295.3889
202.314;11.80865;295.388
202.0004;11.81104;295.3857
207.1698;16.71266;295.3853
202.3785;11.79943;295.385
201.9552;11.80839;295.3831
204.579;11.18224;295.3791
206.9492;17.17802;295.3784
202.1252;11.80172;295.3781
201.9929;11.80359;295.3719
202.116;11.8001;295.3706
204.21;11.18833;295.3689
204.3344;10.35656;295.3689
195.636;14.7826;295.368
204.6879;11.18297;295.3676
206.9033;13.69219;295.3634
206.4858;10.35333;295.363
201.3223;11.3762;295.3614
206.7798;16.71703;295.3611
204.7573;11.18333;295.3597
202.3946;11.80641;295.3575
202.2123;11.80693;295.3558
207.3804;19.185;295.3535
204.1444;11.19229;295.3515
204.2477;10.35698;295.3512
204.5354;11.19042;295.3479
202.0177;11.80516;295.3473
207.1981;16.71865;295.3453
202.2231;11.8012;295.3447
201.5785;11.38672;295.3401
204.7777;11.18297;295.3371
204.47;10.35052;295.3368
206.8421;16.71531;295.3348
202.295;11.80219;295.3335
202.0927;11.80911;295.3279
204.5217;11.18557;295.3273
200.6342;13.72615;295.3263
207.0758;16.71443;295.326
204.1623;10.34651;295.3253
206.8483;16.70906;295.3224
202.3273;11.79734;295.3207
203.9092;11.19776;295.3171
206.8006;15.19672;295.3135
206.7604;16.70656;295.3128
202.2125;11.80349;295.3122
202.0165;11.80135;295.3092
204.1648;10.34313;295.3082
206.5642;15.19417;295.3056
202.3106;11.80667;295.305
206.7031;16.72318;295.3023
203.6996;10.35141;295.302
204.7158;11.1787;295.2971
207.3967;18.49255;295.2964
202.4465;11.19109;295.2915
202.0648;11.80943;295.2912
201.2292;11.37698;295.2908
203.9965;10.35052;295.2905
203.0983;11.19286;295.2892
201.9271;11.82057;295.2876
200.8913;11.3838;295.2859
204.7725;10.34401;295.2846
203.4029;11.19208;295.2836
204.1;10.34464;295.2836
199.4865;14.2675;295.2827
202.2575;11.80417;295.2807
