K5T3.PV;K5TCV2I.PV;K5L2.PV
201.154;11.37609;293.4038
196.3698;13.25297;293.4035
200.9802;11.3699;293.4035
195.6446;14.7576;293.4031
203.4104;13.20005;293.4028
200.5877;13.19323;293.4028
199.7775;14.26115;293.4028
201.4358;14.22552;293.4022
202.1271;14.00349;293.4018
195.7569;14.76417;293.4018
196.6029;13.26568;293.4018
199.2785;14.25792;293.4015
196.0831;13.24969;293.4012
200.5821;15.70906;293.4002
197.0852;13.24917;293.3992
201.1656;11.35766;293.3989
203.8075;11.18323;293.3986
200.1773;15.71302;293.3986
199.3887;15.71953;293.3986
199.3077;14.77802;293.3979
200.4365;14.24792;293.3979
197.0025;13.25484;293.3979
203.3565;13.20432;293.3972
203.2031;17.51339;293.3972
204.0515;11.18313;293.3969
203.9094;11.18573;293.3969
201.3237;14.24859;293.3969
199.8352;14.24245;293.3966
198.06;14.25859;293.3966
203.5437;13.19708;293.3962
200.6679;15.70833;293.3962
195.4931;14.77391;293.3962
196.6521;13.2476;293.3962
200.4487;15.71505;293.3959
195.4908;14.76469;293.3956
199.7752;15.71594;293.3946
195.62;14.7662;293.3946
203.8638;11.17922;293.394
200.5279;15.70828;293.394
195.6698;14.77177;293.3936
196.8202;13.24724;293.3933
201.011;11.3724;293.3926
203.9604;10.34917;293.3923
204.0025;11.17661;293.392
195.8448;14.77979;293.392
200.8498;14.24516;293.391
199.6915;14.23896;293.3904
200.9754;11.35932;293.3904
203.976;11.17599;293.39
205.0996;10.35208;293.39
201.3517;11.3625;293.39
198.7877;14.26354;293.3897
199.6375;15.70422;293.3893
195.4137;14.76401;293.3893
198.1452;14.26203;293.3893
200.5381;13.19807;293.389
201.1498;11.35818;293.3887
205.0444;10.35854;293.3881
200.3315;14.24865;293.3881
200.9644;11.37786;293.3881
195.4748;14.77339;293.388
197.4523;13.26182;293.3877
201.3419;14.23615;293.3874
199.405;15.69646;293.3867
200.4919;15.69266;293.3864
201.1558;14.24464;293.3864
201.2092;14.25469;293.3864
203.7552;11.19;293.3861
200.5396;15.70323;293.3861
200.7838;14.77089;293.3854
201.1142;11.36646;293.3851
204.8067;10.35958;293.3848
199.656;15.70677;293.3848
198.0348;14.27099;293.3844
195.6233;14.77635;293.3838
203.7175;11.19115;293.3835
204.5692;10.36125;293.3835
195.8635;14.76557;293.3835
199.6583;14.265;293.3835
200.29;15.70542;293.3831
196.0279;14.77068;293.3825
199.8348;15.70828;293.3821
200.9881;14.24844;293.3821
199.111;14.25661;293.3812
199.3313;14.23484;293.3812
203.4058;13.20156;293.3808
203.5465;11.16187;293.3808
199.5021;15.71177;293.3808
198.0767;14.27245;293.3808
197.07;13.24562;293.3808
204.39;11.17339;293.3805
204.5521;10.35042;293.3805
203.5723;11.18828;293.3802
195.81;14.77927;293.3802
200.6227;11.35693;293.3802
196.8531;13.25016;293.3799
196.0252;14.78073;293.3795
195.9721;14.77146;293.3788
196.6921;13.25745;293.3782
195.8523;14.7687;293.3775
196.8352;13.23969;293.3775
200.8192;13.19943;293.3772
195.8965;14.7675;293.3769
204.4048;11.17365;293.3766
199.9088;15.70927;293.3766
204.3456;11.2;293.3759
205.015;10.35161;293.3756
200.8098;11.3887;293.3752
203.8721;11.17339;293.3749
200.5654;11.3538;293.3749
203.8004;11.19068;293.3746
196.16;14.75896;293.3746
196.871;13.2426;293.3743
196.1779;14.7687;293.3739
200.7354;15.70578;293.3736
203.8698;11.1799;293.3733
200.5006;15.71062;293.3726
201.0708;11.36484;293.3723
199.5656;15.70187;293.372
199.5996;15.71203;293.3716
200.6744;11.36005;293.3716
200.1754;15.7075;293.3713
200.7831;14.24536;293.3713
200.9433;11.36266;293.3713
199.6788;15.70385;293.371
195.8106;14.76219;293.371
200.5583;14.25802;293.371
200.9435;11.38792;293.371
203.7685;11.18807;293.3707
197.0698;13.25469;293.37
196.064;14.77302;293.3697
195.9254;14.77307;293.3697
200.4944;14.24547;293.3697
206.8167;22.08088;293.3694
204.8456;30.75312;293.3694
199.94;14.24651;293.3694
196.6196;13.25297;293.3694
204.884;10.36156;293.369
204.8073;10.34927;293.369
201.0194;14.27557;293.3683
198.9821;14.23083;293.3683
203.696;11.18901;293.3677
201.3185;14.23594;293.3674
196.9246;13.26099;293.3674
200.1998;15.70615;293.367
199.8794;14.2424;293.367
198.6004;14.26885;293.367
203.9131;17.51094;293.367
196.7127;13.24156;293.3667
201.0746;11.37177;293.3667
199.6794;15.71255;293.3664
196.6427;13.24391;293.3664
199.4377;15.71;293.3661
200.9133;14.26026;293.3661
200.5344;15.71885;293.3657
201.2975;11.35917;293.3657
204.6719;10.35589;293.3651
199.6725;14.27411;293.3647
195.9077;14.76177;293.3644
200.1544;15.70917;293.3641
204.0529;11.17125;293.3634
200.4273;14.25234;293.3631
199.265;15.71365;293.3628
198.8952;14.23594;293.3628
199.4827;15.71151;293.3625
199.5988;14.31557;293.3625
199.3821;14.26464;293.3625
200.4846;15.70797;293.3621
196.6738;13.24984;293.3618
201.0437;11.37833;293.3618
196.8419;13.25;293.3615
201.0383;11.34943;293.3611
203.6013;17.49677;293.3611
198.3967;14.26604;293.3605
197.5602;13.2599;293.3605
200.5721;15.71484;293.3602
199.0992;14.25885;293.3602
200.8675;14.24911;293.3602
201.1079;11.36839;293.3602
200.4738;15.71318;293.3598
199.4787;15.70526;293.3592
196.1006;14.77443;293.3592
199.6835;14.24599;293.3585
204.6031;10.34703;293.3582
196.0171;14.75849;293.3575
199.3775;14.2625;293.3575
197.1829;13.25651;293.3569
204.0333;10.34818;293.3565
195.7337;14.76901;293.3565
195.8381;14.76313;293.3565
204.8269;10.34823;293.3552
205.2167;21.04177;293.3552
196.5942;13.2424;293.3552
195.8085;14.78083;293.3539
196.0006;14.77474;293.3539
199.719;14.26604;293.3539
200.415;15.71297;293.3536
196.5529;13.2562;293.3536
199.3594;14.26422;293.3533
199.6825;15.71385;293.3529
200.9569;15.70609;293.3526
204.9992;10.3562;293.352
204.7027;11.17333;293.351
196.801;13.24167;293.351
200.9423;11.36594;293.3506
199.9065;15.69812;293.3503
195.4312;14.77406;293.3503
196.6181;13.24745;293.35
201.4417;11.38516;293.35
200.7498;14.27063;293.3496
199.4292;15.7099;293.349
199.7346;15.70521;293.349
197.0308;13.25521;293.349
204.8313;10.35609;293.3484
204.0402;11.17781;293.348
203.6477;11.18604;293.348
199.7619;15.70432;293.348
204.1533;11.17271;293.3477
196.6537;13.24615;293.3477
204.541;10.36135;293.3474
204.7998;10.35927;293.3467
204.0167;14.97771;293.3467
195.5783;14.76865;293.3464
203.5104;13.19859;293.3454
195.6731;14.78417;293.3454
204.8294;17.49375;293.3454
201.2742;14.24521;293.3451
199.7252;15.70536;293.3444
195.6044;14.76901;293.3444
200.8519;11.36156;293.3441
204.4585;10.34672;293.3438
198.1181;14.2649;293.3438
204.1448;11.19031;293.3434
199.2594;15.69349;293.3431
199.2444;14.24599;293.3428
196.18;14.75438;293.3424
201.3017;11.35688;293.3424
201.2483;11.36229;293.3421
196.3558;13.2437;293.3418
199.59;15.70589;293.3415
195.5479;14.76526;293.3411
199.5938;14.23406;293.3408
197.0323;13.25885;293.3408
201.3173;11.35474;293.3408
201.011;11.35771;293.3405
203.576;13.19839;293.3401
195.5244;14.77047;293.3401
203.6898;11.18234;293.3398
199.8717;15.70266;293.3398
196.465;13.24922;293.3398
199.4398;15.71167;293.3395
195.875;14.76521;293.3391
201.2458;11.35656;293.3382
204.9285;10.35005;293.3379
195.4361;14.76437;293.3375
195.7473;14.76911;293.3375
200.5108;15.70531;293.3372
195.8144;14.75495;293.3369
200.7331;14.24125;293.3362
203.44;13.20344;293.3359
205.014;10.35448;293.3355
198.0467;14.25573;293.3352
195.2758;14.75703;293.3349
195.6667;14.76682;293.3346
196.6588;13.25;293.3346
205.0067;10.35859;293.3342
195.714;14.77234;293.3342
204.4917;11.18526;293.3339
200.5369;15.70609;293.3339
199.4942;15.70588;293.3339
200.1692;15.6962;293.3336
195.761;14.76484;293.3333
203.5569;17.51161;293.3329
204.645;10.3524;293.3323
195.7608;14.76906;293.3316
195.8446;14.77156;293.3316
195.4444;14.76573;293.3316
200.701;11.35896;293.3316
199.739;14.26833;293.3313
199.4048;14.27573;293.331
199.2977;15.69297;293.3306
195.3148;14.76948;293.3306
195.8208;14.78109;293.33
203.6002;14.97745;293.33
200.1042;15.71802;293.3293
199.5642;15.71714;293.329
199.8554;15.70365;293.329
195.5306;14.77437;293.3287
200.5704;15.69797;293.3283
196.3879;13.2574;293.3283
204.1548;11.16927;293.328
195.4835;14.76724;293.328
200.8706;11.37703;293.328
198.806;14.25089;293.3277
205.2358;22.06812;293.3273
200.4525;15.69833;293.3273
199.4117;14.25568;293.3273
203.5048;13.19776;293.327
203.8467;11.17458;293.327
199.3271;15.69979;293.327
198.6521;14.25911;293.3267
197.196;13.24573;293.3267
205.389;21.03646;293.3254
204.1265;11.18135;293.325
199.9815;15.71755;293.3247
200.7273;15.70661;293.3244
203.8979;17.49844;293.3241
203.8142;17.50312;293.3241
201.055;11.36047;293.3237
202.9506;17.49385;293.3234
204.0562;17.49922;293.3234
205.2473;10.3638;293.3231
199.6177;15.70146;293.3231
199.9294;15.71099;293.3224
201.401;14.24896;293.3221
200.8648;11.36333;293.3221
204.1602;17.49203;293.3221
195.9402;14.77078;293.3214
199.5423;15.69021;293.3208
198.2335;14.25625;293.3208
203.9654;17.50641;293.3208
200.49;15.71682;293.3201
199.5142;14.26297;293.3201
195.9085;14.78245;293.3198
196.676;13.25062;293.3195
199.4413;15.7;293.3188
204.3271;10.34917;293.3185
204.9283;10.35812;293.3181
199.4006;15.7087;293.3181
199.8025;15.69271;293.3181
195.8648;14.76953;293.3181
200.6675;14.24938;293.3181
196.6117;13.24219;293.3181
195.8533;14.76589;293.3175
195.9796;14.78333;293.3175
204.0283;11.18;293.3172
196.1296;14.76188;293.3172
200.9435;11.38349;293.3172
204.1531;11.16458;293.3168
195.6071;14.78531;293.3168
200.246;15.70484;293.3165
199.9321;15.69484;293.3165
196.5517;13.25495;293.3165
199.9592;15.7087;293.3162
199.4815;15.69354;293.3162
203.2058;13.19198;293.3159
195.9681;14.77026;293.3159
197.1283;13.2513;293.3159
201.1421;11.35693;293.3155
200.6379;15.71026;293.3149
200.445;15.70089;293.3142
200.3308;15.7049;293.3139
199.8744;15.71568;293.3139
204.8829;10.34078;293.3136
204.2708;11.18557;293.3132
195.6225;14.77781;293.3132
195.594;14.76078;293.3126
202.9185;33.00412;293.3123
200.209;15.70208;293.3116
195.7337;14.76208;293.3116
199.7265;14.25979;293.3116
197.2854;13.26318;293.3116
195.9106;14.77734;293.3096
195.8367;14.75479;293.3096
198.0935;14.26604;293.3096
200.7529;11.36068;293.3096
204.2058;11.19823;293.3093
198.3294;14.75646;293.3093
207.0912;22.07354;293.309
199.4533;14.24984;293.309
195.5488;14.7887;293.3087
200.6425;14.25542;293.3087
199.8485;14.26839;293.3086
199.5804;15.69755;293.3083
199.6917;15.71;293.3083
198.9369;14.23208;293.308
199.4231;15.71297;293.3076
200.8377;11.3625;293.3073
200.5144;15.70104;293.3067
199.3764;15.70781;293.3067
199.6677;15.70255;293.3063
204.3933;11.18328;293.306
199.5577;15.71276;293.306
204.7848;10.3612;293.3054
195.8994;14.77536;293.305
199.5808;14.26557;293.305
196.729;13.2488;293.305
196.5325;13.23328;293.305
200.4096;15.70542;293.3044
200.8919;14.24604;293.3044
200.385;15.70927;293.304
200.7985;15.70417;293.304
199.5571;15.71349;293.304
200.0054;15.7049;293.3037
201.0594;11.36312;293.3037
198.0737;14.23786;293.3034
196.6638;13.24661;293.3031
204.6475;10.36568;293.3027
195.4896;14.77005;293.3027
199.9531;15.69833;293.3024
200.5008;15.71229;293.3021
199.2367;14.25807;293.3021
195.776;14.74891;293.3018
199.4915;14.25453;293.3018
201.4371;11.36203;293.3018
200.2292;15.70896;293.3011
200.7162;11.37995;293.3011
199.8794;15.70432;293.3008
200.7067;15.71792;293.3004
197.0819;13.24583;293.2998
203.925;17.49875;293.2998
201.1604;11.36063;293.2994
200.6023;15.70208;293.2991
203.4242;17.49458;293.2988
195.5142;14.76552;293.2981
199.336;14.265;293.2978
199.5396;14.25958;293.2975
201.0013;11.36156;293.2975
203.4304;13.20359;293.2971
203.5742;13.19693;293.2962
204.0292;11.17526;293.2962
199.7273;15.71615;293.2962
203.8771;17.49484;293.2962
196.8729;13.24135;293.2958
197.4579;13.25839;293.2958
204.7804;10.35667;293.2949
199.559;15.70109;293.2949
200.8073;14.25156;293.2949
201.3115;11.36156;293.2949
195.4802;14.76812;293.2942
198.8783;14.24562;293.2942
203.6281;13.19474;293.2939
199.8304;15.71214;293.2939
195.6317;14.76141;293.2939
199.761;15.70661;293.2935
200.2444;15.71745;293.2932
199.2635;15.70839;293.2932
195.4438;14.76901;293.2932
199.4665;14.25661;293.2932
204.8327;10.3651;293.2919
200.4252;15.71792;293.2919
196.3842;13.25359;293.2916
200.7596;11.36385;293.2916
195.7235;14.76344;293.2913
199.8329;15.70453;293.2903
199.1775;14.23979;293.2896
199.5069;15.70849;293.2889
195.8098;14.7837;293.2889
195.3273;14.75906;293.2889
203.7723;11.18219;293.2886
199.2823;15.71245;293.2883
195.7025;14.77464;293.2883
203.9248;11.18505;293.2873
203.5819;17.50208;293.2873
198.0981;14.26089;293.287
195.7277;14.76792;293.2863
199.4263;14.26927;293.2857
199.8371;14.26203;293.2853
196.1233;14.77198;293.2847
203.8548;11.17469;293.2844
196.3094;14.77807;293.2844
199.3658;14.25578;293.2844
199.7175;15.70214;293.2837
195.6142;14.76932;293.2837
199.5823;14.26016;293.2837
201.2148;11.37339;293.2834
198.3321;14.26974;293.2831
196.4844;13.26406;293.2831
199.3396;14.26042;293.2827
195.865;14.77854;293.2824
195.5135;14.77005;293.2824
201.5392;11.35635;293.2824
203.7752;17.50448;293.2824
195.98;14.78036;293.2821
199.4617;14.2599;293.2821
198.7563;14.25562;293.2821
200.5346;15.7038;293.2817
200.8921;11.37495;293.2817
203.1087;14.97651;293.2817
200.239;15.69833;293.2811
200.6775;15.71276;293.2804
201.2171;14.23922;293.2804
200.8817;11.34578;293.2804
203.4385;13.19464;293.2801
199.3979;14.2501;293.2798
195.8308;14.77521;293.2794
196.8917;13.245;293.2794
197.3925;13.25802;293.2794
200.4558;15.70651;293.2791
202.7027;14.00193;293.2788
199.4627;15.71089;293.2788
198.1894;14.26594;293.2784
203.9654;11.1776;293.2768
204.2223;13.9974;293.2768
199.5698;14.24781;293.2768
195.5658;14.77135;293.2762
204.2012;11.17547;293.2758
195.6104;14.76214;293.2755
203.7017;14.97776;293.2755
199.0031;14.25802;293.2742
200.4823;15.70771;293.2732
199.7527;15.70932;293.2729
195.6904;14.77458;293.2729
200.5498;15.71115;293.2726
196.7902;13.24984;293.2726
199.451;14.2674;293.2719
203.6715;17.51693;293.2716
199.7825;15.69901;293.2706
199.914;15.69776;293.2693
205.0308;10.36161;293.2686
203.784;11.17557;293.2683
199.185;14.25286;293.2683
203.8367;11.1838;293.2679
204.2188;11.1826;293.2679
200.5408;15.70495;293.2676
199.5971;15.70464;293.2676
195.4467;14.77698;293.2676
203.2787;13.20615;293.2673
203.7056;17.4963;293.2673
203.9102;11.18286;293.267
199.0527;14.24531;293.267
196.6725;13.23938;293.267
200.899;11.37047;293.267
199.8808;15.69776;293.2666
195.7833;14.77203;293.2666
201.0177;11.3712;293.2666
195.3779;14.75984;293.2663
204.0125;11.18484;293.266
197.3715;14.76818;293.266
196.5929;13.24943;293.266
199.4267;15.70083;293.265
199.6069;15.70568;293.2647
200.8862;14.24521;293.2647
203.7921;17.50302;293.2647
200.2769;15.71828;293.264
196.0354;14.76339;293.264
195.7308;14.77224;293.2637
196.369;13.24667;293.2637
195.761;14.78724;293.2634
196.0188;14.76359;293.263
197.2192;14.76583;293.263
199.3262;14.26828;293.2627
200.5392;15.70995;293.2624
201.2777;11.35823;293.2624
204.7685;10.34016;293.2621
200.3279;15.71083;293.2617
195.7198;14.75906;293.2614
199.4046;14.24859;293.261
200.8954;11.35328;293.261
199.4713;14.24411;293.2598
199.3573;14.26375;293.2594
201.2477;11.36792;293.2594
199.3767;15.70068;293.2591
200.1602;15.70823;293.2584
195.8433;14.77443;293.2581
195.7029;14.76005;293.2581
200.8021;11.38807;293.2578
201.2671;11.36099;293.2571
200.5171;15.70443;293.2568
203.1263;13.20839;293.2565
199.4329;15.69583;293.2561
197.1225;13.25927;293.2548
196.6002;13.25552;293.2545
199.2835;15.70792;293.2542
195.6835;14.77714;293.2538
199.5081;14.25505;293.2538
200.5719;15.70776;293.2535
199.3813;14.28875;293.2535
203.7425;11.18156;293.2532
201.0792;11.36198;293.2532
199.5594;14.2587;293.2525
199.5754;15.69833;293.2522
203.1015;13.20594;293.2519
197.7358;14.24516;293.2519
198.6065;14.25635;293.2512
196.4521;13.24;293.2512
200.2587;15.70073;293.2509
196.0471;14.77281;293.2509
196.8156;13.23474;293.2505
200.4012;15.70615;293.2499
195.651;14.75641;293.2499
200.6483;14.24724;293.2499
199.9202;15.71266;293.2496
204.0075;11.16469;293.2492
199.2446;15.69359;293.2492
203.41;11.18615;293.2489
196.0412;14.78365;293.2489
201.1202;11.37536;293.2489
195.6237;14.765;293.2486
200.7717;14.26375;293.2486
200.9937;15.71;293.2483
199.705;15.715;293.2483
203.4773;11.17667;293.248
203.5402;11.17328;293.2479
200.5963;15.70781;293.2479
203.9438;11.17698;293.2476
195.601;14.75245;293.2476
200.9058;15.71089;293.2473
199.575;15.70833;293.2473
199.5494;14.26214;293.2473
199.8556;15.71604;293.2469
199.844;15.70021;293.2469
201.1746;11.38562;293.2469
205.0177;10.35974;293.2466
198.9456;14.2388;293.2466
204.8433;10.35651;293.2463
199.34;14.2576;293.2463
201.4017;11.36125;293.2463
203.6177;17.51307;293.246
196.7752;13.25302;293.2456
201.0083;11.35776;293.2456
200.9594;11.36391;293.2456
200.2475;15.71484;293.2447
204.1065;11.18255;293.2437
195.8131;14.76542;293.2433
199.1383;14.25604;293.2433
199.5456;15.70599;293.2427
199.7008;15.71234;293.2427
195.6869;14.76812;293.2427
195.6644;14.76198;293.2427
199.8925;15.71568;293.242
203.49;13.2026;293.2417
201.2367;11.37583;293.2417
195.7802;14.75354;293.2414
196.9983;13.24958;293.2411
205.6146;22.07542;293.2407
203.4985;17.49187;293.2407
205.7542;22.08083;293.2401
199.6665;15.7075;293.2401
199.2102;14.26365;293.2394
198.7915;14.23938;293.2394
199.5333;15.71552;293.2391
200.9254;11.38838;293.2391
199.2631;15.7274;293.2384
197.0619;13.2462;293.2384
199.4637;15.70703;293.2374
199.8219;15.70974;293.2368
200.629;14.24396;293.2368
203.2696;13.19792;293.2365
195.3308;14.77125;293.2361
197.2188;13.25797;293.2358
200.8288;11.37484;293.2351
195.6648;14.7638;293.2345
198.751;14.23094;293.2345
195.7437;14.75755;293.2342
196.6208;13.23708;293.2342
200.6694;15.70698;293.2338
203.4088;13.20323;293.2335
203.8965;11.18385;293.2335
200.4177;15.70547;293.2332
199.6721;15.70557;293.2332
195.2879;14.77557;293.2332
195.659;14.76568;293.2332
195.4863;14.77651;293.2332
204.915;10.35557;293.2328
199.4169;14.25802;293.2325
200.8365;15.70568;293.2322
195.5227;14.7676;293.2306
203.965;11.17333;293.2302
203.8152;17.50333;293.2302
201.1317;14.255;293.2299
199.891;14.77229;293.2296
197.1085;13.255;293.2296
204.1429;11.19271;293.2292
200.7027;15.71271;293.2292
199.3692;15.70438;293.2292
199.4931;15.70234;293.2289
195.7012;14.76182;293.2289
199.5723;15.70219;293.2282
199.8815;15.70531;293.2282
203.9819;10.34984;293.2276
199.3865;15.71635;293.2273
196.8158;13.25792;293.2273
199.6346;14.26552;293.2269
198.0304;14.2587;293.2269
200.8867;11.36031;293.2266
196.6992;13.25099;293.2263
199.6494;15.71109;293.226
199.5571;14.23182;293.226
203.7627;11.17422;293.2256
199.5592;15.70198;293.2256
199.9629;15.70375;293.2256
198.975;14.23911;293.2256
201.1123;11.35995;293.2256
201.309;11.3625;293.2253
196.8873;13.25245;293.225
203.4846;17.49578;293.2246
204.1385;11.18047;293.2243
199.2675;15.7025;293.224
199.5712;15.6999;293.224
199.2404;14.2549;293.224
203.7935;17.50745;293.2237
203.6973;11.17839;293.2233
203.8865;11.18823;293.2227
195.3819;14.77917;293.2227
195.7254;14.75453;293.2227
198.9092;14.25104;293.2227
203.2494;13.20125;293.222
201.2108;11.36016;293.221
196.6408;13.2425;293.2207
200.0135;15.71349;293.2201
195.7558;14.76781;293.2201
200.5952;15.70349;293.22
195.5225;14.77078;293.22
203.3188;13.19625;293.2197
199.5488;15.70365;293.2194
198.0265;14.26401;293.2191
203.9373;11.18958;293.2184
200.2733;15.70745;293.2181
199.581;15.71604;293.2181
200.7246;11.36172;293.2181
203.3127;13.20609;293.2177
195.6592;14.7662;293.2174
198.9396;14.25911;293.2174
195.7692;14.78234;293.2171
199.505;14.2599;293.2171
203.5856;17.5012;293.2171
199.5815;15.70865;293.2164
200.9077;11.38177;293.2161
203.0625;13.19563;293.2158
200.9844;11.38255;293.2155
201.1208;11.36302;293.2151
204.869;10.36135;293.2141
197.766;14.27073;293.2138
196.9323;13.26094;293.2138
201.23;11.35589;293.2138
203.7231;11.17833;293.2135
196.1429;14.76161;293.2128
200.8988;11.3812;293.2128
199.7988;15.71552;293.2125
203.574;11.19276;293.2122
199.379;14.26271;293.2122
199.734;14.24453;293.2122
199.3896;14.2425;293.2122
201.0365;11.35505;293.2119
203.606;17.50948;293.2115
201.6019;11.36786;293.2112
199.5646;15.71385;293.2102
196.1544;14.77286;293.2102
199.5548;15.70943;293.2099
204.7417;10.35146;293.2096
199.4469;15.69833;293.2092
195.4244;14.77172;293.2092
201.1246;11.35365;293.2092
203.7563;17.51016;293.2089
195.6458;14.76651;293.2086
204.8767;10.35766;293.2082
199.6921;15.69568;293.2082
199.159;15.69865;293.2082
198.5108;14.24823;293.2079
200.7133;11.38318;293.2079
203.826;17.51135;293.2079
199.6965;15.70469;293.2076
199.799;15.70943;293.2076
198.9023;14.26188;293.2076
201.2615;11.37078;293.2076
200.3663;15.71068;293.2066
204.3715;15.04573;293.2066
200.0221;15.69818;293.2063
196.6113;13.2587;293.2063
199.6269;15.70781;293.2056
196.5758;13.24687;293.2056
196.5433;13.25422;293.2056
199.8081;15.71422;293.205
195.9554;14.75766;293.205
200.0292;15.70062;293.2043
196.9269;14.77318;293.2043
199.2848;15.70682;293.204
196.6183;13.26292;293.2036
200.6877;15.71047;293.2033
199.1192;15.71089;293.2027
199.3135;15.71375;293.2027
200.965;11.37417;293.2023
201.126;11.37203;293.202
200.3046;15.70313;293.2017
200.4644;15.70776;293.2014
195.7304;14.77687;293.2014
200.9069;11.37802;293.2014
203.9529;17.49344;293.2007
195.461;14.76859;293.2003
195.6746;14.7775;293.2003
198.3015;14.27292;293.2003
203.6327;17.51146;293.2003
201.5765;12.20141;293.2
204.0792;11.17875;293.1997
199.8931;14.26969;293.1997
199.3779;15.68651;293.1994
199.5379;14.2724;293.1994
204.0802;11.18344;293.1987
199.4256;14.26193;293.1987
195.6392;14.78615;293.1984
200.8219;11.38151;293.1984
203.1206;13.19417;293.1977
196.0381;14.76464;293.1977
198.9302;14.24401;293.1977
196.1348;14.76885;293.1974
197.2988;13.24823;293.1974
205.0554;10.35557;293.1971
199.3981;14.24766;293.1971
200.8788;11.38292;293.1971
199.2787;15.70802;293.1967
196.0508;14.76443;293.1967
199.2462;14.26833;293.1964
200.8502;11.38151;293.1964
200.9962;11.37833;293.1964
198.9258;14.26615;293.1961
200.1254;15.72099;293.1958
199.6331;15.7212;293.1958
195.6788;14.78656;293.1958
195.6904;14.77214;293.1958
203.6733;11.17411;293.1954
195.7831;14.76458;293.1951
197.0492;13.24943;293.1951
200.5352;15.72276;293.1948
204.9075;10.3587;293.1941
199.5948;15.7138;293.1935
198.9494;14.25266;293.1935
198.7094;14.27359;293.1931
197.3292;13.25187;293.1931
200.4344;15.70198;293.1928
199.2104;14.25422;293.1928
199.499;13.31036;293.1925
199.2765;14.25802;293.1925
204.1177;17.50927;293.1925
199.1529;14.26281;293.1922
197.8094;14.22646;293.1921
199.6371;15.71125;293.1918
196.2321;14.78177;293.1918
203.4544;11.18104;293.1915
200.9223;15.70828;293.1915
195.6617;14.78521;293.1915
195.6835;14.78052;293.1912
195.4377;14.77005;293.1905
200.0556;14.2449;293.1905
197.9842;14.25688;293.1902
199.654;15.7149;293.1892
195.749;14.77745;293.1892
196.7188;13.24786;293.1892
195.7548;14.76286;293.1889
205.1404;10.35021;293.1885
195.7031;14.77094;293.1882
198.601;14.26776;293.1876
198.4892;14.24177;293.1869
199.4115;14.26167;293.1866
196.6667;13.25104;293.1862
201.1683;11.35839;293.1862
198.9819;14.26828;293.1859
195.651;14.77656;293.1856
200.6965;14.24604;293.1853
196.6952;13.24344;293.1853
203.6244;13.19901;293.1846
204.4221;10.35964;293.1843
204.8469;10.36219;293.1826
196.4952;13.25151;293.1826
202.0437;26.34979;293.1823
196.0663;14.76094;293.1823
199.7223;14.26104;293.1823
203.899;11.18568;293.182
196.7292;13.24526;293.1817
201.1994;11.36318;293.1817
199.3837;14.26552;293.1807
199.1704;14.26484;293.1807
196.8473;13.25651;293.1807
200.9017;11.38578;293.1807
201.0456;11.3625;293.1807
196.7792;13.25089;293.18
199.7933;14.25495;293.1797
203.9681;11.17854;293.1794
196.6135;13.2463;293.1784
199.5696;15.70135;293.1777
201.1096;11.43115;293.1777
204.7871;10.35693;293.1774
195.4106;14.76708;293.1774
203.5042;17.50792;293.1774
203.4388;17.50047;293.1774
195.3452;14.77031;293.1764
201.5775;11.36661;293.1764
199.9858;15.71281;293.1761
199.6219;15.70182;293.1761
195.6992;14.76958;293.1754
199.4308;15.69964;293.1751
201.1525;11.36068;293.1751
199.85;15.69917;293.1748
198.874;14.23922;293.1748
203.4702;13.20073;293.1744
204.6885;10.37177;293.1744
196.059;14.76052;293.1744
200.2083;13.31161;293.1741
199.294;14.26828;293.1735
199.0552;14.25531;293.1731
198.1352;14.26719;293.1728
199.1569;15.71927;293.1708
196.5598;13.24245;293.1708
199.6675;15.70339;293.1702
204.5579;11.18307;293.1698
201.1417;11.36547;293.1698
203.6827;11.16672;293.1695
198.6258;14.26568;293.1695
196.006;14.76505;293.1689
199.7342;15.69969;293.1685
199.5269;14.25646;293.1685
204.0023;11.17552;293.1679
196.8446;13.24609;293.1679
201.3329;11.36615;293.1679
198.8948;14.25792;293.1672
199.5033;15.71833;293.1669
195.7331;14.77589;293.1669
199.569;14.25911;293.1669
200.9133;11.35854;293.1666
201.2304;11.37052;293.1662
204.3898;11.1849;293.1656
195.7658;14.7788;293.1656
203.7131;11.17755;293.1653
201.0265;11.38125;293.1653
199.0642;14.25839;293.1649
199.4748;14.27552;293.1646
195.6629;14.77745;293.1633
199.2144;14.25656;293.1633
201.351;11.36161;293.1633
205.0027;10.35135;293.163
199.5583;15.71135;293.163
199.5567;15.70625;293.162
203.5696;13.19854;293.1606
202.7615;14.98375;293.16
203.4477;11.17333;293.1597
197.0948;13.25109;293.1597
200.8331;11.35953;293.1597
205.0315;10.35344;293.1594
204.2335;17.49922;293.1593
199.575;15.70193;293.159
198.7198;14.23724;293.159
198.5164;13.59474;293.1587
200.6025;15.70234;293.1587
200.7942;15.70042;293.1584
204.9106;10.3526;293.1574
200.7615;15.70792;293.157
200.7092;11.36453;293.1567
200.8983;15.70687;293.1564
199.0219;14.23385;293.1564
203.6771;17.50943;293.1561
198.8775;14.27068;293.1557
199.4129;14.26464;293.1554
199.3042;15.69068;293.1551
198.0767;14.26313;293.1551
196.7483;13.24667;293.1548
200.8075;11.3812;293.1548
