K5PS14_1.PV;K5P10.PV
4.227759;4.388609
4.227737;4.390359
4.227403;4.385313
4.226953;4.350625
4.226781;4.333
4.22615;4.387708
4.225635;4.387422
4.225319;4.379641
4.224978;4.381907
4.224459;4.388
4.223913;4.382667
4.223497;4.381349
4.223144;4.382864
4.222435;4.391198
4.222312;4.391641
4.221385;4.377771
4.221003;4.414849
4.220856;4.367156
4.220719;4.367823
4.219891;4.350969
4.219766;4.364807
4.219578;4.335182
4.219522;4.373385
4.219475;4.411344
4.219231;4.375604
4.218828;4.331438
4.218647;4.371906
4.218112;4.372354
4.217997;4.348891
4.217731;4.340343
4.217375;4.367115
4.216759;4.40637
4.2167;4.384797
4.216512;4.369318
4.216344;4.34438
4.216216;4.364
4.216103;4.368552
4.216091;4.36388
4.215966;4.408709
4.215912;4.379682
4.215875;4.361682
4.214691;4.368797
4.214341;4.404641
4.214197;4.32951
4.214075;4.365328
4.213884;4.386078
4.213762;4.391568
4.213422;4.407682
4.212985;4.385516
4.212831;4.3225
4.212647;4.362448
4.212444;4.398042
4.212416;4.377521
4.212384;4.374583
4.212297;4.340698
4.211209;4.39262
4.210859;4.364
4.210525;4.396797
4.210409;4.353958
4.209562;4.330073
4.209494;4.376859
4.209069;4.376766
4.208106;4.380875
4.207625;4.325589
4.207116;4.395203
4.206797;4.362964
4.206569;4.358104
4.205935;4.329057
4.203909;4.380505
4.202359;4.389651
4.202147;4.3375
4.202063;4.319198
4.20165;4.39124
4.201425;4.361042
4.200406;4.35626
4.200344;4.330214
4.19965;4.36712
4.198791;4.330844
4.198637;4.36087
4.198637;4.318156
4.197894;4.349495
4.19776;4.331333
4.197509;4.354281
4.19745;4.333182
4.197275;4.359562
4.196609;4.345787
4.196434;4.335838
4.196084;4.386193
4.195875;4.345073
4.195162;4.310156
4.195015;4.355068
4.194731;4.310734
4.194725;4.311531
4.194522;4.360344
4.194503;4.345104
4.194222;4.351396
4.194125;4.33301
4.194009;4.363031
4.194009;4.325089
4.193422;4.310771
