K5PS14_2.PV;K5T6.PV;K5P10.PV;K5LCV1I.PV;K5F5.PV;K5T14.PV;K5TCV2I.PV;K5F6X.PV;K5T15.PV;K5P8.PV;K5T17.PV
4.258031;177.4438;4.281406;52.50406;37.71018;367.7906;41.67812;33.12555;121.35;3.982031;133.9469
4.252987;179.935;4.296719;56.23094;40.22277;366.6113;41.67125;33.30917;122.6438;3.976162;133.9388
4.2558;178.6788;4.293406;56.23219;39.47142;366.3319;41.685;33.32858;122.2588;3.97515;133.9238
4.230844;178.0175;4.249844;51.39656;37.44667;367.8225;41.71531;32.98132;121.9275;3.945244;133.9156
4.25295;178.64;4.290844;56.23406;39.43105;366.3281;41.69594;33.57445;122.1937;3.980025;133.9069
4.230506;177.955;4.249688;50.61094;37.49138;368.0363;41.70156;32.97034;121.875;3.953662;133.8938
4.256906;177.365;4.277812;52.46969;37.73062;367.7944;41.68906;33.06873;121.2775;3.973613;133.8794
4.229175;177.8475;4.246156;50.34687;37.47175;368.1356;41.67688;32.96188;121.8262;3.950681;133.855
4.249275;178.6113;4.288312;56.22031;39.45132;366.5325;41.67406;33.74028;122.265;3.973631;133.85
4.252369;179.9625;4.297375;55.85594;40.30084;366.5944;41.68781;33.31388;122.6087;3.974738;133.8431
4.255406;177.3188;4.277969;52.4625;37.73333;367.8094;41.695;32.95743;121.275;3.968812;133.8244
4.226475;177.7813;4.245656;50.34687;37.53444;368.0513;41.67656;32.91928;121.8488;3.949406;133.8188
4.244906;178.5788;4.277656;56.23438;39.52297;366.5063;41.69938;33.96164;122.2363;3.959006;133.7781
4.253269;179.9337;4.296438;55.86938;40.30984;366.5906;41.67844;33.21245;122.6525;3.972675;133.7781
4.223269;177.6712;4.243563;50.3525;37.59581;368.1;41.70594;32.8921;121.8712;3.942094;133.7756
4.255819;177.26;4.276937;52.48563;37.6816;367.7437;41.68375;32.93744;121.2988;3.977344;133.7575
4.267144;177.805;4.278969;51.29375;36.89785;365.1844;41.69375;31.09337;122.1837;3.977512;133.7563
4.267313;177.8662;4.279;51.50937;36.9089;365.1225;41.68844;31.1679;122.195;3.979238;133.7525
4.239469;178.5788;4.277094;56.23563;39.53858;366.3619;41.68031;34.2928;122.2237;3.960919;133.7506
4.269244;177.7125;4.283156;50.76844;36.88661;365.1056;41.69656;31.33418;122.1912;3.988612;133.7462
4.270275;177.61;4.282312;51.10688;36.84853;365.1919;41.67781;31.40695;122.1675;3.987825;133.7437
4.271587;177.6325;4.285188;51.61156;36.81841;365.2144;41.70156;31.24326;122.18;3.985894;133.73
4.2669;177.8788;4.283719;51.50375;36.86486;365.0663;41.65875;31.27819;122.2688;3.984281;133.7181
4.220943;177.5825;4.241375;50.25625;37.63585;367.9969;41.68125;32.81211;121.8;3.932175;133.7156
4.266881;177.8737;4.2775;51.51125;36.90454;365.0531;41.67844;31.24718;122.2212;3.985631;133.7094
4.234781;178.5375;4.27425;56.23125;39.62203;366.2794;41.66625;34.37781;122.2437;3.950887;133.6913
4.270631;177.485;4.276719;50.53437;35.87305;365.2444;41.69125;31.36341;122.08;3.994519;133.6913
4.253362;179.8862;4.300156;55.87094;40.29521;366.6019;41.705;33.18293;122.6675;3.976969;133.6888
4.266375;177.95;4.282812;51.50937;36.79738;365.0063;41.675;31.13385;122.2813;3.9765;133.6875
4.256475;177.1525;4.284812;52.47906;37.69901;368.0231;41.68657;33.04866;121.2;3.974513;133.6712
4.266225;177.9125;4.280219;52.25938;37.23321;365.0325;41.67937;31.13592;122.2863;3.9789;133.665
4.218488;177.445;4.2405;50.75625;37.59814;368.0925;41.68312;32.9051;121.765;3.9387;133.65
4.263825;177.8963;4.281906;52.88594;37.56795;364.9706;41.69656;31.00983;122.295;3.977962;133.6475
4.229644;178.5525;4.269656;56.25938;39.62739;366.4125;41.66094;34.5942;122.23;3.9492;133.6469
4.27065;177.43;4.268844;49.81375;35.53859;365.1338;41.66844;31.33817;122.04;3.97575;133.6413
4.256569;177.0887;4.278219;52.44437;37.74178;367.7981;41.67344;32.9577;121.1675;3.969337;133.6362
4.262625;177.9238;4.275844;52.85469;37.54044;364.785;41.67531;30.95591;122.3275;3.98235;133.63
