K5PS14_1.PV;K5PS14_2.PV;K5P10.PV;K5F5.PV
4.1895;4.311656;4.333282;38.07409
4.190756;4.311975;4.33325;38.10088
4.18995;4.311731;4.33325;38.09515
4.185843;4.308656;4.33325;38.77269
4.200788;4.303613;4.333188;37.01397
4.201556;4.303856;4.333156;36.95675
4.186331;4.308225;4.333156;38.75582
4.18815;4.309688;4.333156;38.2782
4.203319;4.303612;4.333094;36.1156
4.187512;4.308806;4.333031;38.73254
4.1859;4.30725;4.333031;38.40646
4.186931;4.308732;4.333031;38.22726
4.202906;4.302525;4.333;36.80844
4.1862;4.308281;4.332969;38.61721
4.196869;4.299844;4.332937;37.29569
4.202175;4.301475;4.332875;36.77954
4.186313;4.306725;4.332875;38.72576
4.192313;4.290563;4.332844;37.73197
4.189406;4.310662;4.332844;38.08936
4.183894;4.306069;4.332844;39.16311
4.196981;4.299656;4.332812;37.07898
4.189894;4.311375;4.332812;38.47855
4.178662;4.299769;4.332781;38.89391
4.203356;4.3062;4.332719;36.4881
4.187006;4.308881;4.332719;38.1024
4.196288;4.299469;4.332656;37.05914
4.203056;4.302956;4.332593;36.70316
4.199363;4.297069;4.332531;36.59394
4.199269;4.299075;4.332531;36.96261
4.201031;4.304944;4.332531;36.18842
4.171612;4.288781;4.3325;40.23581
4.185956;4.307888;4.3325;38.62082
4.203863;4.306688;4.332438;36.48888
4.18845;4.3101;4.332344;38.2985
4.193156;4.295606;4.332313;37.17215
4.190606;4.288387;4.33225;37.72755
4.176862;4.297781;4.332219;39.05027
4.192069;4.292381;4.332188;37.31633
4.186125;4.307343;4.332187;38.17698
4.179225;4.301569;4.332156;39.05925
4.186237;4.307588;4.332156;38.62473
4.182525;4.304081;4.332156;38.98299
4.198613;4.301719;4.332063;36.8183
4.170262;4.2885;4.332062;40.18117
4.187306;4.308431;4.332031;38.08216
4.19175;4.312687;4.332031;38.01661
4.199287;4.297613;4.331969;36.55734
4.201725;4.301025;4.331969;36.74555
4.205944;4.306069;4.331969;36.13351
4.189556;4.310869;4.331937;38.10699
4.202794;4.305263;4.331875;36.21573
4.186687;4.308469;4.331875;38.42767
4.197731;4.319531;4.331844;37.9139
4.19565;4.298644;4.331781;37.24553
4.185506;4.307325;4.33175;38.43998
4.200544;4.300519;4.331718;36.97779
4.203863;4.306875;4.331687;36.46512
4.185357;4.30635;4.331656;38.994
4.1982;4.297838;4.331625;36.69622
4.181138;4.301437;4.331625;38.82609
4.2021;4.301269;4.331594;37.17417
4.174256;4.295738;4.331563;39.58128
4.1805;4.303031;4.331563;38.58046
4.186106;4.30815;4.331563;38.62891
4.199213;4.302975;4.331531;36.82089
4.181363;4.303219;4.331531;39.01842
4.186856;4.307907;4.331406;38.59349
4.200844;4.303631;4.331375;36.03151
4.203394;4.302938;4.331313;36.8017
4.2021;4.301606;4.331188;36.75719
4.204256;4.305019;4.331125;36.17676
4.18965;4.311169;4.331125;38.64057
4.181531;4.303781;4.331094;38.65752
4.197525;4.2975;4.330969;36.72317
4.202775;4.305938;4.330969;36.56059
4.199812;4.297406;4.330937;36.58644
4.206187;4.306013;4.330906;36.11357
4.181156;4.301756;4.330906;38.88436
4.195669;4.293131;4.330875;37.01811
4.195575;4.294631;4.330875;37.49119
4.189538;4.311225;4.330875;38.13311
4.182862;4.304681;4.330875;38.78938
4.197225;4.296525;4.330844;36.77504
4.200394;4.303256;4.330844;37.0542
4.187044;4.308168;4.330844;38.77045
4.203319;4.305225;4.330843;36.26534
4.203844;4.302375;4.330781;35.48143
4.191412;4.313419;4.330781;38.05751
4.19265;4.295381;4.33075;37.40197
4.185225;4.307081;4.330719;38.70887
4.191881;4.291462;4.330657;37.37521
4.200844;4.303968;4.330656;36.1834
4.198163;4.300744;4.330656;37.02002
4.193906;4.293562;4.330625;37.56374
4.191412;4.288463;4.330594;37.7395
4.194394;4.295194;4.330594;37.36312
4.189312;4.3116;4.330563;38.51296
4.197487;4.2999;4.330531;37.31714
4.195575;4.298456;4.3305;36.93516
4.193831;4.292119;4.330469;37.69954
4.184531;4.306313;4.330469;38.44376
4.199344;4.296169;4.330438;36.61189
4.202025;4.304287;4.330438;36.1467
4.197675;4.301325;4.330437;36.81891
4.19775;4.300125;4.330406;36.94662
4.175737;4.2963;4.330406;39.04602
4.183238;4.304756;4.330406;38.83645
4.203919;4.301625;4.330375;35.52037
4.170319;4.288612;4.330344;39.6804
4.181269;4.302244;4.330344;39.00204
4.178888;4.300481;4.330344;38.67933
4.201669;4.300763;4.330281;36.00948
4.190944;4.292869;4.330281;37.34579
4.1823;4.304944;4.330281;38.88268
4.187775;4.309013;4.330281;38.24473
4.197206;4.297331;4.33025;36.70073
4.201087;4.302844;4.330219;36.22942
4.186031;4.307306;4.330188;38.72727
4.198237;4.300725;4.330187;36.81161
4.197675;4.29945;4.330094;36.99176
4.191937;4.292456;4.330062;37.37849
4.200637;4.304062;4.330062;36.26374
4.205269;4.308131;4.330062;35.81913
4.201313;4.303594;4.33;36.08678
4.174594;4.296038;4.33;39.06574
4.198144;4.301775;4.329968;36.80309
4.192969;4.290637;4.329937;37.23461
4.201219;4.303612;4.329906;36.36047
4.199344;4.298812;4.329844;36.66666
4.203469;4.303313;4.329844;36.19442
4.198894;4.299881;4.329813;36.70713
4.178175;4.29915;4.329813;39.03652
4.197619;4.296375;4.329782;37.2317
4.188731;4.310644;4.329782;38.14878
4.203487;4.305919;4.32975;36.22519
4.181363;4.302994;4.32975;39.01059
4.200169;4.3029;4.329688;36.50334
4.195781;4.298419;4.329688;37.05775
4.196175;4.298456;4.329688;36.99117
4.203319;4.301681;4.329594;35.945
4.186819;4.308075;4.329594;38.58936
4.194506;4.294856;4.329563;37.22773
4.195875;4.293375;4.329531;36.97486
4.197244;4.298569;4.3295;36.79775
4.201013;4.305187;4.3295;36.2284
4.190044;4.293319;4.3295;37.43466
4.2021;4.304344;4.329469;36.2962
4.183744;4.305225;4.329469;38.94959
4.167169;4.284825;4.329437;40.11516
4.180594;4.30215;4.329437;39.04936
4.170581;4.289231;4.329406;40.12555
4.182713;4.304475;4.329406;38.63362
4.198144;4.296225;4.329375;36.62021
4.19235;4.291819;4.329375;37.42808
4.2024;4.304269;4.329375;36.13653
4.198894;4.2969;4.329344;36.60293
4.196569;4.300237;4.329312;36.57272
4.198294;4.300781;4.329281;36.82582
4.182619;4.304269;4.329281;38.97143
4.196494;4.297087;4.329219;36.97958
4.198462;4.295794;4.329187;36.63056
4.195238;4.29555;4.329156;36.69701
4.204069;4.303463;4.329125;36.19164
4.199512;4.321369;4.329125;36.81925
4.202868;4.30395;4.329031;36.23841
4.195669;4.299356;4.329031;36.46892
4.181719;4.302844;4.329031;38.99102
4.188131;4.309613;4.329031;38.11197
4.195856;4.299112;4.329;37.30741
4.185713;4.307681;4.328969;38.14419
4.19955;4.298456;4.328938;36.12523
4.199587;4.302394;4.328938;36.04323
4.174125;4.294481;4.328938;39.525
4.1799;4.301456;4.328906;38.71543
4.191094;4.312407;4.328906;37.60788
4.187906;4.309969;4.328906;37.49057
4.191525;4.291106;4.328875;37.39016
4.19895;4.300238;4.328875;36.38489
4.197263;4.29555;4.328844;36.12485
4.179131;4.30095;4.328844;38.51065
4.180425;4.302094;4.328813;39.05812
4.184137;4.305337;4.328813;38.69928
4.200956;4.303631;4.328781;36.27075
4.190325;4.290431;4.328719;37.39075
4.200112;4.297575;4.328688;36.59991
4.199325;4.296638;4.328688;36.59479
4.202343;4.301906;4.328688;36.76079
4.192781;4.292775;4.328688;37.13833
4.201406;4.302525;4.328688;36.31845
4.192669;4.288519;4.328656;37.16694
4.191244;4.287694;4.328656;37.31572
4.181156;4.302638;4.328656;38.68423
4.204875;4.302862;4.328625;35.47999
4.194656;4.292625;4.328594;36.98069
4.186987;4.309631;4.328563;37.8711
4.175925;4.297013;4.328531;39.07078
4.1952;4.290263;4.3285;37.19061
4.203506;4.302675;4.3285;36.74512
4.192987;4.2921;4.3285;37.10682
4.181025;4.302806;4.3285;38.65319
4.193812;4.297012;4.328469;36.92775
4.194019;4.296469;4.328437;36.73187
4.1808;4.301869;4.328437;38.56164
4.192688;4.295775;4.328406;37.14241
4.194488;4.297031;4.328406;36.85288
4.202775;4.301569;4.328375;35.55721
4.20345;4.303331;4.328375;36.7194
4.204688;4.302844;4.328281;35.61339
4.205419;4.305994;4.328281;36.18527
4.193738;4.293525;4.328281;36.89522
4.201031;4.304513;4.328281;36.15865
4.165313;4.284187;4.328281;40.18118
4.203469;4.301681;4.32825;35.5261
4.199775;4.302581;4.32825;37.07882
4.195837;4.292737;4.328094;36.58264
4.195087;4.298025;4.328094;36.76118
4.176338;4.296431;4.328094;39.00222
4.200975;4.297031;4.328063;36.5331
4.199438;4.296694;4.328063;36.58007
4.206038;4.3086;4.328063;35.74816
4.192631;4.295325;4.328;37.32338
4.17;4.289925;4.328;39.67142
4.190719;4.289531;4.327969;37.65512
4.172062;4.290187;4.327969;39.3359
4.197562;4.296019;4.327938;36.33246
4.1949;4.297931;4.327938;36.85775
4.197113;4.296994;4.327937;36.80883
4.189125;4.291144;4.327907;36.87751
4.196231;4.293037;4.327906;36.74668
4.198613;4.299806;4.327906;36.41425
4.195875;4.299431;4.327906;36.8088
4.1934;4.296618;4.327875;36.88721
4.170806;4.289288;4.327875;39.33111
4.173225;4.293375;4.327875;39.24168
4.195875;4.297856;4.327844;36.41626
4.199381;4.3026;4.327844;36.37769
4.193512;4.293937;4.327813;37.56088
4.193438;4.293187;4.327813;37.23266
4.188956;4.310044;4.327781;37.8526
4.194075;4.297969;4.32775;37.00373
4.180931;4.302375;4.32775;38.54313
4.181813;4.303125;4.32775;38.16861
4.194412;4.296375;4.327719;36.36048
4.203131;4.305713;4.327719;35.80489
4.201219;4.303875;4.327719;36.38242
4.20255;4.305375;4.327719;36.17253
4.198913;4.30065;4.327687;35.9357
4.198706;4.301475;4.327687;36.80924
4.202081;4.30455;4.327656;36.2286
4.172606;4.290112;4.327656;39.35035
4.186406;4.308375;4.327656;37.89395
4.181813;4.3035;4.327656;39.05832
4.1922;4.295756;4.327625;36.96813
4.194281;4.297163;4.327625;36.97326
4.200637;4.29645;4.327562;36.3906
4.200075;4.30305;4.327562;35.95714
4.202569;4.303819;4.327531;36.29542
4.162706;4.280981;4.327531;39.31651
4.1745;4.2951;4.327531;39.32502
4.19625;4.299656;4.3275;36.43481
4.193138;4.29255;4.327437;37.20412
4.192725;4.288538;4.327406;37.21641
4.201181;4.303725;4.327406;35.88234
4.201125;4.302544;4.327406;36.27135
4.175981;4.29675;4.327406;38.96934
4.194263;4.293244;4.327375;37.14051
4.195219;4.293787;4.327375;37.1207
4.174706;4.29705;4.327375;38.92411
4.194881;4.292325;4.327344;36.95261
4.194525;4.296113;4.327344;36.69183
4.196962;4.299131;4.327344;36.37303
4.201594;4.300725;4.327312;35.88703
4.194019;4.293562;4.327312;37.19881
4.197431;4.299619;4.327312;36.42191
4.202044;4.300294;4.327281;35.52998
4.1982;4.29885;4.327281;36.69048
4.182375;4.303257;4.327281;38.77628
4.189688;4.311394;4.327281;37.46674
4.196813;4.298963;4.32725;36.59459
4.197356;4.294294;4.327219;36.63927
4.195988;4.298362;4.327219;37.01196
4.180969;4.301625;4.327219;38.78678
4.1985;4.294875;4.327188;36.53349
4.199512;4.29795;4.327188;36.23618
4.191319;4.290731;4.327125;37.3446
4.199194;4.302938;4.327125;36.18139
4.194057;4.296712;4.327063;36.88208
4.198106;4.301925;4.327063;36.18158
4.173862;4.293994;4.327063;39.2289
4.195313;4.291969;4.327031;36.91872
4.196437;4.295344;4.327031;36.10795
4.200731;4.302844;4.327031;35.86031
4.178082;4.299656;4.327031;38.79182
4.198613;4.297519;4.327;35.97111
4.172325;4.290094;4.327;39.35923
4.183725;4.305319;4.327;38.62011
4.189125;4.310794;4.327;38.0518
4.200375;4.301944;4.326969;36.22034
4.191544;4.287544;4.326938;37.13678
4.196775;4.2936;4.326938;36.6049
4.201125;4.3005;4.326938;36.4292
4.195837;4.298362;4.326906;36.4423
4.197356;4.30035;4.326906;36.47031
4.19655;4.293413;4.326875;36.64643
4.199044;4.302356;4.326875;36.09687
4.1676;4.285706;4.326875;39.94897
4.198706;4.296375;4.326844;36.61764
4.198181;4.297781;4.326844;36.04523
4.202531;4.303856;4.326844;36.20691
4.186162;4.308187;4.326844;38.72925
4.19655;4.295981;4.326813;36.16087
4.180237;4.302881;4.326813;38.98224
4.193944;4.294519;4.326812;36.84475
4.199006;4.302319;4.326812;36.64742
4.193532;4.294669;4.326781;36.82732
4.184231;4.30605;4.326781;38.76202
4.186444;4.307925;4.326781;37.93289
4.192875;4.292906;4.32675;37.18808
4.199512;4.301662;4.32675;36.26932
4.196175;4.298156;4.32675;36.42744
4.1931;4.296206;4.32675;37.09534
4.198313;4.297388;4.326719;37.02948
4.166963;4.285388;4.326688;40.2356
4.188375;4.290094;4.326656;37.37749
4.204575;4.303106;4.326625;35.52058
4.190175;4.291237;4.326594;36.8931
4.176244;4.297688;4.326594;38.92194
4.17675;4.297031;4.326563;39.02869
4.176338;4.298044;4.326563;38.33058
4.1991;4.300387;4.326562;36.34448
4.203244;4.30545;4.326562;35.86699
4.194263;4.297312;4.326562;36.91401
4.186106;4.307269;4.326562;38.00893
4.199512;4.295231;4.326531;36.08034
4.198987;4.301194;4.326531;36.36507
4.179975;4.299656;4.326531;38.49557
4.192594;4.288725;4.3265;37.23363
4.199906;4.302244;4.3265;36.35884
4.199007;4.301081;4.3265;36.78868
4.200037;4.303463;4.3265;36.12949
4.167675;4.286175;4.3265;40.24627
4.19715;4.295288;4.326469;36.31861
4.200562;4.300125;4.326468;35.82292
4.196738;4.298925;4.326437;36.23883
4.203338;4.30635;4.326437;36.25953
4.173187;4.293656;4.326437;39.21481
4.17825;4.300013;4.326437;38.48516
4.177669;4.299112;4.326437;38.49801
4.200788;4.303313;4.326406;36.45143
4.194544;4.297669;4.326406;36.97484
4.168875;4.287;4.326406;39.55031
4.173281;4.293188;4.326406;39.06594
4.197581;4.299056;4.326375;36.39588
4.200656;4.297106;4.326344;36.50205
4.190831;4.2903;4.326344;37.18633
4.201838;4.303988;4.326344;36.02212
4.172494;4.293169;4.326344;39.55941
4.195013;4.292194;4.326313;36.558
4.197675;4.29735;4.326313;36.51982
4.170225;4.288256;4.326313;40.01519
4.199531;4.297987;4.326282;35.8745
4.166512;4.284187;4.326282;40.2047
4.195294;4.291462;4.32625;36.64604
4.199812;4.298813;4.32625;35.66095
4.195594;4.298081;4.32625;36.60372
4.2018;4.303163;4.32625;36.25499
4.164225;4.285406;4.32625;39.722
4.181044;4.302281;4.32625;38.38676
4.196944;4.296825;4.326219;35.92739
4.192688;4.296075;4.326219;36.90002
4.196869;4.3008;4.326219;36.20228
4.20015;4.296675;4.326188;35.74248
4.176188;4.297913;4.326188;39.01881
4.203113;4.301831;4.326156;35.44904
4.19775;4.296712;4.326125;36.99039
4.193775;4.295606;4.326125;37.42261
4.19925;4.296656;4.326094;35.91606
4.201313;4.30125;4.326094;35.777
4.190269;4.293825;4.326094;36.94611
4.194919;4.298306;4.326094;36.43204
4.172793;4.293694;4.326094;39.04934
4.18935;4.292025;4.326063;37.18731
4.182413;4.30365;4.326063;38.18867
4.195331;4.298137;4.326031;37.30838
4.20465;4.308338;4.326031;35.76302
4.192106;4.288481;4.326;37.25077
4.189013;4.311;4.326;37.6077
4.197488;4.30095;4.325969;36.39487
4.177612;4.298625;4.325969;38.43373
4.190944;4.293881;4.325938;36.99116
4.19925;4.298438;4.325937;36.69543
4.1976;4.299037;4.325906;36.44376
4.194638;4.296638;4.325906;36.9943
4.191825;4.290431;4.325875;37.64184
4.1943;4.29405;4.325875;37.13283
4.197712;4.297313;4.325875;36.07086
4.198556;4.300969;4.325875;36.32906
4.187944;4.309725;4.325875;37.54742
4.19115;4.289025;4.325844;37.72348
4.189781;4.293282;4.325844;36.98016
4.1982;4.301625;4.325844;36.16813
4.189087;4.310307;4.325844;37.56672
4.190175;4.287262;4.325813;37.31207
4.199475;4.30275;4.325812;36.08175
4.196306;4.300013;4.325781;37.1178
4.193757;4.292775;4.32575;37.02825
4.2021;4.30365;4.325719;36.05793
4.170113;4.290094;4.325718;39.68608
4.198294;4.297256;4.325687;35.98807
4.1949;4.293675;4.325687;36.44862
4.202063;4.304662;4.325687;35.89174
4.198444;4.297575;4.325656;36.75977
4.191769;4.293713;4.325656;36.28769
4.175081;4.296731;4.325656;38.74691
4.192313;4.290375;4.325625;37.44003
4.195481;4.296244;4.325594;36.18156
4.194468;4.297838;4.325594;36.56076
4.198856;4.301569;4.325593;36.34508
4.171537;4.288594;4.325562;39.32834
4.173469;4.293506;4.325562;39.55534
4.188787;4.31025;4.325562;37.48573
4.199475;4.302319;4.325531;35.95994
4.198856;4.298007;4.3255;36.31025
4.1928;4.292438;4.3255;36.02295
4.194019;4.297875;4.325469;36.70753
4.177406;4.297969;4.325469;38.45132
4.179675;4.301119;4.325469;38.05043
4.199213;4.297012;4.325438;36.63252
4.194131;4.297781;4.325438;36.61605
4.189556;4.292982;4.325438;37.35533
4.200413;4.301681;4.325407;36.0644
4.190156;4.293019;4.325407;36.978
4.201331;4.297425;4.325406;36.54049
4.190588;4.292363;4.325406;36.79659
4.190175;4.287262;4.325375;37.29219
4.172812;4.293094;4.325375;39.48795
4.196662;4.295625;4.325344;36.78569
4.175288;4.296806;4.325344;39.01932
4.190531;4.288144;4.325313;37.18007
4.202513;4.306313;4.325313;35.56138
4.179844;4.301925;4.325313;38.58069
4.194;4.290487;4.325281;36.81234
4.198556;4.302;4.325281;36.81892
4.198594;4.301962;4.325281;36.08679
4.194656;4.297331;4.32525;36.37046
4.188768;4.290356;4.32525;37.30838
4.177069;4.298025;4.32525;39.06294
4.195313;4.2945;4.325219;36.52396
4.192537;4.2954;4.325219;36.9477
4.194956;4.295381;4.325188;36.21898
4.201594;4.305637;4.325188;35.60402
4.202325;4.305169;4.325188;35.55476
4.186762;4.308169;4.325187;37.935
4.200919;4.299525;4.325156;35.69605
4.198537;4.301063;4.325156;35.74755
4.195481;4.2936;4.325125;36.99194
4.191469;4.293394;4.325125;36.74158
4.204782;4.308206;4.325125;35.54956
4.197375;4.299019;4.325094;36.46793
4.199062;4.301175;4.325094;35.95187
4.20315;4.305356;4.325094;36.16974
4.195275;4.296825;4.325094;36.76908
4.168669;4.285687;4.325094;39.39634
4.197375;4.299356;4.325063;36.37347
4.1967;4.295662;4.325;36.22099
4.167131;4.285838;4.325;39.74395
4.198594;4.297519;4.324969;35.90483
4.199812;4.301381;4.324969;36.021
4.193494;4.2936;4.324938;37.13151
4.190531;4.29015;4.324937;36.85489
4.198481;4.300556;4.324937;36.08013
4.195087;4.29915;4.324937;36.96069
4.192425;4.2927;4.324906;36.54726
4.193438;4.295137;4.324906;36.72465
4.193662;4.297125;4.324906;36.99314
4.198106;4.301025;4.324906;36.76847
4.196588;4.301006;4.324906;36.74931
4.175643;4.297575;4.324906;38.82839
4.181419;4.302581;4.324906;38.22917
4.194506;4.2954;4.324844;36.67698
4.198931;4.300275;4.324844;36.35147
4.192838;4.296131;4.324843;36.85105
4.189575;4.293413;4.324812;37.22315
4.200356;4.302131;4.32475;36.11016
4.169231;4.286981;4.32475;40.3003
4.190362;4.29375;4.324719;37.40691
4.1799;4.300763;4.324719;38.44981
4.198256;4.296506;4.324718;36.12223
4.190513;4.287881;4.324687;37.27091
4.198612;4.30125;4.324687;35.94841
4.177032;4.298062;4.324687;39.08923
4.197994;4.296994;4.324656;36.78452
4.203413;4.307756;4.324656;35.76284
4.166063;4.283644;4.324656;40.20325
4.203581;4.301869;4.324625;35.48246
4.198313;4.29825;4.324625;36.06401
4.2006;4.302619;4.324625;35.98747
4.1853;4.307081;4.324625;38.02119
4.190925;4.289475;4.324594;36.28657
4.197656;4.296113;4.324563;36.35642
4.201781;4.303856;4.324563;36.02174
4.176563;4.297819;4.324563;38.42624
4.202156;4.300313;4.324532;35.93224
4.192087;4.294781;4.324532;36.62995
4.192313;4.29525;4.324532;36.82896
4.179431;4.300556;4.324532;38.44772
4.194806;4.290994;4.324531;36.63929
4.201406;4.30275;4.324531;36.09485
4.176;4.297219;4.324531;39.0771
4.194619;4.293431;4.3245;36.79813
4.191769;4.293825;4.3245;36.59798
4.19835;4.300444;4.3245;36.16751
4.191656;4.291425;4.324469;36.62518
4.199944;4.302338;4.324469;35.99839
4.197619;4.296056;4.324406;36.26993
4.201031;4.299131;4.324375;35.86171
4.199044;4.301137;4.324375;35.94194
4.1889;4.290694;4.324375;37.24613
4.199363;4.301419;4.324375;36.24327
4.198613;4.301288;4.324313;36.66587
4.201838;4.305525;4.324313;35.55251
4.193906;4.297594;4.324313;36.92663
4.178006;4.299225;4.324313;38.61065
4.190437;4.290225;4.324281;36.6988
4.1898;4.291706;4.324281;37.39503
4.193944;4.297106;4.324281;36.54865
4.193869;4.298025;4.324281;36.83765
4.19925;4.303069;4.32425;36.19426
4.198969;4.299075;4.324219;36.08941
4.198987;4.300556;4.324219;36.28217
4.201238;4.303668;4.324219;35.81059
4.203506;4.30695;4.324219;35.51771
4.172437;4.293768;4.324219;39.21797
4.1769;4.298475;4.324219;38.86172
4.175719;4.298156;4.324219;38.65413
4.192256;4.291687;4.324188;37.11285
4.2039;4.302881;4.324187;35.20359
4.196719;4.296319;4.324187;36.80369
4.195163;4.296019;4.324187;36.62656
