K5PC5CH.OP;K5P19_1.PV;K5PC6CH.OP
20.79245;-340.3769;32.6463
20.31688;-340.3746;32.7687
20.56088;-340.3681;32.63917
20.03932;-340.3661;32.74276
19.6499;-340.3652;32.71938
20.46839;-340.3625;32.77016
19.55187;-340.3596;32.71302
20.36213;-340.3513;32.72641
19.91156;-340.3438;32.70719
19.68448;-340.3356;32.73656
20.49094;-340.3296;32.76943
19.7212;-340.3244;32.71
19.56495;-340.32;32.66401
19.78318;-340.3056;32.73349
20.68396;-340.3;32.72109
20.54948;-340.2967;32.67047
19.90016;-340.2967;32.72151
20.57573;-340.2923;32.81807
20.49255;-340.2879;32.88182
20.7362;-340.2833;32.76156
19.71734;-340.2819;32.74313
19.84943;-340.2817;32.73516
20.6025;-340.2735;32.68547
20.42917;-340.2686;32.73578
20.39583;-340.2683;32.84536
19.83417;-340.2631;32.71599
20.33276;-340.2563;32.74297
19.71083;-340.2544;32.68745
19.34979;-340.2481;32.62625
20.18937;-340.2394;32.755
19.65937;-340.2377;32.70422
20.39359;-340.2267;32.72552
20.47823;-340.2208;32.7799
19.64115;-340.2142;32.71396
20.13661;-340.2079;32.74578
20.47234;-340.1983;32.84609
19.50427;-340.1977;32.64995
20.59677;-340.1869;32.65635
20.39146;-340.1829;32.75396
20.66182;-340.1825;32.75776
19.84651;-340.179;32.72224
19.45229;-340.1777;32.64235
20.23812;-340.1702;32.88599
20.46479;-340.1671;32.81802
19.92484;-340.1656;32.69891
20.69922;-340.165;32.78484
19.77375;-340.1625;32.73203
20.30505;-340.1608;32.73052
21.02917;-340.1558;33.99198
19.87458;-340.1508;32.74172
20.56661;-340.1454;32.77969
20.25109;-340.1446;32.74198
18.54302;-340.1338;32.78073
19.37177;-340.1283;32.60474
20.77682;-340.1219;34.0187
20.62771;-340.121;32.74495
20.36292;-340.1192;32.77114
19.89203;-340.1052;32.71646
20.69698;-340.1004;32.83172
20.60125;-340.0906;32.74479
19.77161;-340.0906;32.73021
20.23958;-340.0887;32.73583
20.24526;-340.0885;32.67937
19.74828;-340.0789;32.7014
20.28375;-340.0786;32.78115
20.28578;-340.0746;32.76719
20.14338;-340.0679;32.72099
20.0087;-340.0648;32.7301
19.82318;-340.0587;32.6913
20.55333;-340.0456;32.81818
20.44948;-340.0452;32.76271
19.59781;-340.0415;32.73151
19.95094;-340.0388;32.74963
20.34203;-340.036;32.77922
19.5887;-340.0285;32.68453
19.80177;-340.0186;32.72099
20.59021;-340.0175;32.75953
20.36979;-340.0152;32.76661
20.70214;-340.0073;32.7825
20.19516;-340.0071;32.72943
20.73906;-340.0004;32.61734
20.24479;-339.996;32.88802
18.21406;-339.994;32.24953
20.30026;-339.9919;32.80979
19.51089;-339.9912;32.59953
20.47062;-339.9906;32.86255
20.12625;-339.9862;32.7812
19.92432;-339.9856;32.74984
19.82375;-339.985;32.6739
20.76849;-339.9752;32.73812
19.72609;-339.9742;32.71146
17.8876;-339.974;32.1175
20.24578;-339.9731;32.74411
20.64047;-339.9685;32.7012
20.21208;-339.9629;32.72818
20.08104;-339.9617;32.76208
19.77146;-339.9587;32.72589
20.67573;-339.9523;32.73458
19.62568;-339.9508;32.69844
20.40781;-339.9488;32.79526
20.74526;-339.9485;32.84474
19.82162;-339.9469;32.72901
20.34984;-339.9463;32.7326
20.49385;-339.946;32.80531
20.40781;-339.9452;32.81958
19.8062;-339.9438;32.72604
19.84052;-339.9427;32.74323
18.15203;-339.9371;32.25266
20.49047;-339.9362;32.77958
19.74156;-339.9323;32.70948
20.35151;-339.9277;32.82141
18.04953;-339.9204;32.48412
20.0875;-339.9117;32.75245
20.23948;-339.9081;32.80979
20.16286;-339.9044;32.70354
19.85427;-339.9029;32.69437
20.56526;-339.894;32.81813
20.45104;-339.8906;32.57427
20.29677;-339.8808;32.78484
21.10698;-339.88;33.96828
21.19786;-339.8781;33.92667
20.45865;-339.8652;32.80255
20.09651;-339.864;32.71073
19.76208;-339.8623;32.70562
20.38521;-339.8621;32.73265
20.37797;-339.86;32.78453
19.96;-339.8573;32.85266
19.53078;-339.8435;32.6537
20.42359;-339.8358;32.66057
20.6599;-339.8312;32.76594
20.50229;-339.8296;32.59787
20.54094;-339.8271;32.69156
19.77922;-339.8271;32.66917
19.79526;-339.8258;32.72604
20.48953;-339.816;32.78224
20.00193;-339.8135;32.80068
19.70552;-339.8133;32.72021
20.13682;-339.805;32.77135
20.20807;-339.795;32.85745
19.6425;-339.7852;32.71989
19.52448;-339.7838;32.59516
19.78958;-339.7721;32.73188
20.17281;-339.7698;32.76614
20.7976;-339.7687;32.8049
20.39344;-339.7667;32.79099
19.75901;-339.7658;32.70927
19.78052;-339.7623;32.73026
20.46198;-339.7621;32.78896
20.28453;-339.7556;32.74411
19.75937;-339.7446;32.73078
20.15964;-339.7415;32.72594
19.68656;-339.7327;32.71354
18.03328;-339.7313;32.3587
19.81104;-339.7306;32.70578
20.51724;-339.7296;32.79677
19.62448;-339.7292;32.63562
20.38646;-339.7285;32.81526
19.9201;-339.7227;32.73026
20.39135;-339.7221;32.78891
19.74385;-339.7202;32.66365
20.53406;-339.7125;32.71365
20.25745;-339.7071;32.84516
20.45005;-339.69;32.7763
17.51615;-339.6854;32.28313
19.89078;-339.6794;32.67797
19.8199;-339.6769;32.68875
18.45432;-339.6761;32.8051
20.33297;-339.6758;32.78656
19.72412;-339.6688;32.70641
20.69193;-339.6687;32.79875
18.73807;-339.6644;32.87182
18.53099;-339.6588;32.85073
18.43828;-339.6577;32.18016
20.52198;-339.6563;32.78729
20.43386;-339.6506;32.77974
20.07391;-339.6481;32.80802
20.23135;-339.6481;32.75057
19.93104;-339.6377;32.71932
19.68125;-339.6344;32.69776
19.99036;-339.6304;32.72917
20.37875;-339.6302;32.87031
19.41537;-339.6302;32.61557
19.90344;-339.6296;32.72485
20.68255;-339.6173;33.85745
20.2038;-339.6038;32.81771
20.4388;-339.6004;32.78995
20.55677;-339.5965;32.80401
19.94687;-339.5927;32.7211
19.23906;-339.5854;32.58297
20.35662;-339.5829;32.74464
19.61516;-339.581;32.63662
20.1925;-339.5804;32.74411
20.32953;-339.575;32.76516
19.8375;-339.5744;32.66719
21.27203;-339.5715;33.99125
19.82307;-339.5696;32.68693
