K5P6.PV;K5PCV6I.PV;K5PC6CH.OP;K5P24.PV
1.653008;95.0153;62.29572;1.424265
1.680137;95.56659;63.50603;1.443824
1.681726;95.65205;64.08926;1.444966
1.680142;95.75198;63.97196;1.443027
1.680123;95.80904;64.30648;1.443438
1.478407;95.0667;58.85749;1.270534
1.500175;95.16622;59.39884;1.290856
1.450187;95.83095;59.27212;1.244328
1.418568;95.29553;57.69344;1.218998
1.404643;95.50468;58.16887;1.204608
1.326226;95.5734;56.43749;1.136713
1.346088;95.59053;54.88246;1.159544
1.254193;95.57275;54.65651;1.073742
1.249673;95.76263;54.66002;1.071973
1.307856;95.39085;56.00072;1.121415
1.19807;95.65887;53.53995;1.027023
1.155531;95.70911;52.11905;0.9933531
1.100152;95.72925;51.12699;0.9413428
1.130473;95.55491;50.42628;0.9738365
1.091813;95.16669;49.57811;0.9384281
1.128559;95.03735;51.34295;0.9660742
1.150136;95.2175;52.00129;0.986045
1.150148;95.26577;52.02194;0.9872918
1.05725;94.77954;49.13676;0.9081611
1.06843;95.5981;50.2333;0.9151977
1.13007;95.22894;51.65934;0.9672771
1.077578;94.87939;49.51871;0.9259838
1.069008;95.72417;50.60464;0.9153481
1.074108;95.62216;50.60442;0.9197563
1.109164;95.3046;51.08957;0.950074
1.059581;95.54082;50.89086;0.906135
1.035822;95.31504;50.01831;0.8866871
1.041015;95.67174;49.20881;0.8944435
1.039824;95.37441;49.37671;0.8897852
1.036205;95.51985;49.64267;0.887919
1.050136;95.5669;49.96714;0.89856
1.019804;95.23051;49.34542;0.873088
1.053364;95.70818;50.29133;0.9016559
1.000132;94.94534;48.56837;0.8577213
1.011472;95.633;48.5083;0.8672438
1.04826;95.25182;49.64475;0.8987727
1.048349;95.08751;49.84254;0.897141
1.060352;95.25393;49.75091;0.9064907
1.000128;95.2552;48.34172;0.8568913
1.00562;95.3251;48.53782;0.8616209
0.9966604;95.16729;48.23235;0.8522204
1.019807;94.94498;48.13171;0.8747745
1.062823;95.52275;50.16341;0.9097052
0.9968545;94.95628;47.99287;0.8533058
0.9952369;95.23244;47.80347;0.8539572
1.000138;95.61641;48.86652;0.8556491
1.000119;95.46078;48.83411;0.8569793
1.000151;95.49868;48.86574;0.8551832
0.9760652;95.06731;47.55611;0.8363534
1.011684;95.75416;49.72723;0.8653567
0.9933436;95.37554;48.67772;0.8511948
1.000126;95.49743;48.80198;0.8548858
0.9599777;94.89345;47.16803;0.8248605
0.9599584;94.80202;47.24014;0.8242662
0.9590192;95.11803;46.98098;0.8231614
0.9751335;95.43513;48.14526;0.8344712
0.9370682;95.78455;46.71793;0.8059146
0.9501268;94.96503;46.81103;0.8146427
0.9398876;95.34601;46.51976;0.8064384
0.9599705;95.05975;47.56156;0.8220077
0.9255994;95.37217;46.76186;0.7930199
0.9501014;95.73611;47.33128;0.8139245
0.961855;95.30343;47.4427;0.8233196
0.9501139;95.80535;47.63398;0.8130657
0.9039769;94.87467;46.03994;0.7758755
0.9456407;95.08073;46.89466;0.8094177
0.9501182;95.82516;47.76978;0.8133811
0.9251372;95.68483;46.50087;0.7916188
0.8980568;95.19625;45.98883;0.7704545
0.8975984;95.58728;45.49808;0.7732988
0.9378932;94.81712;46.53955;0.8040743
0.898572;95.02126;45.16146;0.7703089
0.8625768;95.37141;44.46053;0.7432709
0.9500905;95.12183;47.29741;0.8120268
0.8898649;95.26511;45.77393;0.7640107
0.9145147;95.5994;46.29154;0.7828533
0.9001337;95.26556;45.78149;0.7706643
0.8898752;95.3206;45.85017;0.7637205
0.9001001;95.70071;45.86667;0.7706398
0.900129;95.62302;45.70878;0.7714359
0.8898735;95.37202;46.07376;0.762948
0.8898709;95.40088;45.99469;0.7642158
0.8512664;94.96208;44.13393;0.7295697
0.871911;94.93235;44.92787;0.7485657
0.8817543;95.639;45.67082;0.7582414
0.8918725;95.43544;46.16918;0.7629084
0.8968694;95.01558;45.72509;0.7680829
0.8781226;95.38406;45.42057;0.7537888
0.8800293;95.03896;45.09465;0.7542275
0.8208157;95.35073;43.43182;0.7064599
0.8157939;94.91656;43.61284;0.702172
0.8502773;95.13705;44.6694;0.7283043
0.8201611;95.19924;43.70599;0.7056422
0.8096289;95.1829;42.95026;0.6971489
0.8327436;95.39429;44.23922;0.7154977
0.8201925;95.38054;43.57859;0.7046791
0.7945205;95.34618;42.64561;0.6837548
0.820174;95.23555;43.60768;0.7040838
0.8000886;95.27136;42.98117;0.6876991
0.8235604;95.31507;43.73206;0.7066378
0.850102;95.35741;44.49977;0.7299024
0.8201815;95.35973;43.4689;0.7037506
0.7976971;95.0918;42.86312;0.6839389
0.8126912;95.1294;43.29536;0.6979919
0.7593457;94.88129;41.11135;0.6530716
0.7649527;94.81519;41.43258;0.6562137
0.7672201;95.08117;41.9767;0.6576825
0.7266733;95.68557;41.4816;0.6234499
0.7256673;95.00652;41.04123;0.621832
0.7503162;95.17951;40.93564;0.6452463
0.7466462;95.11748;41.67248;0.6396202
0.7300202;95.34074;41.35579;0.6282012
0.7000615;94.97018;40.18011;0.5994245
0.6807822;95.59487;39.49147;0.5858899
0.7132345;95.21268;40.98089;0.6130996
0.6875592;94.97952;39.68755;0.5889614
0.7146439;95.31052;41.04145;0.6135198
0.6772647;94.98383;39.43722;0.5810962
0.6701632;94.87875;39.15641;0.5735261
0.6701749;94.87848;39.18575;0.5749753
0.6724252;95.09186;39.24564;0.5756159
0.6461663;95.52306;38.45308;0.5553302
0.6617582;95.13222;39.51466;0.5693261
0.6201627;95.53967;37.74855;0.5322164
