K5T7.PV;K5T8_1.PV
52.90729;64.13385
52.90552;64.9049
52.90511;64.0901
52.905;64.15938
52.90448;62.6625
52.90354;64.16635
52.9024;62.50813
52.90198;64.82844
52.90187;64.81906
52.90052;62.70864
52.89885;64.06219
52.89865;64.15135
52.89771;63.4299
52.8975;64.87459
52.89719;64.75031
52.89542;64.14437
52.89469;64.79667
52.89437;64.82677
52.89052;64.76229
52.88896;62.73021
52.88896;64.19104
52.885;64.16458
52.88271;62.72667
52.87875;64.85479
52.8775;64.78313
52.87635;62.40802
52.87594;64.3975
52.87469;64.66302
52.87375;62.55104
52.87146;64.78083
52.87125;64.81896
52.87052;62.71833
52.86844;64.82094
52.8674;62.76115
52.86646;62.76511
52.86604;64.79781
52.86521;62.68385
52.8625;62.37792
52.86229;64.50219
52.86;64.37917
52.85812;62.53292
52.85656;62.73021
52.85614;64.82844
52.85531;62.69271
52.85448;67.22813
52.85375;64.81854
52.85167;64.84093
52.85073;62.7151
52.8499;64.80271
52.84958;64.58406
52.84927;64.79542
52.84875;64.7774
52.84698;64.15667
52.84344;62.695
52.84281;62.69479
52.84146;62.57761
52.83688;63.44802
52.83688;64.88344
52.83656;62.55469
52.83625;64.07584
52.83604;62.56886
52.83271;62.66177
52.83094;62.71365
52.8301;64.08104
52.82771;62.68708
52.8275;64.15833
52.82417;62.70573
52.82261;62.57677
52.82219;64.15396
52.82188;62.70771
52.82052;62.48302
52.81875;64.17687
52.81677;62.69989
52.81625;62.73906
52.81479;64.48115
52.81438;62.73281
52.81167;62.53635
52.81031;62.40562
52.81021;64.8326
52.80875;67.20844
52.80833;64.81313
52.80375;64.55833
52.80302;62.66302
52.79625;64.07594
52.79615;62.68208
52.795;62.74469
52.78875;62.64052
52.78375;62.72573
52.78302;62.65135
52.78021;64.18333
52.77802;64.76083
52.77625;64.06344
52.77448;64.08719
52.77396;62.57489
52.77323;62.67083
52.7726;62.35427
52.77187;63.37927
52.77073;62.62833
52.76781;64.09375
52.76688;62.0976
52.76667;62.63813
52.76594;64.9025
52.76573;62.54719
52.76531;63.39198
52.76365;63.4449
52.76302;62.47479
52.76104;62.60594
52.76062;64.80396
52.75896;62.55239
52.75719;62.06656
52.75719;64.92355
52.75615;62.58271
52.75177;62.65781
52.75146;63.09125
52.75125;64.09781
52.75063;62.46604
52.75042;62.37677
52.74896;64.92354
52.74896;64.11031
52.74792;62.50708
52.74729;63.35417
52.74437;62.09063
52.74385;64.98354
52.74344;62.58062
52.74177;62.75156
52.74177;64.93792
52.74125;64.17177
52.73729;67.18135
52.73635;64.98271
52.73615;62.68542
52.73354;62.6474
52.73281;64.12177
52.72833;63.3051
52.72802;62.35906
52.72594;63.3251
52.72469;62.40177
52.72125;62.44573
52.7201;62.38802
52.71844;63.1501
52.71698;62.39417
52.7125;62.13167
52.71229;62.04771
52.71177;62.38865
52.71021;62.67937
52.71011;63.22854
52.71;62.30542
52.71;63.19761
52.70844;62.46125
52.70802;62.48323
52.70719;62.41969
52.70531;62.71688
52.70313;62.61635
52.70302;62.6899
52.7025;62.74688
52.70104;64.93365
52.70052;62.36385
52.69729;62.67094
52.69688;62.47187
52.6951;62.17427
52.69479;62.7375
52.69448;62.45958
52.69354;62.44906
52.69239;63.07656
52.69208;67.10969
52.69177;62.66063
52.69115;62.11167
52.68927;62.41604
52.68781;64.59865
52.68771;62.36646
52.6875;62.09156
52.6874;62.43104
52.68698;64.50011
52.68625;63.29844
52.685;63.26219
52.68427;62.35708
52.68323;62.41208
52.6824;62.77271
52.67542;62.40896
52.67521;64.02573
52.6726;62.33406
52.6725;62.73823
52.66958;62.44469
52.66781;62.36698
52.665;62.07167
52.66396;62.16531
52.66292;62.43291
52.66198;64.46781
52.66;64.43448
52.6599;64.57729
52.65833;64.3699
52.65625;64.38323
52.65521;62.06896
52.64896;64.465
52.63771;64.45989
52.63458;64.43396
52.63115;63.08979
52.63073;62.12844
52.62802;64.42687
52.62761;64.40083
52.62563;62.08802
52.62167;62.11771
52.61937;64.42823
52.61666;64.42406
52.61177;67.0099
52.61125;64.50656
52.60437;64.49823
52.60271;64.4375
52.60219;62.78073
52.59729;62.17042
52.59469;64.56698
52.58969;63.99479
52.58125;64.47208
52.58021;63.09698
52.5751;64.48865
52.57219;64.37094
52.56865;64.4677
52.56656;62.22396
52.56073;64.53375
52.56052;64.43385
52.56021;61.96791
52.55614;64.44218
52.55229;62.00865
52.55;64.4801
52.54688;62.03083
52.5449;64.3774
52.54479;62.83271
52.54115;61.95417
52.54104;62.30083
52.53209;63.06542
52.52677;63.08187
52.52083;62.28521
52.5149;64.47531
52.51385;62.07698
52.51115;62.31802
52.50885;62.31469
52.50813;64.42167
52.50365;64.35031
52.50261;66.91229
52.50084;64.02823
52.5;64.43656
52.49958;63.07104
52.49625;62.26677
52.49541;63.035
52.49208;63.00281
52.48594;62.92896
52.47833;63.72604
52.47813;64.03468
52.47604;62.12365
52.47385;61.91896
52.46135;63.01771
52.45885;62.18729
52.45625;64.47282
52.45604;62.11719
52.45469;63.71416
52.44906;63.00927
52.44896;64.46875
52.44885;63.00489
52.44729;62.12052
52.44646;63.03927
52.44625;62.14083
52.44521;63.70875
52.44125;62.16854
52.43594;63.75802
52.43312;63.01115
52.43261;63.74542
52.42406;61.7525
52.42125;63.65344
52.42062;63.01667
52.42062;63.82365
52.4124;64.50708
52.41146;63.98156
52.41125;62.97323
52.40719;63.76219
52.40375;61.92688
52.40104;64.49219
52.40094;64.53073
52.4;63.01042
52.39656;64.44542
52.39531;63.71719
52.39354;63.89552
52.3925;64.43761
52.39167;61.78354
52.38885;61.75938
52.38885;62.98552
52.385;61.79438
52.38083;63.94479
52.37959;63.60969
52.3774;64.46167
52.37698;67.97437
52.37479;61.93052
52.37437;64.47448
52.37437;68.00729
52.37323;64.31677
52.37323;64.49917
52.37281;61.9124
52.36969;63.01271
52.36802;63.94792
52.36625;63.05406
52.36531;66.85188
52.36406;61.96573
52.36198;61.99979
52.35938;62.00073
52.35938;61.96406
52.35896;62.94302
52.35479;62.02167
52.35365;61.935
52.35198;61.91927
52.35094;61.73917
52.34958;67.99458
52.34792;63.5149
52.34729;64.32313
52.34385;61.88417
52.34323;64.31573
52.34323;64.39427
52.33937;64.33063
52.33511;62.03229
52.33385;61.96854
52.33292;61.98
52.3325;62.98052
52.32844;63.05302
52.32677;61.75271
52.32604;61.97437
52.32583;64.29979
52.32469;61.97375
52.32469;61.53604
52.32219;61.95031
52.32063;61.97354
52.32042;64.28323
52.3201;61.81719
52.31667;63.01115
52.31552;61.59219
52.31396;61.93615
52.31281;61.88125
52.31187;61.46844
52.31031;63.05323
52.30896;63.05198
52.30781;62.93823
52.3074;62.03271
52.30677;63.0474
52.30594;61.99865
52.30594;61.96104
52.30521;64.35219
52.30479;68.02344
52.30333;61.98156
52.30333;64.34657
52.30313;63.04271
52.3001;63.05865
52.29719;61.95636
52.29604;63.93875
52.2951;63.05416
52.29271;67.85073
52.29083;61.9875
52.28844;62.02094
52.28802;61.30416
52.28719;63.95875
52.28656;63.06948
52.28656;61.38219
52.28614;68.01041
52.28531;63.0601
52.28313;62.93823
52.2825;62.06594
52.28239;63.90187
52.28198;61.71656
52.28156;63.07302
52.27948;66.87719
52.27865;63.07208
52.2774;61.97333
52.2774;61.32823
52.27604;61.72198
52.27604;63.44333
52.27479;64.25584
52.27375;61.71427
52.27291;64.00166
52.27261;62.03552
52.27261;64.09333
52.27187;62.04187
52.27187;62.05958
52.27146;61.65781
52.26677;64.07437
52.26583;62.85167
52.26521;67.83646
52.26417;61.76865
52.26365;64.13625
52.25864;61.89115
52.25781;61.7649
52.2575;66.50365
52.25719;67.97229
52.25573;61.71948
52.25552;64.08052
52.25448;62.80375
52.25385;62.09636
52.25323;64.01572
52.25219;62.92125
52.25021;67.97531
52.25;67.84073
52.24886;61.74323
52.24802;61.85386
52.2475;61.86719
52.24719;61.77156
52.24333;61.74187
52.2424;66.53479
52.24198;62.00844
52.24177;64.22104
52.24146;61.75021
52.23833;61.43687
52.23729;61.89333
52.23729;62.08646
52.23563;62.89542
52.23521;62.07979
52.23438;67.80281
52.23323;61.75656
52.23312;62.06062
52.23292;61.80719
52.23177;64.15688
52.23052;61.34552
52.23;67.80989
52.22875;64.1076
52.22854;67.90229
52.22656;66.68781
52.22552;61.77896
52.2249;66.70708
52.22448;68.02042
52.22271;62.90823
52.22125;67.83916
52.21906;61.80563
52.21761;61.79667
52.2174;67.58542
52.21719;61.72656
52.21719;67.99458
52.21563;67.85656
52.21427;61.82854
52.21417;62.79052
52.21271;63.43719
52.21177;66.40542
52.21094;67.55854
52.21031;67.8851
52.20719;61.6851
52.20438;67.52802
52.20333;67.89562
52.20302;63.84479
52.20073;61.8975
52.20063;67.83666
52.19958;61.82573
52.19833;66.15614
52.19781;67.91531
52.19521;66.04302
52.195;61.79115
52.19469;61.79583
52.19375;63.11864
52.19354;61.75417
52.19344;67.88302
52.19167;67.81178
52.19135;66.61479
52.18875;66.27834
52.18854;61.78938
52.18823;67.65281
52.1876;67.86459
52.18698;67.57761
52.18604;67.57739
52.18406;66.81052
52.18396;61.79125
52.18167;66.89375
52.18104;62.91937
52.17927;64.23229
52.17906;67.81948
52.17865;67.81635
52.17667;65.96062
52.17583;61.84875
52.17562;61.67948
52.17479;67.87115
52.17427;61.78729
52.17365;61.8025
52.17365;61.21448
52.17292;61.86292
52.1725;67.90938
52.17115;63.80604
52.16917;61.8025
52.16906;64.19406
52.16864;63.78583
52.16604;61.80323
52.16542;61.86375
52.16479;61.86719
52.16281;61.90187
52.16094;63.59417
52.16084;62.77542
52.16063;61.95708
52.15948;61.80312
52.15927;67.7925
52.15865;67.83948
52.15781;61.79042
52.15646;62.91208
52.15604;63.5475
52.15427;61.79156
52.15344;67.80396
52.14844;67.81698
52.14625;67.86344
52.14531;61.6251
52.14427;67.86802
52.14333;61.67021
52.14333;63.79865
52.14292;61.9026
52.1426;67.70302
52.14208;67.6299
52.14104;61.92958
52.14;67.62354
52.13917;61.26042
52.13896;61.79979
52.13823;67.84281
52.13823;67.64552
52.13781;61.26969
52.13708;66.34052
52.13594;67.62959
52.13542;61.21615
52.13521;61.6949
52.13396;61.57854
52.13354;67.87552
52.13271;67.66604
52.13104;67.64146
52.12979;67.65927
52.12958;63.19719
52.12948;61.76729
52.12938;65.38302
52.12865;61.9125
52.12854;61.59677
52.12594;67.73458
52.12479;67.58573
52.12469;63.66708
52.1225;67.87823
52.12188;67.83927
52.12104;65.37531
52.12094;65.86854
52.12;66.3075
52.11906;63.63417
52.11896;67.68083
52.11813;63.53969
52.1176;61.81886
52.11719;67.63167
52.11489;67.8701
52.11469;61.79615
52.11396;65.50011
52.11375;65.46052
52.11333;67.69167
52.11323;67.88552
52.11229;63.78302
52.11177;62.79844
52.11031;67.885
52.10896;67.58688
52.10885;65.26781
52.10844;61.76104
52.10844;67.72614
52.1074;67.65146
52.10646;63.48042
52.10594;67.88812
52.10458;61.83167
52.10292;63.65219
52.10271;61.56688
52.1025;61.29281
52.10188;63.4099
52.10104;61.77813
52.10073;67.67104
52.1;67.68636
52.0999;67.56792
52.09958;65.15479
52.09687;65.42271
52.09521;67.87625
52.09438;67.85375
52.09417;61.55583
52.09281;61.71188
52.0924;67.85833
52.09167;61.85323
52.09104;65.75667
52.09104;67.8799
52.08958;61.91052
52.08802;67.86781
52.08656;65.14344
52.08583;67.66906
52.08521;61.76698
52.08469;61.88615
52.08354;63.36583
52.08313;65.02489
52.0826;61.52792
52.08187;61.55125
52.08146;67.8575
52.08125;67.75313
52.08104;63.65677
52.0799;67.65489
52.07906;61.77177
52.07875;67.8074
52.07802;61.515
52.07792;61.55156
52.0775;67.66552
52.0774;63.71656
52.07687;67.69813
52.07604;61.99823
52.07521;65.58583
52.07396;61.8674
52.06927;63.69062
52.06896;67.69927
52.06833;61.74677
52.06802;67.85021
52.06625;63.25771
52.06333;61.74708
52.06292;67.64803
52.06281;61.26333
52.06125;64.95052
52.06115;67.7001
52.05896;63.5051
52.05875;67.66563
52.05844;63.66406
52.05781;65.64073
52.0575;62.82083
52.05333;67.77021
52.05177;67.73489
52.05062;67.72573
52.04854;61.23448
52.03989;63.33656
52.035;67.52448
52.03146;67.85
52.03073;67.53114
52.03021;67.71011
52.02469;63.04406
52.02469;67.77364
52.02458;61.70833
52.02427;63.35427
52.02271;61.1926
52.0176;63.68729
