K5T3.PV;K5T2_1.PV
269.9775;425.3587
270.4375;425.34
270.2525;425.3287
270.68;425.2762
269.7513;425.2594
270.5187;425.1844
269.5825;425.16
270.51;425.0663
269.1337;425.0325
270.7962;424.9425
270.9863;424.815
269.0725;424.755
270.4787;424.6556
270.7937;424.5375
268.72;424.4869
268.3925;424.4794
268.555;424.4569
268.61;424.4344
268.3938;424.4156
268.38;424.4156
268.3513;424.4156
270.5313;424.4063
271.0538;424.395
271.215;424.3594
270.5;424.3556
270.8712;424.35
270.5875;424.3481
268.2563;424.3481
270.2637;424.3387
268.26;424.3387
270.73;424.3369
268.9975;424.3275
270.2937;424.3219
268.8187;424.3106
271.0063;424.3031
270.7825;424.2881
269.0862;424.2787
268.1362;424.2787
268.9212;424.2694
267.7825;424.2656
270.9162;424.2506
270.8412;424.245
271.0275;424.245
270.4375;424.2412
270.6975;424.2375
268.3325;424.2281
268.9163;424.2244
268.8475;424.2244
270.6138;424.2188
270.725;424.2094
268.7162;424.2056
268.2962;424.1944
269.0675;424.1925
271.0013;424.185
270.7575;424.1831
270.5425;424.1812
268.5825;424.1738
268.4288;424.1681
271.0813;424.1625
268.5788;424.1531
268.1575;424.1531
268.0862;424.1512
270.5488;424.1419
267.8788;424.1363
268.0387;424.1344
270.7263;424.1325
270.445;424.1288
270.6537;424.1156
269.12;424.1156
270.6075;424.1025
270.6987;424.0856
268.5625;424.0856
270.43;424.0762
268.37;424.0744
270.6138;424.0725
268.05;424.0594
271;424.0556
268.5412;424.0556
268.34;424.0537
271.015;424.0481
270.6438;424.0462
268.0875;424.0425
268.255;424.0331
270.5925;424.0256
269.0213;424.0181
268.5412;424.0069
268.7513;423.99
267.9738;423.9825
268.0562;423.9806
270.5775;423.9788
268.7125;423.9788
268.3038;423.975
268.6175;423.975
268.4187;423.9656
268.95;423.9656
268.0087;423.9506
270.4937;423.9469
268.62;423.9375
268.325;423.9375
268.47;423.9375
270.1;423.9337
268.8775;423.93
270.47;423.9281
268.2912;423.9094
268.56;423.9056
268.3438;423.9
268.1438;423.9
268.1375;423.8962
268.2563;423.8906
269.275;423.8887
268.0663;423.8756
268.4588;423.8719
267.55;423.8644
268.0925;423.8625
268.5175;423.8625
268.1512;423.8587
268.2563;423.8569
268.5075;423.855
268.3562;423.8531
270.1625;423.8513
268.2637;423.8513
268.8087;423.8494
268.6787;423.8494
268.7325;423.84
268.8013;423.84
268.61;423.84
268.5925;423.8363
268.49;423.8306
268.5125;423.8287
268.305;423.8269
268.4625;423.825
268.655;423.8194
268.7387;423.8156
268.7962;423.8138
268.5838;423.8119
268.0712;423.8062
268.435;423.8025
270.4238;423.795
268.4425;423.7913
268.7925;423.7913
269.1125;423.7875
268.2162;423.7875
268.7775;423.7819
268.5425;423.78
268.28;423.78
268.3175;423.7762
268.7025;423.7706
268.8937;423.7613
268.6475;423.7575
270.6487;423.7538
268.2262;423.7538
268.4962;423.7538
268.895;423.7519
268.6638;423.75
268.245;423.7462
267.8913;423.7444
268.2975;423.7331
268.2375;423.7313
267.94;423.7125
268.7025;423.705
268.6375;423.7031
268.5038;423.6975
270.8837;423.6956
269.0025;423.6937
268.525;423.69
269.2063;423.6862
268.46;423.6862
268.8562;423.675
268.5775;423.6731
268.3725;423.6675
268.5262;423.6581
268.7;423.6563
268.71;423.6563
268.545;423.6544
268.6037;423.6506
270.235;423.6413
268.2725;423.6394
268.425;423.6375
268.2175;423.63
268.5813;423.6281
268.5137;423.6263
268.6962;423.6206
268.375;423.6187
268.805;423.6187
268.4925;423.615
268.4188;423.6094
270.6062;423.5981
268.83;423.5981
267.4912;423.5981
268.255;423.5944
268.4388;423.5887
268.2112;423.5887
268.3075;423.5869
268.6188;423.5812
270.44;423.5719
268.9587;423.5719
268.94;423.57
268.475;423.5644
268.2225;423.5644
270.6463;423.5625
268.51;423.5625
268.1362;423.5625
268.6462;423.5587
268.4812;423.5512
268.7363;423.5512
268.6275;423.5456
268;423.5438
268.5075;423.5363
268.1837;423.5325
268.725;423.525
268.3937;423.525
270.2188;423.5156
268.7875;423.5156
270.1362;423.5137
268.73;423.5063
270.89;423.4987
270.6475;423.4931
268.505;423.4912
270.4225;423.4838
268.085;423.48
268.7312;423.4781
268.5363;423.4781
268.415;423.4725
267.4;423.4706
268.5038;423.4631
270.515;423.4613
268.035;423.4594
268.5562;423.4556
270.6313;423.45
270.855;423.4444
269.0063;423.4425
267.9562;423.4406
268.1575;423.4388
270.7162;423.4238
268.5688;423.4125
268.53;423.4088
270.4362;423.3956
268.4775;423.3937
270.9238;423.3919
270.6237;423.39
270.1125;423.3788
268.2075;423.3769
268.5725;423.3712
268.3038;423.3637
270.5338;423.3506
268.1012;423.3488
267.955;423.3469
268.5988;423.3469
270.8363;423.3375
268.4688;423.3356
270.0313;423.3319
267.5813;423.3319
270.3325;423.3225
270.6575;423.3206
268.7875;423.3188
270.81;423.3169
267.9863;423.3169
270.375;423.3094
267.8175;423.2944
268.3275;423.2869
268.3125;423.2813
268.1425;423.2794
269.2038;423.2775
268.1788;423.2775
270.7912;423.2756
268.585;423.2737
270.5875;423.2719
267.9538;423.2588
267.9187;423.2588
270.1862;423.255
268.3813;423.255
270.5462;423.2513
268.3062;423.2494
268.2587;423.2456
270.19;423.2437
268.4187;423.2381
268.4837;423.2306
268.3862;423.2269
267.9225;423.2269
268.4725;423.2213
270.115;423.2194
268.455;423.2194
270.325;423.2156
268.15;423.2156
268.4775;423.2137
268.2538;423.2081
268.6575;423.2062
268.6175;423.1988
268.4175;423.1988
268.3;423.1969
270.685;423.1913
268.7213;423.1894
267.825;423.1894
267.7437;423.1894
270.8062;423.1875
268.1575;423.1875
268.3825;423.1875
268.2063;423.1837
270.3;423.18
268.6312;423.1725
268.8062;423.1688
268.8013;423.1688
268.4675;423.1688
268.44;423.1669
268.3537;423.1669
267.8275;423.1613
268.2537;423.1613
267.925;423.1594
268.5038;423.15
270.5838;423.1481
268.235;423.1481
267.8375;423.1462
268.6875;423.1462
268.4037;423.1425
268.4438;423.1425
268.3875;423.1369
268.3788;423.1369
270.0175;423.135
268.9037;423.135
268.34;423.135
268.1888;423.1331
270.1875;423.1312
268.8687;423.1312
268.5912;423.1294
268.5625;423.1256
268.6113;423.1256
267.8138;423.1256
268.3038;423.1237
267.9287;423.1237
268.6475;423.1144
268.7363;423.1125
268.3175;423.1125
270.4388;423.1106
267.91;423.105
267.8938;423.1013
268.4238;423.1012
270.6125;423.0994
268.9475;423.0975
268.5187;423.0956
268.57;423.0956
268.1212;423.0956
268.5688;423.0938
268.41;423.0919
268.7487;423.09
270.315;423.0881
268.595;423.0862
270.5625;423.0844
268.7625;423.0844
268.8112;423.0825
268.4275;423.0825
268.1938;423.0825
268.8138;423.0788
268.7063;423.075
270.5988;423.0731
269.1712;423.0656
268.2;423.0656
268.4525;423.0638
267.9613;423.0638
267.7738;423.0638
270.2887;423.0619
268.0025;423.06
270.5013;423.0563
269.7012;423.0544
268.3387;423.0506
268.565;423.0506
268.5425;423.0488
268.9162;423.0375
268.565;423.0338
270.6;423.0244
268.7637;423.0244
267.5512;423.0225
270.4375;423.0169
268.9762;423.0169
268.5462;423.015
270.2838;423.0094
267.8862;423.0094
268.02;423.0094
268.585;423.0075
268.4138;423.0075
268.5112;423.0056
268.6825;423.0056
268.175;423.0019
270.6125;423
268.5163;422.9906
267.6675;422.9869
270.4375;422.9813
267.9912;422.9813
268.7487;422.9756
268.5125;422.9738
268.2688;422.9738
268.5025;422.9719
267.6438;422.9719
271.1325;422.9681
268.41;422.9681
268.6413;422.9625
268.6738;422.9625
270.1963;422.9587
269.15;422.9569
267.6812;422.9512
268.9975;422.9494
267.9275;422.9494
268.0875;422.9475
268.62;422.9475
268.4187;422.9437
270.0437;422.9419
268.1913;422.94
268.285;422.94
270.5387;422.9381
267.8587;422.9381
268.7075;422.9381
268.93;422.9362
268.3813;422.9344
268.6812;422.9325
267.7125;422.9306
268.4975;422.9306
268.4962;422.9306
268.0975;422.9287
271.5525;422.9269
270.2125;422.925
268.5887;422.9156
268.0663;422.9138
268.5925;422.9138
270.45;422.91
270.5875;422.9081
268.1375;422.9063
268.995;422.9063
268.4012;422.9044
270.435;422.9025
268.43;422.8969
270.3837;422.8931
268.615;422.8913
268.985;422.8875
268.7937;422.8875
270.2713;422.8857
268.275;422.8856
268.5663;422.8838
270.5388;422.8819
270.3338;422.8781
268.7287;422.8781
267.6463;422.8781
270.775;422.8763
269.9475;422.8744
269.0737;422.8744
268.5225;422.8744
268.8237;422.8725
268.5775;422.8725
268.1275;422.8725
270.545;422.8706
268.5938;422.8706
269.9375;422.8688
267.685;422.8688
268.7188;422.8688
268.525;422.8688
268.0575;422.8687
268.7538;422.8687
268.37;422.8687
270.3375;422.8669
268.905;422.8669
267.5438;422.8669
270.3375;422.865
268.4175;422.865
268.5275;422.865
268.3525;422.8631
269.0238;422.8613
268.5112;422.8613
267.7388;422.8613
268.2538;422.8613
268.425;422.8594
268.515;422.8594
268.7587;422.8575
268.5137;422.8575
270.4713;422.8556
270.38;422.8538
268.5537;422.8538
271.1288;422.8519
268.325;422.8519
268.6463;422.8519
268.3463;422.8519
270.2388;422.85
268.0675;422.85
268.5813;422.85
268.2188;422.85
270.3138;422.8406
266.69;422.8406
268.1038;422.8406
270.3913;422.8387
268.205;422.8369
270.005;422.835
268.685;422.835
268.045;422.835
268.055;422.835
268.5575;422.835
268.4812;422.8312
268.3338;422.8294
268.7;422.8275
268.2413;422.8275
268.745;422.8275
267.285;422.8275
268.0238;422.8256
268.4463;422.8256
270.4075;422.8238
267.9538;422.8238
268.5375;422.8238
267.9388;422.8219
268.5313;422.8219
268.075;422.8219
268.7087;422.82
267.9587;422.82
268.6025;422.8181
268.35;422.8181
268.195;422.8181
268.3138;422.8163
268.2262;422.8144
268.1875;422.8144
269.9037;422.8125
268.6812;422.8125
268.0425;422.8125
268.6775;422.8125
268.4388;422.8125
267.5788;422.8125
267.745;422.8106
268.7637;422.8106
268.5412;422.8106
268.84;422.8106
268.3362;422.8087
268.3862;422.8069
268.2213;422.8069
268.5275;422.805
268.5788;422.8031
268.2563;422.8031
267.2325;422.8031
268.5525;422.8012
267.9563;422.7994
268.2913;422.7994
267.905;422.7975
268.4088;422.7975
267.3525;422.7956
268.3938;422.7938
268.2;422.7938
268.3525;422.7938
268.4;422.7938
268.4137;422.7938
268.3875;422.7919
268.6;422.7919
268.3475;422.79
268.3875;422.7881
270.1725;422.7844
268.1613;422.7844
268.2025;422.7844
268.2925;422.7844
268.3687;422.7844
268.2612;422.7844
267.7838;422.7806
267.3537;422.7806
268.2112;422.7787
268.4812;422.775
268.34;422.775
268.2888;422.775
268.725;422.775
268.4187;422.775
268.815;422.775
268.7612;422.775
267.7838;422.7731
268.2538;422.7731
268.675;422.7731
267.625;422.7712
268.2;422.7712
268.0587;422.7712
267.83;422.7712
268.4138;422.7694
268.3388;422.7694
267.6187;422.7694
268.3013;422.7656
268.0088;422.7656
268.3562;422.7656
268.7988;422.7656
267.89;422.7619
268.4375;422.7619
268.0838;422.7619
268.8625;422.7619
268.3788;422.7581
267.965;422.7581
268.5813;422.7563
271.2787;422.7562
268.95;422.7562
268.455;422.7562
267.9187;422.7562
268.3025;422.7544
268.0112;422.7544
268.6962;422.7544
267.7325;422.7525
268.625;422.7525
267.4362;422.7506
268.0438;422.7487
268.1812;422.7487
268.5;422.7487
268.3963;422.7487
267.4637;422.7469
267.9138;422.7469
268.5188;422.7469
268.2238;422.7431
267.3488;422.7431
268.45;422.7431
268.5163;422.7431
268.6575;422.7431
268.3163;422.7431
268.2038;422.7412
268.3;422.7394
268.3062;422.7375
268.4375;422.7375
268.75;422.7356
267.8938;422.7338
268.4025;422.7338
268.5425;422.7337
268.2737;422.7319
268.7388;422.7263
268.6113;422.7244
268.325;422.7225
268.1613;422.7225
267.8575;422.7206
268.32;422.7188
268.5063;422.7188
267.4738;422.7169
268.4413;422.7169
268.2413;422.7112
267.8387;422.7112
268.3663;422.7094
268.4563;422.7094
268.4775;422.7094
267.2988;422.7094
267.82;422.7075
267.8275;422.7075
270.7525;422.7056
268.4388;422.7038
268.3237;422.7038
268.265;422.7038
268.5412;422.7037
268.2038;422.7019
268.0188;422.7
268.2887;422.7
268.7287;422.7
268.0175;422.7
271.4925;422.6981
268.8325;422.6981
268.3338;422.6981
268.5538;422.6963
268.0275;422.6944
268.0075;422.6925
268.2;422.6906
267.7363;422.6888
268.0163;422.6888
268.755;422.6888
267.7787;422.6869
267.6963;422.6869
267.9837;422.685
268.3362;422.6831
268.5437;422.6813
268.4975;422.6813
267.4462;422.6794
267.925;422.6794
268.15;422.6775
268.1012;422.6756
268.7875;422.6756
267.8062;422.6719
268.5587;422.67
267.4738;422.6681
268.4088;422.6663
268.3587;422.6644
268.1575;422.6625
267.955;422.6625
267.9612;422.6625
268.605;422.6625
268.1462;422.6606
268.3962;422.6588
268.32;422.6569
268.0237;422.6569
268.5475;422.655
268.5513;422.655
268.4525;422.655
268.605;422.655
268.375;422.6531
268.7962;422.6531
267.6662;422.6531
268.1913;422.6512
268.7787;422.6494
267.645;422.6494
267.9212;422.6494
268.5137;422.6456
267.9125;422.6437
268.8687;422.6419
267.66;422.64
268.395;422.6363
268.5287;422.6344
267.55;422.6344
267.5375;422.6344
268.5125;422.6325
268.61;422.6306
267.3913;422.6306
267.4238;422.6288
268.5513;422.6288
267.7475;422.6288
268.7313;422.625
268.0275;422.625
268.1987;422.625
267.605;422.625
268.46;422.625
268.2213;422.625
267.9625;422.625
268.2112;422.6231
267.835;422.6231
268.5325;422.6231
268.285;422.6231
268.7;422.6231
268.2663;422.6212
268.5325;422.6175
267.715;422.6175
267.4375;422.6156
268.5313;422.6156
267.58;422.6137
268.32;422.6137
268.2275;422.6119
267.5425;422.6119
268.2325;422.61
268.5275;422.6081
270.9925;422.6063
268.295;422.6063
268.7587;422.6063
268.2213;422.6063
271.545;422.6044
268.385;422.6044
267.6512;422.6044
267.8488;422.6044
268.1625;422.6025
268.2188;422.6025
268.4225;422.6006
268.5587;422.5988
270.1037;422.5969
268.5775;422.595
268.4888;422.5931
268.65;422.5931
268.3562;422.5931
267.5912;422.5931
267.5575;422.5912
267.3413;422.5912
268.19;422.5875
268.5612;422.5875
268.2887;422.5875
268.4675;422.5856
268.0887;422.5856
267.6438;422.5781
268.1613;422.5762
268.2762;422.5762
268.9375;422.5744
267.6975;422.5744
268.0788;422.5725
267.5137;422.5725
268.1188;422.5725
268.2388;422.5688
267.325;422.5687
268.485;422.5687
267.5513;422.5669
268.5825;422.5669
267.4362;422.565
268.085;422.5631
268.5125;422.5575
268.0225;422.5575
268.41;422.5575
267.85;422.5575
267.69;422.5556
267.4225;422.5519
267.81;422.55
268.775;422.55
267.4913;422.55
266.9113;422.5481
267.9587;422.5444
267.3175;422.5425
269.9212;422.5406
268.085;422.5406
268.3288;422.5406
267.7487;422.5388
268.0175;422.5388
267.305;422.5388
267.75;422.5388
268.0838;422.5369
268.3988;422.5369
268.255;422.5369
268.435;422.5369
268.7575;422.535
268.2125;422.5331
268.6763;422.5331
268.055;422.5331
268.3663;422.5331
268.6837;422.5331
267.79;422.5313
268.105;422.5313
268.4925;422.5294
267.6987;422.5275
268.1987;422.5275
267.3;422.5275
267.875;422.5256
267.2075;422.52
268.5313;422.5181
267.2238;422.5163
267.725;422.5144
267.5112;422.5125
268.2137;422.5125
267.9337;422.5125
267.415;422.5125
268.225;422.5107
267.29;422.5107
271.49;422.5069
267.5825;422.5069
267.7775;422.5031
268.2513;422.5031
268.3037;422.4994
267.6487;422.4994
267.8825;422.4975
268.3138;422.4956
268.6438;422.4938
268.6425;422.4938
268;422.4937
