K5PC5CH.OP;K5PC6CH.OP;K5F3.PV;K5P5_2.PV
57.78016;68.13906;3289.731;-41.10469
57.74542;68.12078;3287.468;-39.65391
57.60797;68.11443;3287.346;-39.16484
57.55307;68.07531;3285.413;-40.76484
57.42807;68.03229;3283.254;-39.10859
57.55724;68.1112;3282.482;-38.625
57.42198;68.08656;3282.096;-39.27031
57.29682;67.75349;3281.15;-39.69375
57.32094;67.77573;3280.899;-38.10938
57.50151;68.13375;3280.811;-40.17578
57.16651;67.73933;3280.327;-39.60859
57.57073;68.11333;3280.28;-39.58203
57.64448;68.12041;3280.024;-37.44375
57.72063;68.09797;3279.91;-42.06641
57.50667;68.08646;3279.369;-41.75234
57.29724;67.76781;3278.844;-39.25234
57.45208;68.12193;3278.719;-41.83203
57.43953;68.08427;3277.754;-41.08203
57.20469;67.7514;3277.587;-39.44531
57.56224;68.09594;3277.369;-39.19375
57.54391;68.10375;3276.491;-39.84141
57.49026;68.07677;3275.603;-39.24688
57.48375;68.12146;3275.215;-37.8875
57.0489;67.73375;3275.155;-41.92422
57.25698;67.75708;3274.782;-38.50547
57.11411;67.72104;3274.238;-36.1
57.46948;68.12109;3272.576;-41.5414
57.16885;67.75297;3271.916;-38.89453
57.19239;67.74734;3271.48;-38.42969
57.28802;67.7336;3271.175;-39.72187
57.2187;67.74604;3270.957;-42.09609
57.2813;67.74875;3270.609;-37.25156
57.20193;67.75974;3270.558;-40.24375
57.4949;68.13239;3267.133;-39.55
57.19188;67.73833;3266.552;-42.03437
56.89448;67.24792;3266.319;-41.68203
57.2338;67.74313;3266.018;-38.35234
57.51542;68.12859;3264.476;-41.61719
57.48505;68.14011;3262.997;-34.29688
57.55604;68.08646;3261.872;-39.78906
57.47073;68.11583;3260.366;-43.25938
57.51568;68.11614;3258.471;-40.45
57.00651;67.74099;3242.516;-41.00938
57.20542;67.70589;3242.482;-42.36094
56.87365;67.70099;3241.774;-40.36641
57.06016;67.73187;3241.362;-35.05938
57.23667;67.75026;3239.908;-38.18672
56.81166;67.41547;3239.676;-40.94688
57.22;67.71625;3238.012;-41.90234
57.13365;67.6837;3237.201;-39.88125
56.97521;67.73489;3234.407;-41.125
57.27266;67.72958;3233.133;-39.46094
57.0563;67.71172;3233.081;-42.03047
57.09229;67.70583;3231.55;-36.47031
57.10328;67.66776;3231.498;-40.60234
56.65698;67.25219;3231.47;-40.22422
57.21344;67.7011;3231.408;-41.6375
56.9789;67.72369;3231.383;-38.78281
56.92229;67.71291;3229.421;-37.26563
56.83844;67.8012;3229.249;-40.74531
57.25109;67.66396;3229.153;-40.41328
56.94969;67.7376;3228.313;-39.86485
57.04589;67.69245;3227.883;-38.70547
56.88323;67.7289;3227.605;-40.46563
57.11672;67.69568;3227.404;-41.21797
57.00427;67.70963;3225.636;-39.86719
57.06562;67.70104;3224.181;-41.51172
56.82615;67.80557;3223.061;-43.15391
56.80484;67.81469;3222.972;-37.77734
57.0088;67.74265;3222.499;-45.16328
56.86666;67.82708;3222.029;-36.98203
57.05437;67.72813;3221.829;-40.30391
57.1301;67.7149;3221.452;-38.06094
57.00828;67.69833;3220.778;-38.15703
57.07417;67.78484;3219.577;-42.28047
56.79641;67.8263;3218.666;-40.62578
57.18943;67.72588;3218.616;-39.52031
57.00151;67.71901;3218.168;-42.85
57.19026;67.65907;3216.899;-38.85781
57.00489;67.72865;3216.886;-37.67188
56.68417;67.2451;3216.77;-40.6461
57.01141;67.73479;3216.671;-37.10234
57.03125;67.70193;3216.468;-40.39531
57.0437;67.72943;3216.381;-38.5625
57.13432;67.76188;3216.294;-38.55703
57.23396;67.68495;3215.158;-43.18047
57.04713;67.69255;3214.784;-40.21719
57.22531;67.72599;3214.45;-41.58203
57.07573;67.74031;3214.295;-39.81094
57.0387;67.69771;3213.573;-40.52813
57.06083;67.63203;3213.357;-40.80469
57.06078;67.63776;3213.349;-39.74531
57.08807;67.73943;3213.3;-37.70234
57.01906;67.77891;3213.207;-41.47734
57.13255;67.64896;3212.993;-39.48985
57.08839;67.69828;3212.827;-43.27031
57.11323;67.76791;3212.738;-38.21953
57.0238;67.70182;3211.902;-37.84375
56.98219;67.71422;3211.58;-40.91563
56.97338;67.77631;3211.118;-39.19609
57.04187;67.71068;3211.027;-38.32344
57.18469;67.71026;3211.014;-41.28437
57.06963;67.70464;3210.765;-37.93281
56.87255;67.70506;3210.749;-39.85703
57.12891;67.69901;3210.683;-39.47031
56.8062;67.79573;3210.674;-40.99922
56.87708;67.87213;3210.419;-39.49609
57.01776;67.74177;3210.417;-41.6875
56.95026;67.68557;3210.313;-40.05391
57.04448;67.80828;3209.405;-41.27266
57.02604;67.75256;3209.393;-40.02734
56.84609;67.84849;3209.005;-38.31094
57.08891;67.66552;3208.721;-38.22031
57.14526;67.80391;3208.693;-44.36328
57.07302;67.65614;3208.566;-40.81641
57.08287;67.75708;3208.142;-38.69609
56.90792;67.69334;3208.067;-38.74453
57.11693;67.67213;3207.594;-43.36875
57.04662;67.78198;3207.057;-38.39141
56.71667;67.25203;3206.922;-41.70234
57.03349;67.67078;3206.601;-40.10078
57.0388;67.70338;3206.247;-41.12891
57.13844;67.70036;3206.241;-39.76953
56.95318;67.71401;3206.195;-40.57734
56.99552;67.79516;3205.893;-41.86953
57.06786;67.6612;3205.839;-36.66328
56.94969;67.69791;3205.251;-40.17578
56.87156;67.7364;3205.25;-40.17891
57.12979;67.7599;3204.649;-43.50938
56.9164;67.72614;3204.122;-39.47422
57.02083;67.7914;3203.91;-40.1375
57.09099;67.77995;3203.719;-37.66094
57.14422;67.66682;3203.62;-38.61875
56.96932;67.75615;3203.167;-41.39297
57.00099;67.72094;3202.846;-39.18594
56.97427;67.745;3202.452;-39.55469
57.13844;67.66453;3202.383;-40.28594
56.95115;67.7138;3201.801;-38.24297
