K5F5.PV;K5LCV1_1I.PV
34.86431;0.1095312
34.80844;0.1075
34.71578;0.1033333
34.25587;0.09817708
34.11711;0.095625
34.07567;0.095
33.93032;0.1007812
34.00097;0.1028646
33.93932;0.1095312
34.13824;0.1044792
34.78621;0.09885417
34.64983;0.09697916
34.82396;0.09359375
35.05402;0.09317708
35.23392;0.09375
35.08237;0.09260417
35.30873;0.09255208
35.39824;0.0915625
34.92941;0.08942708
34.47487;0.09385417
34.01614;0.09661458
33.80291;0.08703125
33.78618;0.08734375
34.10534;0.08473958
34.40987;0.09145834
34.37215;0.08692708
34.46298;0.08026042
34.31403;0.07942709
34.72099;0.08979167
35.04708;0.08864583
35.00332;0.085
34.97464;0.08567708
34.82216;0.09088542
34.98853;0.0909375
34.96882;0.0965625
34.58668;0.09291667
34.26146;0.09239583
34.24675;0.09984375
34.42414;0.08364584
34.49663;0.08671875
34.68416;0.09135417
34.75476;0.1002604
34.63675;0.09182291
34.68828;0.09541667
34.64138;0.09588542
34.34629;0.09369791
33.7074;0.09328125
33.71908;0.09994791
33.73401;0.09802084
34.5807;0.1003646
35.24882;0.1009375
35.26092;0.1027083
35.08804;0.1035938
34.90792;0.1059375
34.76584;0.09953125
34.79344;0.1060937
34.79168;0.1118229
33.86065;0.1132292
33.87717;0.1172396
33.95595;0.1155208
34.24863;0.1090625
34.66284;0.1216667
35.25953;0.1234375
35.77163;0.1158333
35.87631;0.1239062
35.86776;0.1229687
35.09452;0.1234375
34.64971;0.1216667
34.13463;0.136875
33.23804;0.12875
33.20595;0.1259896
33.49826;0.1334896
34.44294;0.1327604
34.748;0.1336458
34.60604;0.1398958
34.49939;0.1427604
34.89169;0.1385937
35.19405;0.1394792
35.18639;0.1426563
35.30822;0.1416667
35.44136;0.1448437
35.54949;0.1449479
34.45501;0.1527083
34.32139;0.1511979
34.37574;0.1509375
33.24469;0.1520313
33.1074;0.1578125
33.84635;0.1554687
34.58999;0.1549479
35.27015;0.1586979
35.36917;0.1592188
35.58198;0.1541146
35.40291;0.1666667
34.77687;0.1596354
34.16746;0.1673438
33.98389;0.1633333
34.09791;0.1672396
34.20415;0.1675
34.61433;0.1748958
34.53677;0.1705729
34.63201;0.1791667
34.77646;0.1801562
34.85789;0.1846354
35.11703;0.1824479
35.25726;0.1853125
34.9867;0.1923438
34.61103;0.1951562
34.86842;0.1917188
35.20735;0.1809896
35.09233;0.1945833
34.54012;0.1983854
33.47363;0.1963542
32.39412;0.1986979
32.88669;0.2028646
33.63017;0.2007813
34.64692;0.2099479
35.18311;0.2082292
35.1865;0.2052083
35.14037;0.2124479
35.09359;0.2080729
35.2608;0.2104167
35.07421;0.2127083
35.0357;0.2088542
34.89639;0.2186458
34.52276;0.2145313
33.85532;0.2108333
33.87282;0.2109375
33.9113;0.2161458
33.95863;0.2219792
34.54022;0.2214583
35.06953;0.2207813
35.49947;0.2220833
35.7384;0.2246875
35.86793;0.2210417
35.52406;0.2189063
34.90813;0.2254167
33.89755;0.2228125
33.60736;0.2145833
33.6166;0.218125
33.62133;0.2119792
34.17651;0.2184896
34.33628;0.2172917
34.95794;0.2125521
35.11564;0.220625
35.18357;0.22
35.00052;0.2046354
35.11441;0.2158854
34.96697;0.2261458
34.92393;0.2042187
34.71636;0.2133333
34.21992;0.2093229
34.23586;0.2098958
34.2274;0.2126562
34.53684;0.2185937
34.57153;0.2075521
34.16018;0.2094271
34.04589;0.1995833
34.26114;0.2067708
34.7496;0.2070313
35.15623;0.2115104
34.94596;0.2101042
34.93135;0.2065625
34.13334;0.2002083
33.5361;0.1994792
33.00601;0.2017187
33.59113;0.2051042
33.81382;0.2071354
33.7822;0.2044271
35.03531;0.2023437
34.95383;0.2066146
35.11109;0.2044271
34.89599;0.2064063
34.90445;0.2086979
34.70463;0.2032292
34.12247;0.2070833
34.36275;0.198125
34.56647;0.2025
34.73923;0.2001042
34.80224;0.1963542
34.86892;0.1990625
34.67719;0.2040625
34.49329;0.1977083
34.30411;0.1997396
34.11877;0.1968229
34.16272;0.1985417
33.63861;0.1947917
33.60176;0.1961979
33.66035;0.1936979
34.48802;0.1913021
34.48371;0.1923437
35.38869;0.1879167
35.21399;0.1883333
35.02085;0.1883854
34.8041;0.1933333
34.60938;0.1839583
35.03783;0.1873437
35.2396;0.189375
35.0491;0.1870833
34.03717;0.1805208
33.85345;0.1891146
33.91782;0.1813542
33.71663;0.1816667
34.14178;0.1879687
34.21954;0.1748437
34.21954;0.1885417
35.3;0.1695313
35.51831;0.1733854
35.48933;0.1683854
35.52092;0.1691146
34.89851;0.1694792
34.28872;0.1647917
33.09958;0.1567187
32.77661;0.1591146
32.48294;0.1651562
33.03217;0.1528646
33.61717;0.1534375
34.97917;0.1510417
35.00061;0.1478125
35.29726;0.1382813
35.77692;0.14875
35.97205;0.1422396
35.7322;0.1324479
34.32977;0.1430208
33.56283;0.1325521
33.6405;0.1215104
33.38409;0.1302604
33.27729;0.1213542
33.54525;0.1230208
34.3442;0.1190104
34.73369;0.1225521
35.00241;0.1091146
34.82221;0.1147917
34.81382;0.1141146
34.73476;0.1055208
34.54954;0.09916667
34.40191;0.1059375
34.25161;0.09895834
34.05548;0.09963541
34.02092;0.09317708
33.85362;0.09088542
33.95618;0.09416667
34.10873;0.08953125
34.32521;0.08567708
34.88669;0.08359375
34.99627;0.08416667
35.0671;0.0859375
35.01612;0.07380208
34.81441;0.0803125
34.7019;0.06807292
33.48634;0.074375
33.3039;0.0703125
33.64977;0.06776042
34.50965;0.06442709
34.52342;0.06380209
34.48015;0.055
34.39747;0.05682292
34.45932;0.05239583
34.22874;0.05703125
33.89698;0.05208333
34.33456;0.056875
34.87808;0.0534375
34.888;0.05213542
34.82509;0.05557292
34.94648;0.0496875
34.96935;0.05390625
34.64246;0.04875
34.36181;0.05036458
33.91241;0.04083334
33.92923;0.04557292
33.98781;0.05182292
34.27135;0.0440625
34.44374;0.04614583
34.48454;0.04348958
34.4346;0.041875
34.43072;0.04286458
34.20779;0.04458333
33.9422;0.03864583
34.08494;0.04005208
34.31404;0.03723959
35.30832;0.03973958
35.20114;0.03911458
35.00918;0.0346875
34.67038;0.04130208
34.20399;0.03786458
33.98408;0.03416667
33.4205;0.03401042
33.70831;0.0253125
33.83773;0.03083333
34.50508;0.02875
34.88903;0.03057292
35.18779;0.0221875
34.55478;0.024375
34.50345;0.02765625
34.52211;0.02432292
33.91503;0.01916667
33.68731;0.02713542
33.5332;0.03651042
33.78217;0.02536458
34.23401;0.02328125
34.7215;0.02421875
34.6646;0.02354167
34.82904;0.0190625
34.64609;0.02390625
34.29665;0.01921875
33.78782;0.01088542
33.72771;0.02072917
33.76559;0.02453125
33.92942;0.02057292
34.03588;0.02057292
34.78588;0.02411458
35.29687;0.02046875
35.34942;0.0175
34.23928;0.01359375
34.06767;0.01182292
33.09487;0.0128125
32.96095;0.01114583
33.09226;0.0096875
33.10012;0.007083334
33.42307;0.01208333
34.25282;0.01239583
34.79535;0.0065625
35.42855;0.002291667
35.35214;0.005
34.92559;0.003854167
34.47625;0.0028125
34.28657;0.0025
33.40348;0.0008333334
