K5P17_2.PV;K5P4_1.PV
11.60375;22.34281
11.60367;22.36719
11.60367;22.36687
11.60359;22.31531
11.60352;22.36594
11.60313;22.34062
11.60297;22.36531
11.60281;22.23094
11.60281;22.30437
11.60258;22.21406
11.60203;22.21656
11.60156;22.3125
11.60133;22.31937
11.60133;22.34344
11.60125;22.22
11.60086;22.23187
11.60078;22.29062
11.60063;22.22219
11.60039;22.20938
11.60039;22.36875
11.60023;22.26406
11.60016;22.39094
11.59984;22.28719
11.59984;22.37656
11.59961;22.27063
11.59961;22.36094
11.59883;22.26406
11.59875;22.27687
11.59867;22.21656
11.59828;22.21375
11.59828;22.32781
11.59828;22.30406
11.59805;22.36594
11.59781;22.25156
11.59781;22.22469
11.59781;22.22031
11.59758;22.22781
11.59742;22.36
11.59734;22.32313
11.59727;22.34219
11.59703;22.33937
11.59688;22.23438
11.59688;22.21406
11.59648;22.21031
11.59633;22.26406
11.59633;22.28188
11.59609;22.27875
11.59578;22.19781
11.59578;22.24
11.59562;22.22156
11.59539;22.32813
11.59539;22.44563
11.595;22.36969
11.59492;22.29062
11.59477;22.33406
11.59461;22.31875
11.59453;22.29688
11.59406;22.38344
11.59398;22.19469
11.59391;22.23875
11.59367;22.19188
11.59367;22.34094
11.59359;22.32469
11.59352;22.23187
11.59352;22.32531
11.59305;22.34781
11.59281;22.32688
11.59227;22.24969
11.59227;22.28906
11.59211;22.25
11.59211;22.33969
11.59156;22.27563
11.59149;22.22219
11.59148;22.19344
11.59125;22.34031
11.59117;22.22125
11.59109;22.22188
11.59086;22.22531
11.59062;22.18594
11.59047;22.39187
11.59039;22.18438
11.59016;22.22437
11.59008;22.33687
11.58984;22.325
11.58977;22.22
11.58969;22.24125
11.58938;22.19125
11.58922;22.28906
11.58914;22.22469
11.58898;22.21437
11.58883;22.27312
11.58875;22.21094
11.58836;22.23219
11.58828;22.25938
11.58789;22.32187
11.58781;22.2075
11.58773;22.24656
11.58773;22.28063
11.58773;22.33438
11.58711;22.19
11.58711;22.28437
11.58703;22.22
11.58695;22.295
11.58687;22.39406
11.58672;22.27813
11.58672;22.29281
11.58664;22.37125
11.58633;22.345
11.58617;22.31
11.58602;22.19563
11.58562;22.28188
11.58555;22.23438
11.58555;22.30469
11.58547;22.30531
11.58539;22.2375
11.58539;22.32
11.58539;22.29
11.58531;22.33219
11.58523;22.19594
11.58508;22.21156
11.585;22.19469
11.58484;22.20219
11.58484;22.25219
11.58484;22.28563
11.58469;22.2125
11.58469;22.33562
11.58469;22.29938
11.58453;22.28094
11.58438;22.3025
11.58391;22.36781
11.58375;22.19625
11.58336;22.23156
11.58336;22.3125
11.58289;22.345
11.58258;22.26656
11.58258;22.25281
11.58242;22.24469
11.58242;22.17969
11.58234;22.18156
11.58234;22.29938
11.58227;22.21531
11.58227;22.31125
11.58187;22.26844
11.58172;22.27437
11.58164;22.31875
11.58156;22.19125
11.58141;22.40406
11.58133;22.16656
11.58125;22.21563
11.58125;22.29031
11.58117;22.31
11.58109;22.17313
11.58102;22.2325
11.58078;22.17688
11.58062;22.17188
11.58062;22.35312
11.58062;22.28188
11.58062;22.25687
11.58047;22.29688
11.58031;22.27469
11.58031;22.30906
11.58023;22.26656
11.58016;22.31469
11.58016;22.35813
11.58016;22.31219
11.58008;22.37844
11.57992;22.26062
11.57984;22.16125
11.57984;22.26188
11.57977;22.22062
11.57953;22.17781
11.57945;22.21781
11.57938;22.30437
11.57922;22.30406
11.57898;22.19656
11.57898;22.34031
11.57883;22.28531
11.57883;22.31437
11.57859;22.35906
11.57859;22.33125
11.57844;22.30875
11.57813;22.19844
11.57789;22.37125
11.57789;22.27719
11.57781;22.1925
11.57766;22.15438
11.57758;22.19563
11.57758;22.31063
11.57758;22.26469
11.57758;22.28281
11.57742;22.20469
11.57734;22.2425
11.57727;22.2825
11.57703;22.34188
11.57695;22.15656
11.57695;22.30938
11.57688;22.185
11.57687;22.21219
11.57687;22.19813
11.57687;22.34312
11.57664;22.215
11.57656;22.18281
11.57656;22.31625
11.57656;22.29281
11.57656;22.29969
11.57625;22.30031
11.57625;22.2925
11.57617;22.32344
11.57617;22.30469
11.57617;22.24
11.57609;22.18219
11.57602;22.30781
11.57578;22.40094
11.57578;22.30469
11.57547;22.22156
11.57539;22.20188
11.57539;22.25219
11.57531;22.21031
11.57523;22.23063
11.57516;22.35
11.57508;22.19594
11.57508;22.22937
11.575;22.18375
11.575;22.17344
11.57484;22.29344
11.57484;22.27938
11.57477;22.30656
11.57461;22.20438
11.57453;22.335
11.57445;22.3125
11.57445;22.28063
11.57422;22.28719
11.57414;22.28969
11.57406;22.31219
11.57406;22.28813
11.57391;22.14625
11.57383;22.36031
11.57359;22.22094
11.57344;22.17844
11.57336;22.31344
11.57312;22.16594
11.57312;22.17906
11.57312;22.28563
11.57297;22.16219
11.57289;22.21531
11.57281;22.25406
11.57273;22.19594
11.57273;22.17906
11.57273;22.28156
11.57258;22.17094
11.57258;22.17438
11.57234;22.21094
11.57234;22.27125
11.57219;22.18875
11.57219;22.25312
11.57211;22.14
11.57195;22.28406
11.57188;22.31938
11.57187;22.3275
11.57172;22.23094
11.57164;22.18156
11.57156;22.16781
11.57141;22.32781
11.57141;22.20281
11.57125;22.19
11.57125;22.29125
11.57117;22.17313
11.57117;22.25344
11.57109;22.31344
11.57102;22.19969
11.57094;22.26969
11.57086;22.27719
11.57055;22.23781
11.57031;22.26563
11.57016;22.27781
11.56992;22.34312
11.56992;22.3125
11.56984;22.22313
11.56984;22.16688
11.56984;22.25281
11.56984;22.36094
11.56984;22.29406
11.56969;22.30219
11.56969;22.29688
11.56945;22.15219
11.56938;22.18219
11.56938;22.24969
11.56914;22.31563
11.56914;22.29844
11.56906;22.2025
11.56906;22.31688
11.56898;22.21031
11.56898;22.30594
11.56898;22.27938
11.56891;22.1875
11.56891;22.29937
11.56891;22.25562
11.56883;22.16094
11.56867;22.26563
11.56844;22.31219
11.56836;22.19625
11.56828;22.225
11.56828;22.17719
11.56812;22.18531
11.56805;22.18937
11.56805;22.27
11.56805;22.24031
11.56797;22.22719
11.56797;22.27375
11.56797;22.15531
11.56797;22.25406
11.56797;22.29844
11.56797;22.27656
11.56773;22.17969
11.56758;22.25813
11.56711;22.225
11.56695;22.15406
11.56695;22.20594
11.56687;22.22187
11.56672;22.24469
11.56656;22.215
11.56656;22.27219
11.56641;22.17969
11.56641;22.25312
11.56625;22.35844
11.56602;22.20906
11.56602;22.19
11.56602;22.15625
11.56602;22.1725
11.56602;22.14938
11.56602;22.16156
11.56594;22.32656
11.56594;22.28344
11.56594;22.26688
11.56578;22.24875
11.56563;22.31875
11.56555;22.16531
11.56555;22.27625
11.56547;22.27687
11.56524;22.19531
11.56523;22.19375
11.56523;22.17562
11.56516;22.30437
11.56516;22.25594
11.565;22.18688
11.565;22.17281
11.565;22.26156
11.56492;22.23219
11.56477;22.21344
11.56477;22.28281
11.56469;22.23781
