K5PC5CH.OP;K5T5_2.PV;K5T18_1.PV;K5F3.PV
55.30568;748.5219;255.0194;3039.192
55.34703;748.4813;255.0173;3024.123
55.38401;754.4745;255.0008;3046.875
55.43432;748.3375;254.9863;3028.809
56.47177;761.1516;254.9606;3109.403
55.49562;754.7411;254.9506;3023.467
56.39838;757.5662;254.9417;3105.563
55.54911;754.1828;254.9413;3074.583
56.13302;763.2245;254.9327;3124.048
55.42755;753.6437;254.9271;3058.222
55.5774;754.5818;254.9223;3040.167
55.32234;756.3521;254.9158;3038.476
55.38609;756.5693;254.9156;3037.704
55.50625;757.8922;254.9048;3050.948
55.44047;752.0703;254.8956;3013.847
56.50875;757.5245;254.8946;3104.449
56.55198;763.8094;254.8906;3106.634
55.40828;755.8401;254.8887;3037.042
55.35505;753.6068;254.871;3039.092
55.74635;756.6276;254.866;3139.304
55.57818;751.7057;254.844;3006.964
56.50677;756.6083;254.831;3078.183
56.3726;754.3885;254.7952;3081.534
55.48719;753.3203;254.7894;3021.517
55.39396;755.6323;254.7863;3087.6
55.45625;752.7729;254.781;3018.521
55.50261;755.899;254.7715;3051.557
55.62474;754.3271;254.7688;3041.879
56.60698;758.1682;254.7642;3116.489
56.16833;756.6776;254.7627;3102.761
56.22203;756.9011;254.7615;3099.032
55.44781;754.1104;254.7606;3053.025
55.36568;752.7979;254.7606;3029.674
55.28938;751.749;254.7475;2999.359
57.2187;771.9583;254.7437;3270.957
56.44011;756.499;254.7394;3109.629
55.39771;752.7015;254.7385;3031.423
56.49656;751.9365;254.7262;3086.536
56.4238;754.7438;254.7256;3089.76
56.42906;757.2896;254.716;3100.268
55.41698;752.7687;254.7144;3041.738
56.27489;750.8812;254.714;3080.627
55.41552;755.7094;254.6981;3035.535
55.47375;755.8771;254.6946;3037.71
56.36599;755.7917;254.6919;3086.147
55.40719;753.6448;254.6846;3064.037
56.34261;756.9656;254.6833;3093.012
55.32088;750.9677;254.6781;3024.144
57.28802;772.6448;254.6758;3271.175
56.25463;755.6656;254.6748;3088.078
56.47302;757.0146;254.6704;3100.139
56.56224;758.4245;254.6665;3111.748
55.27708;748.8698;254.6662;3043.459
56.3488;760.4161;254.6619;3120.037
56.34542;751.0485;254.6592;3058.063
56.30125;760.7526;254.6581;3112.84
57.20469;770.5411;254.6575;3277.587
56.47844;754.2448;254.6535;3061.99
55.39974;754.3688;254.6535;3027.27
55.51318;751.6776;254.6529;3032.521
55.51927;752.8557;254.6487;3026.541
55.3713;752.8531;254.6329;3031.566
55.31766;754.8578;254.6296;3055.772
56.27229;758.351;254.6273;3113.107
56.42823;756.4005;254.624;3102.863
56.37672;754.3729;254.6223;3108.243
56.48604;758.3724;254.6104;3103.953
55.46333;753.812;254.6083;3011.783
55.58688;752.912;254.6079;3037.708
56.21953;755.7948;254.6048;3100.304
56.56354;756.4589;254.5983;3094.577
56.42297;752.3458;254.5983;3066.841
55.43615;753.0823;254.595;3032.767
56.31036;750.9823;254.5931;3082.871
56.62771;761.175;254.5923;3109.629
56.53432;759.4495;254.5923;3095.712
55.35062;750.3958;254.5912;3032.963
56.25693;750.6172;254.59;3080.626
56.49672;751.4417;254.5877;3084.999
