K5P6.PV;K5P17_1.PV;K5P17_2.PV;K5F3.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5P16_1.PV;K5GKAL.PV;K5P16_2.PV;K5Q2_1.PV;K5P4_1.PV
1.074108;7.360598;7.154176;2421.88;32.83207;157.6666;4.0169;0.711697;17.29162;0.8079075;420.019;13.82412
1.039824;7.119369;6.929684;2401.054;32.14407;153.6651;4.016462;0.6828296;17.24548;0.7822623;533.9257;13.40836
1.000119;6.855128;6.661977;2330.033;31.90785;155.783;4.016308;0.6618778;16.60832;0.752637;447.3111;12.99716
0.8201925;5.743308;5.594551;2143.147;29.41589;146.4967;4.015285;0.5290512;15.43254;0.6243157;432.5616;11.00091
0.9933436;6.801608;6.611983;2320.308;31.58595;155.682;4.01505;0.6575476;16.5325;0.748286;446.1944;12.90454
1.011472;7.01672;6.835068;2376.71;32.08463;153.674;4.014901;0.6675124;17.20032;0.7626303;531.2285;13.25837
0.8625768;6.171909;6.018257;2235.226;30.32475;147.8304;4.013508;0.5583698;16.15674;0.6571007;387.3685;11.774
1.048349;7.027476;6.829835;2368.696;31.99698;156.4295;4.013405;0.6969947;17.00185;0.7887836;538.5911;13.24717
1.130473;7.678723;7.504695;2491.026;33.28376;153.8139;4.013313;0.7479131;17.94276;0.8541868;451.5445;14.57613
0.8975984;6.297112;6.136152;2252.473;30.60059;146.3568;4.01286;0.5839222;16.25656;0.6818635;447.6249;12.0065
1.011684;6.941111;6.736598;2326.439;31.97704;157.7855;4.012838;0.6776299;16.52082;0.7606285;390.102;13.14666
0.9398876;6.525601;6.358037;2298.324;30.95686;152.0538;4.012719;0.6139416;16.65407;0.7118849;520.6849;12.4056
0.9039769;6.335032;6.167168;2269.64;30.41881;150.2292;4.012558;0.5850815;16.37518;0.6858981;481.1713;12.04519
0.8968694;6.061024;5.885575;2193.885;30.11079;152.103;4.012361;0.592972;15.66813;0.6783535;390.9055;11.58139
0.8817543;6.166122;5.997647;2208.733;30.33545;149.211;4.012344;0.5771569;15.83145;0.6680769;1168.711;11.77826
0.898572;6.262273;6.099916;2239.244;30.53579;150.0227;4.01229;0.5927269;16.25503;0.6823969;498.4397;11.97211
1.053364;7.207418;6.999377;2385.351;32.59422;158.0292;4.012281;0.7040623;16.98598;0.7909857;364.6585;13.57984
0.9370682;6.635385;6.47132;2307.794;31.4017;141.7089;4.01225;0.6147195;16.61728;0.7098176;468.1587;12.60992
0.8898752;6.28474;6.114868;2229.002;30.58567;154.1119;4.012105;0.5846767;15.96094;0.6748101;419.7748;12.00017
0.8208157;5.764545;5.617098;2157.921;29.2981;146.5723;4.012088;0.5276437;15.59188;0.6250886;427.466;11.02323
0.9501268;6.570528;6.400103;2299.544;31.10242;151.5472;4.012013;0.6237329;16.58122;0.7186838;470.1857;12.5042
0.8327436;5.792712;5.636348;2143.463;29.56043;147.1943;4.011959;0.5402394;15.35997;0.6326939;1242.917;11.07792
0.8800293;6.009643;5.844872;2185.87;29.99833;151.936;4.011943;0.5828779;15.65155;0.6673707;396.4726;11.49951
0.8201611;5.75443;5.603925;2148.135;29.18897;146.2893;4.011828;0.5271454;15.46403;0.6245203;920.8651;11.01092
1.059581;7.377536;7.167456;2408.758;32.95857;158.1803;4.011682;0.7098346;17.123;0.7958623;396.061;13.86684
0.9751335;6.745114;6.556445;2309.775;31.55265;156.2642;4.011627;0.643814;16.48385;0.7350958;410.2474;12.79847
1.019804;7.160998;6.963173;2385.722;32.32029;156.7917;4.010926;0.680452;17.0685;0.7681909;396.5172;13.50087
1.035822;7.316619;7.112112;2406.617;32.7756;157.1286;4.010608;0.6951867;17.15985;0.7792664;395.5323;13.75865
0.8096289;5.693802;5.548188;2146.102;29.23045;145.5899;4.010534;0.5215948;15.53574;0.6177711;369.6024;10.88949
0.961855;6.600744;6.412368;2281.057;31.21904;153.5907;4.01045;0.6380478;16.29383;0.7251237;386.3451;12.56525
0.9255994;6.607164;6.429221;2288.75;31.1937;151.9425;4.010426;0.6085835;16.34785;0.7005917;407.5899;12.55865
0.8898649;6.282869;6.115492;2230.88;30.55424;154.1835;4.010198;0.5841482;16.00625;0.6750777;389.2227;11.99963
0.8898709;6.280662;6.110075;2224;30.58668;154.4094;4.00811;0.5847363;15.9209;0.6746255;422.1498;11.99786
0.900129;6.272926;6.102298;2228.243;30.53149;151.7946;4.00807;0.5971305;16.15289;0.6820555;486.3326;11.99838
0.8235604;5.762733;5.610529;2133.193;29.38754;141.7665;4.007423;0.5373765;15.27581;0.6253953;377.5594;11.0594
0.8781226;6.115584;5.950125;2192.958;30.22802;154.2773;4.007326;0.57669;15.74201;0.665937;375.0227;11.70448
0.9599705;6.578899;6.393229;2290.304;31.10935;153.4671;4.007226;0.6337354;16.46473;0.7237821;504.6603;12.50024
0.8898735;6.284506;6.111582;2224.984;30.57501;154.2957;4.007082;0.5850574;15.91951;0.6744131;435.4677;11.99957
0.8126912;5.56668;5.418845;2100.274;29.0394;150.24;4.007051;0.5293927;15.07233;0.6176095;370.5537;10.69063
1.000151;6.857855;6.664419;2329.739;31.8767;157.0731;4.005805;0.6611476;16.63274;0.7525741;443.6691;12.99639
0.7000615;5.189799;5.051941;2026.347;28.12623;144.4466;4.005292;0.4498218;14.59254;0.5338684;343.2486;9.999235
0.9500905;6.290812;6.09369;2231.033;30.58424;154.2365;4.004614;0.6335366;15.91487;0.7145444;400.8636;11.99927
0.7146439;5.069501;4.932037;1998.044;27.68544;143.4709;4.0043;0.4540831;14.33053;0.544866;1234.765;9.751116
0.7945205;5.705929;5.562766;2142.087;29.24477;145.6082;4.003956;0.5133188;15.53871;0.6060923;373.2911;10.93098
0.850102;5.729732;5.572542;2125.43;29.43637;152.301;4.003948;0.5571771;15.24988;0.6448089;371.6509;10.9917
0.9251372;6.412457;6.238209;2255.781;30.8208;152.6327;4.003142;0.6095834;16.35161;0.6993755;510.836;12.23107
0.8918725;6.158919;5.98585;2199.332;30.24693;154.34;4.002937;0.5856404;15.73002;0.6749097;438.917;11.77424
