K5PC5CH.OP;K5PC6CH.OP;K5T10_2.PV;K5T5_1.PV;K5T18_1.PV;K5T8_4.PV;K5T12.PV
28.6038;41.09995;94.4851;559.2537;207.494;99.99729;151.2242
31.53854;44.12672;94.41729;570.5474;210.0719;99.995;151.5917
31.77693;44.10859;94.54614;570.3406;209.7706;99.99469;151.4798
31.71412;44.13693;94.35052;571.8974;209.9769;99.99406;151.5456
31.79422;44.17198;94.40417;570.7693;210.0431;99.99386;151.5394
31.66838;44.16245;94.46333;570.6802;210.0898;99.99114;151.4851
31.87995;44.14589;94.68678;571.7698;209.9646;99.99021;151.5755
40.50411;52.27031;97.46136;589.487;227.8575;99.9899;158.8427
29.16021;41.88776;93.79865;564.1219;206.2121;99.98937;149.9992
31.78719;44.14088;94.66104;571.6151;210.1729;99.98906;151.5852
36.77443;48.26937;93.75468;583.3542;217.1931;99.98896;154.0551
31.96115;44.16292;94.61864;572.0208;210.2846;99.98885;151.6808
42.30911;53.63187;97.80927;596.6667;229.4215;99.98666;159.227
31.85203;44.14099;94.47323;570.1125;210.2635;99.98646;151.5232
29.80849;42.44255;93.63364;564.0886;206.7044;99.98646;149.86
31.74297;44.14969;94.63156;570.6729;210.3421;99.98636;151.6247
29.81125;42.44698;93.62156;563.176;206.5998;99.98563;149.9048
39.53765;51.47542;96.55386;583.3292;224.8185;99.98521;156.0915
29.80224;42.47682;93.62177;563.7062;206.6992;99.98521;149.9337
31.69917;44.14859;94.42667;568.7281;210.2477;99.98511;151.4945
29.14526;41.9174;93.77208;563.3391;206.2708;99.98469;150.0616
31.66927;44.13328;94.62021;570.4755;209.7412;99.98427;151.4661
29.67255;42.45547;93.59885;564.0271;206.7719;99.98396;149.9219
32.46068;45.1163;94.82281;572.2818;212.8463;99.98386;152.8605
29.15505;41.91542;93.74073;561.1349;206.6627;99.98177;150.0461
31.83005;44.19661;94.63531;571.6078;210.4494;99.98062;151.6557
31.76917;44.11922;94.66115;571.0271;209.7769;99.98042;151.5333
31.96818;44.18583;94.62437;571.1531;209.9185;99.98021;151.6067
29.1725;41.9187;93.64625;562.3708;206.9344;99.97865;150.089
37.05083;48.41552;94.94198;592.2021;219.2798;99.97833;155.0099
31.89479;44.15099;94.48167;570.1932;210.0963;99.97802;151.3816
29.17813;41.91849;93.78146;562.4661;206.166;99.9775;149.9385
29.20401;41.91854;93.69854;562.001;206.7352;99.97719;149.7766
31.83656;44.14005;94.49532;568.3922;210.2058;99.97688;151.4425
29.10333;41.90604;93.74583;563.4459;206.5577;99.97677;150.0412
29.82937;42.40901;93.64812;563.4182;206.8604;99.97667;150.0189
40.60677;52.30005;97.48156;589.4219;227.5456;99.9726;158.7552
36.58724;48.1174;95.56136;584.4005;215.1892;99.97229;152.9688
31.63427;44.1887;94.59344;571.4578;210.0598;99.97031;151.5967
31.78984;44.20385;94.70896;572.4542;209.9202;99.96917;151.6334
31.67302;44.13042;94.53448;570.3068;209.9152;99.96875;151.3822
28.40323;41.06792;94.4576;560.6708;207.5802;99.9675;151.16
39.60016;51.44979;96.46593;584.3427;224.6919;99.96709;155.8647
31.89333;44.18787;94.65885;570.626;209.9992;99.96625;151.5954
31.90271;44.19927;94.59604;569.7979;210.0946;99.96604;151.5456
32.48938;45.12386;94.79844;572.3229;212.7358;99.96562;152.8359
31.68521;44.13833;94.62437;570.7609;210.3013;99.96468;151.5139
31.77036;44.15375;94.52937;570.1208;210.1433;99.96416;151.5367
31.78172;44.15364;94.6426;570.1969;210.4238;99.96365;151.5342
29.06005;41.90401;93.79875;564.0214;206.2015;99.96344;149.8974
29.15135;41.92609;93.78938;561.3333;206.4029;99.96219;149.8584
43.62661;54.60568;98.62625;599.6563;231.2671;99.96167;160.131
31.83438;44.13641;94.64792;569.4198;210.4396;99.96136;151.5538
32.54682;45.14193;94.7401;570.9943;212.515;99.96083;152.7582
29.10792;41.91141;93.77604;564.6932;206.1244;99.96031;149.8655
28.66026;41.22484;91.17573;561.3328;204.9992;99.96031;147.8675
31.96057;44.17531;94.61708;571.0463;210.1252;99.95854;151.5424
31.71479;44.13042;94.55552;568.037;210.1156;99.9575;151.5818
31.86229;44.15453;94.60333;570.8193;210.3656;99.95708;151.6079
29.18667;41.91547;93.80625;563.6495;206.3044;99.95469;149.8243
36.80859;48.23719;93.77;582.601;217.3087;99.95156;154.0856
42.25344;53.62047;97.84802;596.2484;229.3519;99.94906;159.2382
31.75838;44.19656;94.6575;569.8604;210.0338;99.9476;151.498
29.20359;41.92464;93.82656;562.5323;206.1942;99.94563;149.7908
29.21401;41.90953;93.80104;561.7802;206.0223;99.94489;149.7172
34.91088;46.76839;95.50198;580.037;211.9394;99.94437;152.282
29.13349;41.91568;93.77208;560.7891;206.1881;99.94219;149.7542
37.01224;48.41479;94.88021;590.7896;219.0875;99.94187;154.9079
39.47958;51.38089;96.42458;585.4338;224.4292;99.94093;155.7084
35.91365;47.60162;95.4401;582.7693;214.9221;99.94083;152.7548
36.03734;47.58162;95.42188;583.4396;214.5938;99.93979;152.5595
42.2587;53.6176;97.82438;595.6516;229.3852;99.93916;159.1944
27.97583;40.95636;93.37729;549.113;207.2983;99.93781;151.6783
32.1464;44.24287;92.88594;574.5005;212.4;99.93614;152.5651
32.7225;45.13057;94.81084;573.2318;212.3769;99.93468;152.8297
32.47818;45.1251;94.74906;571.4219;212.4546;99.93468;152.8412
29.12563;41.87646;93.76708;563.0599;205.8956;99.93396;149.8024
29.25505;41.90354;93.78604;565.1146;205.9823;99.93354;149.7566
40.45724;52.28661;97.45073;588.8588;227.4815;99.93313;158.6697
