K5PC5CH.OP;K5PC6CH.OP;K5T10_2.PV;K5T5_1.PV;K5T18_1.PV;K5T8_5.PV;K5T12.PV
29.72359;42.21458;91.2301;570.2068;209.5762;99.95156;149.7405
28.71125;41.21349;91.21719;562.2292;205.2762;99.95115;147.9861
29.71375;42.25766;91.23209;569.1146;209.531;99.94968;149.7267
29.70969;42.2075;91.1077;569.0261;209.8321;99.94958;149.6395
28.80266;41.18839;90.39313;563.5886;204.7358;99.94844;147.8408
28.90667;41.18146;90.46667;566.0385;205.506;99.94802;147.8516
29.84307;42.22385;91.14177;569.2229;209.9065;99.9475;149.552
28.75865;41.18609;90.43792;564.0526;205.1892;99.9474;147.9045
29.21484;41.77578;92.18761;563.2453;209.2708;99.9473;149.5087
32.41948;44.72089;91.46677;581.0833;209.8758;99.94677;139.3673
29.54963;42.20427;91.14229;569.062;209.8715;99.94583;149.6422
28.78042;41.19474;90.44813;561.8625;204.9883;99.94511;147.878
28.98151;41.19323;90.33489;563.7985;205.5442;99.94469;147.9767
29.67875;42.2164;91.09812;567.7307;209.6733;99.94427;149.6607
29.6513;42.21552;91.13708;567.9459;209.8135;99.94365;149.6184
29.79797;42.2125;91.18417;568.5875;209.8081;99.94281;149.6069
28.75162;41.18875;90.42031;563.0849;204.8102;99.94187;147.7577
31.26766;43.2086;92.49042;568.788;207.6296;99.94135;148.8813
28.69812;41.22203;91.2476;562.6146;205.7823;99.93823;148.0009
26.46266;38.97797;92.39167;552.7776;196.2323;99.93792;144.1326
28.83922;41.22839;91.00542;563.6088;205.5515;99.93698;147.9164
34.67693;47.11333;92.9949;588.0286;213.974;99.93479;150.3189
28.74911;41.18844;90.33521;561.9005;205.1463;99.93479;147.6622
27.83156;39.87255;92.76458;558.6026;200.4244;99.93468;146.0862
29.95703;42.21463;91.20364;568.4693;209.7704;99.93354;149.6594
27.94953;39.86489;92.79354;558.4838;200.3833;99.93313;146.0566
29.86505;42.22313;91.15719;568.9011;209.7635;99.93302;149.7724
29.84682;42.22646;91.10823;569.6927;209.7319;99.93302;149.6698
29.77531;42.23333;91.14291;568.2411;209.9294;99.93177;149.7612
32.48188;44.72646;91.4075;580.4963;209.2038;99.93114;139.1518
34.52964;46.87297;92.98125;588.7083;213.8106;99.92937;150.3106
29.62849;42.2237;91.10385;568.3448;209.3262;99.92875;149.5875
29.63187;42.2187;91.09531;567.0349;209.4231;99.92834;149.6732
29.6176;42.19552;91.10396;568.9708;209.6335;99.92812;149.598
29.02151;41.70094;91.57146;566.4479;209.1396;99.92781;149.5116
29.78432;42.2563;91.17521;571.9302;209.5706;99.9276;149.7252
29.02755;41.75969;92.18052;564.7615;209.1229;99.9276;149.5567
26.3313;38.94162;92.42188;552.2354;196.15;99.92698;144.1342
26.11021;39.38281;90.41333;553.1755;204.7415;99.92542;147.2196
28.79833;41.21349;91.01385;562.3849;205.5206;99.92532;147.946
29.60406;42.21422;91.12854;568.0313;209.2494;99.92469;149.5801
29.82594;42.25458;91.1374;569.7687;209.5471;99.92458;149.7137
29.7013;42.27125;91.14042;571.288;209.7202;99.92365;149.8204
35.60333;47.28271;89.29938;586.8469;217.1921;99.92355;149.7875
