K5LCV1I.PV;K5F5.PV
35.44948;22.5091
33.59948;22.5099
32.52864;22.51243
32.53073;22.51281
33.03333;22.51503
34.11443;22.51533
31.61401;22.51695
31.11661;22.51835
31.52406;22.51887
33.04521;22.5197
31.66964;22.52073
31.11833;22.52552
32.29724;22.52589
35.07307;22.52639
30.22937;22.52752
31.80052;22.52767
32.32583;22.53238
31.66813;22.53391
33.96349;22.53692
34.07797;22.53816
33.72338;22.53915
31.00745;22.54122
35.8562;22.54124
34.95536;22.54134
32.19865;22.54197
33.87854;22.5446
33.63823;22.54816
31.37089;22.5493
33.44745;22.54989
31.47635;22.55182
31.86359;22.55446
33.28573;22.55493
32.93917;22.55747
33.11464;22.55752
33.63302;22.5582
31.59036;22.55881
34.75979;22.55944
34.07974;22.5624
31.24073;22.56512
35.3276;22.56822
34.17984;22.56969
32.4024;22.57697
31.95328;22.578
31.52693;22.57934
35.1724;22.58152
34.21828;22.58329
32.02531;22.58535
32.65786;22.58559
33.66385;22.58715
34.72599;22.58785
32.47927;22.59028
30.88479;22.59265
31.39724;22.59314
35.82708;22.59364
31.53917;22.59472
31.49953;22.59567
34.66859;22.59603
32.9449;22.60087
34.2976;22.60416
33.32828;22.60734
34.73265;22.6074
33.20401;22.6092
33.04125;22.61145
35.56328;22.61546
31.63682;22.61558
31.49729;22.61653
31.76104;22.61924
33.96422;22.62241
33.98109;22.62325
31.48313;22.62428
34.66766;22.62736
32.25854;22.62919
32.25167;22.63208
33.61943;22.6334
35.26854;22.63341
31.85823;22.63493
31.6424;22.63557
34.3974;22.63629
31.66146;22.64157
32.64724;22.64208
31.29531;22.64214
33.33271;22.64661
31.44099;22.65323
34.62943;22.65409
32.38667;22.65419
32.48391;22.65467
33.9474;22.65554
32.4575;22.65559
31.39344;22.6562
33.9562;22.65674
33.16297;22.6588
31.45979;22.66137
31.90651;22.66362
32.39172;22.66417
31.39141;22.66573
33.43177;22.66666
32.13526;22.66802
34.39141;22.66948
35.48172;22.66949
32.69146;22.66953
35.09651;22.67035
35.90286;22.67303
32.87;22.6755
35.64109;22.67708
35.06156;22.67809
35.17188;22.67831
34.96021;22.6785
32.35719;22.68009
32.58448;22.68032
32.69109;22.68078
35.14594;22.68193
31.96823;22.68294
32.00302;22.6837
32.73859;22.6855
31.82708;22.68574
34.26901;22.68606
32.90417;22.68694
31.64052;22.68699
31.47708;22.68847
33.95734;22.68896
34.4087;22.68955
35.73432;22.68987
31.52953;22.69008
33.57406;22.6901
35.32911;22.69105
33.74833;22.6951
32.0701;22.69676
32.18672;22.69741
34.66693;22.69749
35.35563;22.70012
32.59787;22.70128
32.59781;22.70233
32.53047;22.70247
32.87193;22.7027
32.93099;22.70281
32.65187;22.70642
35.09708;22.70684
32.63662;22.70686
35.09729;22.7076
34.36969;22.70766
31.42651;22.71144
32.92844;22.71331
32.87073;22.7136
33.82708;22.71422
34.49234;22.71476
31.25453;22.71487
34.44057;22.71602
31.94182;22.71711
33.30604;22.72055
34.32823;22.72163
32.05469;22.7219
31.68328;22.72192
35.09766;22.72435
35.86474;22.72568
33.68412;22.72592
33.86969;22.72666
35.41901;22.72706
31.62823;22.72776
35.40245;22.72878
32.5675;22.73057
31.61411;22.73443
34.9574;22.73732
33.25141;22.73876
32.84557;22.73958
32.0976;22.74071
31.28448;22.74082
34.77698;22.74137
32.69125;22.74139
31.92359;22.7429
35.64083;22.74332
32.3276;22.74409
31.82573;22.74447
31.59089;22.74482
31.52307;22.74504
35.2024;22.74648
35.58187;22.74686
35.26021;22.74727
35.55052;22.74799
34.10099;22.749
33.79958;22.75136
35.51011;22.75336
33.11656;22.7562
34.29505;22.75708
34.58036;22.75736
31.75688;22.75744
35.09146;22.75758
33.72771;22.75889
31.65536;22.75998
34.49391;22.76369
34.56557;22.76615
31.70302;22.76715
31.62313;22.76857
31.90703;22.76962
31.63729;22.77085
31.96521;22.77116
35.41891;22.77122
35.89391;22.77247
34.27146;22.77267
34.44854;22.77304
31.68687;22.77429
32.55521;22.77486
32.41047;22.77575
31.5001;22.77635
32.01109;22.77777
34.9625;22.77927
33.52;22.78092
35.88328;22.78188
31.84151;22.7829
34.4937;22.78388
31.63401;22.78416
32.20641;22.78515
33.21542;22.78541
32.08328;22.78597
35.05714;22.78722
32.7286;22.78738
32.02271;22.78748
33.70146;22.78761
35.24453;22.78774
34.02755;22.78829
32.62411;22.78882
32.94891;22.78938
32.62963;22.79158
34.86818;22.79174
31.85375;22.79387
33.96885;22.79555
34.53859;22.79621
32.18354;22.79695
35.01735;22.7976
31.84729;22.79994
33.93885;22.8004
31.84604;22.80186
36.04599;22.80445
35.32542;22.80566
31.51667;22.80663
35.2263;22.80706
32.21838;22.8085
32.69167;22.81016
