K5PC5CH.OP;K5T4.PV;K5T18_2.PV;K5PC6CH.OP;K5T8_3.PV;K5T10_2.PV
38.02063;122.8878;79.49563;49.16985;113.0692;99.85416
37.97474;122.8151;79.58208;49.16292;112.9429;99.85229
37.845;122.4893;79.50896;49.18964;112.7919;99.85125
39.38333;121.6582;81.04146;51.57182;111.6703;99.85052
41.17516;122.4257;81.62125;53.17115;111.4955;99.84979
38.13125;122.9119;80.07458;49.18781;113.1194;99.84386
37.98552;122.6727;80.07354;49.13172;113.0757;99.84354
37.80167;122.7524;79.39083;49.18344;112.9866;99.84021
37.93104;122.7594;79.37167;49.15641;113.0064;99.83844
37.79318;122.5459;79.49563;49.14589;112.9329;99.83604
37.96474;122.7724;79.50771;49.17922;112.9374;99.83458
37.97042;122.5414;79.42291;49.19073;113.0837;99.83448
39.66453;121.3539;81.95375;51.64552;111.0176;99.83406
39.5974;121.259;81.75792;51.63521;111.0446;99.83229
37.66677;122.5757;79.47979;49.08995;112.822;99.83031
38.0188;122.9116;79.4825;49.22203;113.0514;99.82667
37.95323;122.5681;79.57291;49.16745;112.9262;99.82094
37.88667;122.7493;80.04813;49.16167;113.148;99.81834
39.80359;121.7114;80.87458;51.60698;111.6521;99.81532
37.15651;122.0224;81.65979;49.18979;114.9192;99.8151
39.42578;121.8477;80.86542;51.55818;111.6193;99.81167
37.86385;122.7819;79.45792;49.20516;112.9958;99.81094
37.7201;122.4909;79.45958;49.16;112.9393;99.80979
37.88636;122.5478;79.34062;49.14214;112.9386;99.80813
38.0712;122.6245;79.45125;49.21354;113.0655;99.80677
37.89927;122.9468;79.42292;49.09531;113.3103;99.80541
38.15615;122.7635;80.06125;49.22307;113.1431;99.80448
39.3987;121.4958;82.06687;51.70542;111.1338;99.80396
39.70375;121.4342;82.595;51.67568;110.8424;99.80364
39.41557;121.3527;81.87813;51.58437;111.0467;99.80156
37.74307;122.4412;79.52;49.19083;112.7546;99.79916
35.30302;122.1778;78.92792;46.93302;115.2557;99.79688
32.2099;121.3574;78.29542;44.18172;114.6715;99.79562
37.92375;122.6446;79.38917;49.16323;113.0531;99.79417
39.75052;122.2806;81.13979;51.49203;111.6097;99.7925
39.63786;121.6718;81.2775;51.64349;111.4405;99.79188
37.8549;122.5784;79.46042;49.205;113.0723;99.79188
39.73214;121.3902;82.34854;51.61109;110.8806;99.79146
38.04203;122.5156;79.54709;49.16365;112.9227;99.79094
48.14729;127.557;82.26688;59.02323;110.8145;99.78896
39.72021;121.4295;82.46354;51.64484;110.7023;99.78886
32.24281;120.7652;77.93125;44.18406;114.5757;99.78812
46.28375;125.5965;85.78584;57.6876;108.6049;99.78698
37.79964;122.5734;79.33979;49.18964;112.43;99.78542
32.17359;120.9879;78.08021;44.18026;114.6264;99.78396
39.49036;121.4467;81.9698;51.63958;110.8089;99.78313
38.09854;122.5216;79.38854;49.16797;112.9393;99.78177
37.71932;122.4729;79.38396;49.1724;112.9435;99.77927
37.9463;122.4443;79.39687;49.15229;112.9355;99.77292
38.0686;122.7226;80.04479;49.21292;113.1546;99.77135
