K5P5_2.PV;K5BSB_2.PV;K5Q3.PV
-38.94557;56.14849;0.9039844
-40.34089;57.3387;0.9041302
-40.80026;55.5374;0.9041615
-40.27214;56.68677;0.9050625
-38.40013;56.07787;0.9063646
-40.98073;55.88865;0.9071718
-39.8444;57.11125;0.9076875
-41.11602;56.51458;0.9095209
-39.89284;56.68052;0.9107136
-40.4181;56.76797;0.9118229
-41.3276;56.82995;0.9122344
-41.24271;57.18932;0.9122708
-41.66445;56.44896;0.9124584
-40.26484;56.1325;0.9140521
-40.68307;56.85276;0.915401
-41.3375;56.54089;0.9174531
-40.51458;56.00531;0.9191198
-41.31914;56.62537;0.9194948
-40.18698;57.18026;0.9201354
-38.59063;56.1313;0.9201458
-40.62578;56.82156;0.9203802
-40.025;56.49688;0.9209896
-40.26706;57.07292;0.92125
-39.29023;56.24193;0.9214948
-39.92044;56.41687;0.9215573
-40.65977;56.07406;0.9215781
-40.14909;55.83677;0.9246354
-40.76563;56.7012;0.9248125
-39.24036;56.85417;0.9258385
-38.06263;56.80661;0.9263802
-39.97174;56.23141;0.9265261
-41.29792;56.9099;0.9273125
-40.43451;56.40036;0.9276198
-40.4582;56.05135;0.9282656
-38.45378;56.44411;0.9290677
-40.67096;57.24583;0.9294271
-38.76784;56.62495;0.9295208
-38.71445;56.27729;0.9299114
-37.35195;56.55792;0.9304896
-38.99062;55.98448;0.9307917
-39.42175;56.34953;0.9316771
-39.75312;56.38193;0.9323437
-39.47682;57.7026;0.9326198
-38.12995;56.21865;0.9340625
-41.14961;57.16125;0.9343125
-40.21289;56.41016;0.934651
-39.97956;57.1111;0.9349635
-37.5931;56.37938;0.9355
-39.3306;56.67089;0.9355521
-39.83086;55.73594;0.9358698
-37.41211;56.28359;0.937349
-40.41523;56.10812;0.9383594
-39.81914;56.03625;0.9388802
-39.39362;55.38693;0.9399167
-41.21888;56.10891;0.9401563
-38.92474;56.7488;0.941099
-39.63659;55.72896;0.9428906
-39.41029;56.01963;0.9443437
-40.21836;56.34911;0.9445156
-40.34388;57.48214;0.9446354
-40.99505;55.64463;0.9448438
-39.94714;57.02589;0.94525
-37.54675;55.95026;0.9455885
-39.41341;56.50864;0.9462343
-36.04974;56.53203;0.9465417
-39.69779;56.13427;0.9466562
-38.58698;56.8338;0.9466718
-40.90807;56.61948;0.9468958
-40.48086;57.42437;0.9469531
-40.38659;56.33688;0.9471719
-40.6474;56.86354;0.9473958
-40.05976;56.43396;0.9476927
-41.43776;56.34729;0.9485313
-38.63971;56.35573;0.9485573
-38.61523;56.65677;0.9494219
-39.55352;56.65714;0.9502864
-39.90208;55.96755;0.950375
-39.53555;56.66443;0.9506458
-40.56732;56.7;0.9507917
-38.95742;56.50682;0.9519114
-39.4487;56.44333;0.9524531
-39.7711;56.00432;0.9533229
-39.2168;55.50146;0.9533646
-40.18998;56.00521;0.9537761
-36.70404;55.72016;0.9538021
-39.2168;56.13115;0.9545937
