K5PC5CH.OP;K5PC6CH.OP;K5F3.PV
55.54724;66.37328;3081.454
55.54719;66.40714;3090.631
55.54713;66.34099;3086.927
55.54688;66.47;3078.697
55.54521;66.38261;3075.279
55.54401;66.48427;3072.368
55.54333;66.37994;3068.948
55.54281;66.2525;3032.64
55.54083;66.36292;3081.509
55.54063;66.34474;3081.579
55.54047;66.47859;3076.028
55.54021;66.30281;3041.087
55.53896;66.37984;3080.257
55.5387;66.25411;3038.997
55.53844;66.28589;3063.571
55.53838;66.29115;3082.279
55.53765;66.37;3054.174
55.53667;66.41286;3084.147
55.53641;66.32396;3042.041
55.53578;66.41869;3061.79
55.535;66.26479;3042.743
55.53453;66.24104;3027.71
55.53245;66.25089;3023.489
55.53224;66.29427;3047.166
55.5313;66.34146;3042.202
55.53125;66.41151;3086.137
55.53005;66.40208;3080.524
55.5299;66.45922;3080.536
55.52964;66.41911;3083.264
55.52771;66.26187;3026.098
55.52666;66.35359;3112.217
55.52636;66.42396;3076.525
55.52589;66.40166;3056.836
55.52448;66.24958;3032.419
55.52422;66.28224;3037.017
55.52422;66.39349;3086.317
55.52417;66.39484;3088.925
55.52375;66.28635;3035.914
55.52375;66.4575;3078.319
55.52365;66.41937;3081.301
55.52271;66.39656;3078.227
55.52255;66.37614;3082.05
55.52245;66.39354;3084.456
55.52208;66.35823;3078.093
55.52167;66.36969;3072.16
55.52156;66.36255;3079.069
55.52141;66.39792;3080.16
55.52141;66.35912;3080.558
55.52;66.42411;3088.919
55.51979;66.35;3040.516
55.51969;66.32427;3039.991
55.51963;66.36068;3086.392
55.51948;66.33839;3069.359
55.51927;66.28245;3026.541
55.51891;66.4087;3080.043
55.51875;66.20958;3043.884
55.51771;66.39224;3070.326
55.5175;66.35042;3084.235
55.51729;66.34755;3078.075
55.51724;66.3776;3095.594
55.51714;66.25552;3037.699
55.51667;66.38338;3078.211
55.51609;66.46609;3080.769
55.51479;66.33865;3042.686
55.51474;66.46906;3080.1
55.51406;66.37787;3078.858
55.51333;66.39109;3085.886
55.51318;66.34109;3032.521
55.51318;66.26688;3040.035
55.51313;66.34937;3083.897
55.51286;66.38042;3080.988
55.51208;66.38635;3088.166
55.51109;66.37214;3083.433
55.50995;66.30771;3034.345
55.50964;66.4525;3084.163
55.50911;66.38599;3083.968
55.50865;66.41239;3077.945
55.50807;66.37646;3072.933
55.50766;66.24573;3046.582
55.50693;66.38099;3080.27
55.50687;66.30672;3028.782
55.50672;66.46484;3073.944
55.50625;66.28615;3050.948
55.50604;66.40005;3079.791
55.50552;66.23521;3030.295
55.50547;66.39615;3078.769
55.50391;66.31172;3022.948
55.50365;66.26167;3043.653
55.50333;66.38937;3078.737
55.50312;66.31469;3073.37
55.50266;66.23604;3021.55
55.50261;66.23828;3051.557
55.50198;66.47573;3074.375
55.50182;66.33255;3088.528
55.50167;66.45557;3073.681
55.50089;66.35802;3087.439
55.50068;66.30255;3030.61
55.50005;66.42495;3082.008
55.49995;66.37349;3065.467
55.49979;66.25333;3018.681
55.49927;66.42422;3054.263
55.49859;66.24995;3031.521
55.49792;66.30865;3081.548
55.49776;66.40292;3079.475
55.49729;66.35213;3083.691
55.49724;66.28479;3027.407
55.49688;66.3362;3022.542
55.49604;66.26813;3036.532
55.49599;66.36729;3081.155
55.49562;66.28761;3023.467
55.49432;66.42818;3082.883
55.4938;66.28641;3032.904
55.49339;66.39594;3076.014
55.49318;66.31255;3039.865
55.4924;66.36828;3054.783
55.49229;66.36219;3080.609
55.49187;66.23448;3034.593
55.49177;66.3888;3088.25
55.49089;66.45042;3084.617
55.49057;66.36282;3079.088
55.49005;66.33953;3075.828
55.48938;66.25162;3045.494
55.48906;66.49412;3079.512
55.48838;66.2337;3022.422
55.48828;66.25636;3043.903
55.48781;66.40135;3085.13
55.48745;66.28703;3024.373
55.48719;66.22651;3021.517
55.48672;66.38541;3071.258
55.48656;66.34922;3095.58
55.48646;66.37302;3075.258
55.4862;66.42235;3077.884
55.48573;66.38375;3080.987
55.48344;66.26104;3023.273
55.48302;66.3839;3087.102
55.48271;66.25542;3035.04
55.48265;66.39047;3087.704
55.4826;66.37589;3081.563
55.48214;66.24567;3037.871
55.48203;66.33547;3032.466
55.48167;66.4127;3086.275
55.48167;66.35828;3072.297
55.48125;66.28469;3036.579
55.48115;66.41255;3069.168
55.48094;66.37453;3073.63
55.48021;66.30422;3023.712
55.47958;66.22688;3062.793
55.47953;66.38193;3085.309
55.47937;66.26041;3017.604
55.47833;66.26385;3039.055
55.47693;66.37234;3034.516
55.475;66.38917;3075.375
55.4749;66.38115;3080.77
55.47479;66.39453;3076.625
55.47458;66.38125;3087.701
55.47443;66.37354;3076.992
55.47432;66.29349;3032.891
55.47432;66.32516;3078.272
55.47375;66.28786;3037.71
55.4737;66.42177;3074.881
55.47359;66.40015;3082.516
55.47276;66.32849;3090.473
55.47005;66.37312;3077.177
55.46969;66.25849;3036.138
55.46958;66.35114;3027.441
55.46953;66.38042;3068.629
55.46917;66.42151;3075.901
55.46912;66.27563;3038.474
55.46828;66.29057;3026.212
55.46786;66.33614;3083.148
55.46766;66.38683;3079.81
55.4663;66.37589;3081.987
55.4662;66.36089;3088.516
55.46614;66.39359;3071.334
55.46542;66.4151;3093.184
55.46526;66.3649;3082.363
55.46474;66.38016;3031.454
55.46443;66.3951;3078.57
55.46401;66.41146;3072.98
55.46391;66.34745;3084.601
55.46375;66.34599;3076.912
55.46333;66.25562;3011.783
55.46328;66.40995;3077.848
55.46307;66.33901;3071.757
55.46271;66.34292;3083.676
55.4625;66.35422;3085.377
55.46193;66.42182;3083.652
55.46088;66.25057;3032.251
55.45922;66.40609;3109.363
55.45922;66.42167;3091.784
55.4588;66.46052;3079
55.45839;66.35344;3087.174
55.45833;66.27917;3021.905
55.45797;66.28349;3047.143
55.45797;66.38495;3083.454
55.4576;66.24239;3036.77
55.4574;66.37802;3080.699
55.45667;66.29745;3041.525
55.45625;66.31187;3018.521
55.45599;66.35313;3081.189
55.4551;66.24323;3041.065
55.45458;66.36406;3082.315
55.45406;66.25015;3027.727
55.45401;66.33807;3090.002
55.45287;66.25083;3034.812
55.4525;66.23386;3038.808
55.45245;66.37411;3081.553
55.45177;66.25536;3036.592
55.45151;66.37026;3054.07
55.4513;66.30255;3041.175
55.45104;66.22802;3045.082
55.45094;66.27688;3040.159
55.45089;66.33791;3083.208
55.45021;66.28797;3025.465
55.44917;66.40697;3080.773
55.44896;66.36026;3082.438
55.44807;66.36885;3076.149
55.44792;66.26828;3038.174
55.44781;66.25443;3053.025
55.44714;66.23093;3034.465
55.44693;66.44515;3077.502
55.44677;66.34766;3070.333
55.44661;66.23828;3062.808
55.44588;66.27661;3026.796
55.44547;66.25063;3038.482
55.44453;66.36953;3085.834
55.4439;66.40396;3087.784
55.44323;66.40385;3077.2
55.44307;66.26552;3021.423
55.44224;66.44677;3074.303
55.44177;66.22151;3025.543
55.44177;66.36453;3075.265
55.44115;66.27786;3037.07
55.44047;66.27802;3013.847
55.43932;66.40729;3073.821
55.4387;66.42234;3083.26
55.43698;66.23776;3050.557
55.43661;66.24136;3031.416
55.43636;66.35234;3051.235
55.43636;66.40797;3078.39
55.43615;66.27568;3032.767
55.43594;66.38354;3060.471
55.43568;66.36063;3074.072
55.43495;66.43156;3078.8
55.43489;66.36443;3087.3
55.43443;66.39906;3075.73
55.43432;66.3063;3028.809
55.43401;66.25083;3041.959
55.43328;66.33537;3076.71
55.43323;66.37614;3063.896
55.43292;66.42552;3072.648
55.43224;66.27776;3040.406
55.43214;66.28558;3029.896
55.43214;66.38073;3076.603
55.43208;66.28099;3024.525
55.43177;66.36896;3072.103
55.43114;66.35438;3074.487
55.43073;66.3788;3084.24
55.43057;66.38333;3081.457
55.4301;66.36636;3065.499
55.43005;66.39526;3090.592
55.42995;66.28026;3041.61
55.42943;66.43151;3078.583
55.42812;66.28297;3033.248
55.42807;66.37693;3080.629
55.42755;66.25297;3058.222
55.42693;66.23219;3028.028
55.42615;66.34766;3069.764
55.42526;66.30714;3031.812
55.42427;66.37943;3084.558
55.42422;66.36052;3081.098
55.4224;66.26192;3048.938
55.42239;66.28099;3046.097
55.42224;66.40422;3084.341
55.42193;66.37797;3067.971
55.42156;66.2438;3026.355
55.42146;66.29286;3035.525
55.42136;66.38443;3085.746
55.41974;66.24911;3044.132
55.41964;66.66542;3080.265
55.41927;66.40907;3076.494
55.41917;66.26625;3025.976
55.41823;66.4225;3079.55
55.41698;66.34828;3041.738
55.41677;66.34828;3075.421
55.4164;66.2687;3039.28
55.4164;66.42146;3077.862
55.41552;66.30427;3035.535
55.4151;66.34511;3040.871
55.41401;66.25948;3041.542
55.41359;66.31958;3090.325
55.41193;66.27229;3027.467
55.4112;66.24838;3037.747
55.41088;66.28521;3033.305
55.41047;66.39063;3078.899
55.41026;66.37756;3077.024
55.40943;66.25713;3020.073
55.40833;66.26859;3034.033
55.40828;66.31604;3037.042
55.40818;66.39313;3076.976
55.40771;66.28114;3030.795
55.4076;66.36922;3079.636
55.40719;66.24547;3064.037
55.40641;66.27338;3034.41
55.40635;66.435;3077.315
55.40604;66.23521;3018.46
55.40604;66.21615;3056.222
55.40594;66.24615;3022.454
55.40568;66.2524;3043.24
55.40562;66.24812;3037.685
55.40536;66.40765;3078.653
55.40531;66.39099;3075.573
55.40526;66.34213;3086.751
55.40469;66.35583;3079.364
55.40432;66.28989;3043.722
55.40276;66.23568;3063.914
55.40229;66.45349;3061.999
55.40213;66.39745;3086.204
55.40047;66.26286;3035.251
55.39995;66.41036;3081.935
55.39974;66.28292;3027.27
55.3987;66.3499;3082.785
55.39781;66.37218;3079.014
55.39771;66.27885;3031.423
55.39682;66.425;3090.876
55.3961;66.25802;3037.12
55.39604;66.29177;3031.471
55.39495;66.3874;3079.43
55.39406;66.29369;3039.626
55.39396;66.32088;3087.6
55.3937;66.25109;3046.319
55.39333;66.37344;3081.961
55.39312;66.29912;3031.082
55.39271;66.2989;3033.687
55.39245;66.38578;3074.28
55.39229;66.39661;3082.032
55.39198;66.30334;3038.348
55.3913;66.38333;3078.218
55.39104;66.3676;3057.236
55.39057;66.35646;3090.189
55.39;66.39339;3085.696
55.3887;66.3462;3089.915
55.38792;66.39042;3083.727
55.38698;66.26557;3042.388
55.38672;66.38797;3073.874
55.38609;66.32291;3037.704
55.38562;66.38427;3062.752
55.38515;66.42667;3071.438
55.38427;66.3812;3081.536
55.38401;66.26214;3046.875
55.38297;66.22896;3015.638
55.38245;66.38271;3086.18
55.38177;66.24255;3024.522
55.38177;66.23771;3063.777
55.3812;66.3988;3076.693
55.38073;66.39302;3079.442
55.38036;66.40896;3076.303
55.37959;66.26365;3044.863
55.37959;66.34906;3073.082
55.37854;66.27417;3022.333
55.37807;66.2664;3031.352
