K5PC5CH.OP;K5PC6CH.OP;K5T10_2.PV;K5T5_1.PV;K5T18_1.PV;K5T8_6.PV;K5T12.PV
52.58776;64.27594;108.6722;611.6984;250.3952;172.3658;176.9997
52.47526;64.27417;108.5828;617.1912;251.4773;172.3624;177.2224
53.34953;64.8187;108.4585;619.7416;253.0802;172.3608;177.338
52.50281;64.24802;108.5054;609.1406;249.5829;172.3582;176.6543
55.31104;66.81567;108.3883;623.3438;254.2048;172.3308;177.2814
56.36302;67.88422;108.3052;625.2052;254.4008;172.3288;177.2735
56.48297;67.86313;108.1794;623.662;254.3896;172.3178;177.279
56.44708;67.85943;108.2836;623.9776;254.4383;172.3172;177.2504
56.24031;67.88115;108.2479;622.7542;254.3767;172.3142;177.26
56.58974;67.83719;108.2155;625.4141;254.536;172.314;177.1957
51.62943;63.33083;108.325;609.6193;249.0877;172.3085;176.4224
56.42297;67.86912;108.2742;622.2974;254.5983;172.3075;177.2502
56.47099;67.85396;108.5081;621.9495;254.5277;172.2854;177.2311
56.47844;67.85088;108.3405;622.4078;254.6535;172.2814;177.2704
56.47792;67.81594;108.5901;624.514;254.3481;172.2803;176.9758
56.34542;67.84396;108.6064;623.587;254.6592;172.2789;177.2001
56.66297;67.85828;108.5844;623.8255;254.5092;172.2701;177.1523
51.64708;63.28011;108.1121;609.5625;248.5444;172.2674;176.1712
56.40688;67.85276;108.3407;622.4031;253.9917;172.266;176.9993
56.37547;67.80505;108.1721;624.2463;253.7144;172.2637;176.9056
56.53323;67.84099;108.4627;624.1458;254.1498;172.263;177.075
56.37943;67.8551;108.2698;621.5068;253.9308;172.2627;176.9514
56.57599;67.79781;108.2659;625.1797;254.2577;172.2617;177.0782
56.44292;67.82224;108.2274;624.3943;254.3169;172.259;177.0047
56.27656;67.80412;108.251;622.8187;253.7742;172.2551;176.9447
56.30239;67.79761;108.1896;622.2458;253.6517;172.2532;176.9043
56.24755;67.79531;108.1809;623.2516;253.8765;172.2532;176.9339
56.5337;67.82828;108.2743;624.3229;254.1385;172.2504;176.9946
56.39849;67.79761;108.1981;622.8182;253.814;172.2474;176.8104
56.54094;67.8287;108.1886;624.8214;254.0488;172.2467;176.9411
56.57833;67.82078;108.1755;625.2609;254.361;172.2383;176.9574
56.57635;67.80729;108.2933;625.7005;254.3788;172.2303;177.1179
56.53667;67.81786;108.1516;623.6349;254.3792;172.2303;176.9027
56.43422;67.79369;108.164;623.4104;253.9542;172.2213;176.8317
