K5PC5CH.OP;K5T4.PV;K5T18_2.PV;K5PC6CH.OP;K5T8_3.PV;K5T10_1.PV
48.77187;130.78;87.97021;60.41125;116.2157;99.99969
50.91646;132.4323;89.3225;62.51328;117.41;99.99958
48.53885;130.4775;87.37187;60.3762;115.481;99.99895
48.82729;131.2417;87.39354;60.41177;116.5084;99.99844
48.81599;130.6476;87.50604;60.40552;116.225;99.99844
48.78182;130.7681;87.91187;60.41187;116.1709;99.99833
48.85292;131.1305;87.87083;60.39771;116.1148;99.9951
48.6075;130.5767;87.40292;60.38911;115.8954;99.9951
56.38432;139.2226;95.30209;67.80089;121.0041;99.99479
48.76411;131.2053;87.68271;60.42906;116.1331;99.99302
48.82458;130.7402;87.3923;60.43839;116.4478;99.99125
50.89385;132.4773;89.37542;62.54547;117.633;99.99104
48.67641;130.7224;87.78646;60.40865;116.1455;99.99084
48.81052;130.8846;87.66792;60.39989;116.3232;99.99062
48.85297;130.8827;87.925;60.42469;116.1905;99.98823
48.63281;132.0511;87.48104;60.41047;118.1705;99.98344
48.82328;130.7459;87.88646;60.405;116.2809;99.98125
51.26401;132.2974;89.44209;62.53411;116.8236;99.98
51.34604;132.2285;89.42625;62.56016;116.7791;99.97708
48.61349;130.2982;87.26729;60.38474;115.847;99.97604
48.82323;130.8267;87.65334;60.3975;116.2957;99.97354
48.62812;130.8112;87.81271;60.43167;116.1615;99.97334
48.98953;130.7217;87.29938;60.43781;116.4511;99.97063
48.61193;130.6453;87.47354;60.36521;115.5973;99.97052
48.62635;130.8172;87.59021;60.3951;116.3151;99.97
51.24552;132.2518;89.53416;62.54297;116.8016;99.96927
49.02896;130.7301;87.66396;60.43625;116.2881;99.9675
48.7676;130.8207;87.91917;60.40198;116.2169;99.96396
48.79317;130.5607;87.67958;60.40047;116.2561;99.96146
48.97474;130.9335;87.35083;60.43489;116.5137;99.96136
48.9924;130.6158;87.60667;60.44677;116.2669;99.96104
48.88578;130.8901;87.55708;60.39974;116.3076;99.96072
48.74083;130.9642;87.8425;60.39818;116.1969;99.95865
48.34521;130.8475;87.44688;60.34979;115.5577;99.95563
51.13682;132.2807;89.50521;62.55162;116.9306;99.95469
48.86875;130.9193;87.26646;60.38833;116.4897;99.95406
48.62609;130.7003;87.72688;60.38125;116.2949;99.95292
48.8188;130.8425;87.80458;60.37927;116.2377;99.9525
48.88151;130.6925;87.48688;60.42656;116.2495;99.94948
50.96031;132.2621;89.29938;62.52042;117.3635;99.94927
48.79656;131.0734;87.82417;60.38792;116.1994;99.94406
48.72797;130.5102;87.655;60.41047;116.2729;99.94
48.53849;130.4192;87.30875;60.36802;115.446;99.93698
48.61609;130.5747;87.37229;60.40193;115.8426;99.93396
48.56172;130.57;87.35458;60.38964;115.8411;99.93385
48.65979;130.7371;87.96416;60.41135;116.2089;99.93344
48.60531;130.3246;87.24396;60.38797;115.8516;99.93125
49.08963;130.9508;87.35125;60.41443;116.5006;99.9274
49.03339;130.6098;87.65875;60.40646;116.2471;99.92593
48.46094;131.4168;87.31521;60.37708;115.9174;99.92333
48.55787;130.793;87.41062;60.34385;115.5039;99.92156
48.85786;131.0196;87.32916;60.42354;116.5171;99.92136
48.83693;130.7589;87.53458;60.42245;116.2359;99.92021
48.80604;130.6892;87.69;60.39412;116.328;99.91979
48.75021;130.7172;87.71438;60.38948;116.2845;99.91885
51.20615;132.2888;89.47021;62.55073;116.7704;99.91563
50.98083;132.3036;89.23187;62.52312;117.3369;99.91396
48.98401;130.6664;87.76583;60.41125;116.2741;99.91052
48.83177;130.5054;87.68396;60.41135;116.2275;99.9099
48.64563;130.8384;87.83437;60.38792;116.2882;99.9099
48.69224;130.6949;87.70333;60.39135;116.3074;99.90979
48.51245;130.8603;87.41583;60.34875;115.5181;99.90781
50.77271;132.3393;89.16542;62.44573;117.308;99.90771
48.83396;130.8973;87.83625;60.40318;116.2536;99.90271
48.73235;130.8085;87.69125;60.40588;116.2693;99.9024
48.97234;130.8527;87.38895;60.4125;116.2251;99.90011
48.71682;130.6815;87.93979;60.41078;116.3508;99.89938
48.83698;130.628;87.63187;60.40755;116.2579;99.89927
48.55849;130.5887;87.33375;60.39594;115.8319;99.89906
48.93385;130.8607;87.99479;60.39943;116.1983;99.89812
48.72089;130.5607;87.68938;60.40328;116.3005;99.89761
48.76015;130.5392;87.91729;60.39927;116.3297;99.89667
48.82693;130.6804;87.79146;60.38364;116.3053;99.89427
48.86312;130.8296;87.57083;60.39005;116.3187;99.89302
51.36672;132.2572;89.60146;62.55984;116.8185;99.8923
56.5338;139.1317;95.36063;67.80448;120.9968;99.88782
51.21526;132.5107;89.37917;62.52287;117.3185;99.88583
48.84036;130.6343;87.77042;60.40136;116.3377;99.88573
51.19255;132.3066;89.38229;62.5676;116.7941;99.885
48.90854;130.716;87.6125;60.4163;116.2523;99.88458
48.57063;131.2722;87.45958;60.32438;115.8168;99.88323
48.70187;131.2941;87.53833;60.38349;115.7575;99.88281
51.29474;132.3419;89.51729;62.55437;116.8409;99.88115
48.81813;130.642;87.58562;60.40786;116.2199;99.88084
48.71938;130.7525;87.28083;60.42729;116.4529;99.88042
48.95885;130.7859;88.12146;60.39125;116.265;99.87979
48.71416;130.8479;87.43979;60.44162;116.2492;99.87937
48.67031;130.7285;87.98646;60.37661;116.2993;99.87937
48.78688;130.9826;87.8125;60.38901;116.25;99.87907
48.74708;130.6866;87.61979;60.43365;116.2457;99.87666
48.93505;130.8609;87.995;60.41568;116.2405;99.87458
