K5T3.PV;K5T2_2.PV
267.8794;426.8191
267.8715;426.6663
259.4806;426.6278
267.6669;426.4822
267.841;426.4384
258.7044;426.4222
267.8302;426.3584
267.6654;426.3112
267.6875;426.2575
267.2373;426.0438
267.754;426.0428
267.5354;425.9691
267.5983;425.7678
267.671;425.7087
259.5271;425.6753
267.2137;425.6425
267.2852;425.4053
267.74;425.385
267.1656;425.3497
267.1615;425.2119
267.4727;425.1175
267.0963;424.9566
266.9744;424.9097
267.4396;424.905
267.3506;424.8759
267.3163;424.8734
267.3292;424.8578
266.916;424.8175
267.2296;424.7847
266.8167;424.6828
267.0912;424.6022
265.9127;424.4972
259.9327;424.3994
259.8344;424.395
259.7787;424.3934
267.006;424.3806
259.8171;424.3578
259.8177;424.3544
266.8587;424.3469
260.0262;424.335
267.1323;424.3319
259.9263;424.3309
259.6523;424.3009
259.8387;424.2978
267.6871;424.275
259.959;424.2591
259.7663;424.2447
259.5492;424.2337
259.8096;424.2297
266.7758;424.2162
259.8531;424.2125
259.4002;424.1722
268.5102;424.1716
259.1313;424.1638
259.6142;423.9531
259.4598;423.9516
261.9379;423.9084
266.5569;423.9053
259.0065;423.8884
264.1044;423.7944
268.4238;423.6159
259.3583;423.5425
259.3956;423.5287
266.2315;423.5028
255.5198;423.4912
264.8456;423.4844
259.4219;423.4119
258.4283;423.2356
268.0565;423.0947
258.586;423.07
265.9852;422.9944
263.5602;422.9547
264.9012;422.9422
259.1804;422.9222
262.4817;422.6875
264.3321;422.6294
268.0423;422.5931
262.3419;422.3725
258.9419;422.3109
265.6146;422.2419
265.3623;422.2366
265.6046;422.2025
265.4267;422.1888
263.2644;422.1606
265.4902;422.1578
261.0025;422.0366
265.6173;422.0322
265.1204;422.0297
265.7542;421.9722
263.8477;421.9419
265.6017;421.9325
267.8913;421.865
265.5685;421.8606
258.0302;421.8525
265.5121;421.8303
265.389;421.8022
262.2515;421.7397
265.3742;421.7188
265.4125;421.7144
265.195;421.62
257.8633;421.6165
265.5108;421.5994
265.4817;421.5903
265.3902;421.5691
265.1187;421.5644
258.6142;421.5416
265.4694;421.5409
265.2587;421.5244
267.1981;421.4625
265.4104;421.4565
265.2771;421.4503
265.1898;421.4259
265.39;421.4037
263.6754;421.4003
265.4875;421.3975
265.219;421.3641
267.2317;421.3606
263.6944;421.3603
265.2358;421.3513
267.0765;421.3494
262.9052;421.3466
261.964;421.3447
262.055;421.3034
261.8229;421.2734
263.3615;421.2625
262.28;421.2597
265.2358;421.2591
265.1573;421.2497
267.1802;421.2384
265.4869;421.2322
267.1083;421.23
265.486;421.2044
265.4027;421.196
259.5765;421.1462
265.291;421.1384
265.4448;421.1384
267.4423;421.1088
261.9985;421.0928
263.0625;421.0512
266.9292;421.0331
267.1544;420.9953
265.2167;420.995
267.1062;420.99
265.2479;420.9441
265.1319;420.9375
265.1233;420.9362
258.3404;420.9319
266.9115;420.9287
265.01;420.9244
261.7831;420.9237
265.4644;420.9231
267.366;420.9031
265.1487;420.8997
263.0127;420.8672
258.2346;420.8256
261.6846;420.8044
259.9031;420.8022
267.2242;420.7841
262.8521;420.7813
267.125;420.7734
258.181;420.7609
266.9033;420.745
261.8131;420.7338
267.0327;420.7288
258.1929;420.7106
267.0281;420.6806
266.8567;420.6787
258.1377;420.6622
267.3479;420.6584
258.0035;420.6372
266.9877;420.6347
267.3111;420.6325
266.8385;420.5931
266.9031;420.5928
263.224;420.5912
265.1723;420.5859
266.8248;420.5775
267.3804;420.5756
267.0085;420.5694
258.2723;420.5609
265.3075;420.5397
262.9185;420.5216
266.9113;420.5147
257.9833;420.5119
266.7329;420.5087
266.81;420.4991
261.6094;420.4969
267.2523;420.4897
266.9946;420.4825
264.7896;420.4725
258.0602;420.4637
257.9604;420.4581
266.8175;420.4413
258.205;420.4353
258.0829;420.4294
265.2065;420.4278
262.7856;420.4259
258.1233;420.4256
266.7798;420.4191
258.0583;420.4175
267.2308;420.4163
267.2477;420.4012
267.3967;420.4009
266.924;420.3881
266.8592;420.3747
267.1698;420.3719
265.2604;420.355
267.09;420.3453
266.774;420.3337
266.6954;420.3166
266.8996;420.2987
267.0227;420.2953
267.3242;420.2906
265.055;420.2884
257.9156;420.2878
266.8319;420.26
266.9371;420.2456
266.7833;420.2278
257.4402;420.2119
267.044;420.2109
266.7223;420.2094
266.8483;420.2091
266.5642;420.2056
257.4604;420.1831
266.5392;420.1812
267.0844;420.1797
262.4079;420.1794
266.91;420.1719
259.534;420.17
259.5398;420.1666
261.4804;420.1456
257.8919;420.1422
257.8575;420.1212
263.0206;420.1197
266.7413;420.1131
267.184;420.1109
266.9492;420.1075
266.9402;420.0919
267.0244;420.0878
262.3102;420.0641
261.6012;420.0519
257.6617;420.0466
266.5338;420.0184
267.0758;420.0125
261.6148;419.9925
266.5121;419.9803
266.8102;419.9766
256.8865;419.9722
266.7031;419.96
261.5671;419.9478
264.6608;419.9472
267.0271;419.9434
266.8421;419.9322
259.4221;419.9322
266.7671;419.9256
266.7071;419.9256
267.1913;419.9256
259.6581;419.9141
259.3769;419.9097
260.0696;419.8987
266.4594;419.8872
266.7602;419.8869
261.4458;419.8863
266.9787;419.8838
257.9333;419.8628
266.4858;419.8594
257.3887;419.8572
261.7629;419.8519
266.7604;419.8441
261.6679;419.8428
261.3971;419.8331
261.7487;419.8294
261.686;419.8272
263.5292;419.82
263.6281;419.8034
266.9635;419.7875
266.4917;419.7803
259.0746;419.7691
262.5827;419.7687
267.0821;419.7662
266.9571;419.7656
261.4881;419.7634
263.5342;419.7628
263.7367;419.76
261.65;419.7428
263.6765;419.7381
266.7198;419.7372
257.0796;419.7359
256.771;419.7359
261.5548;419.7234
266.7388;419.7209
266.4042;419.7188
266.646;419.7184
263.4667;419.7147
261.4333;419.7144
266.706;419.7041
258.0363;419.7041
257.4025;419.7009
266.6333;419.7006
256.7577;419.7006
261.6463;419.6975
266.9471;419.6935
266.6544;419.6913
266.6721;419.6875
266.5452;419.685
267.01;419.685
263.4769;419.6844
266.5692;419.6828
261.7188;419.6828
263.3998;419.6753
261.68;419.6669
257.33;419.6644
266.5631;419.6631
266.8852;419.6363
263.4146;419.6288
263.6265;419.6244
267.05;419.6175
266.756;419.6128
261.4158;419.6078
263.5725;419.6075
257.6521;419.6044
261.5325;419.6022
262.9654;419.6013
263.6225;419.5938
259.9731;419.5938
261.5;419.5922
261.5652;419.5919
261.8273;419.5891
261.7312;419.5806
263.6719;419.5709
261.6746;419.5706
266.6671;419.5631
261.4431;419.5631
263.7762;419.5619
261.6473;419.5594
261.3233;419.5591
263.4863;419.5509
263.3829;419.5422
263.5823;419.5409
257.6758;419.5391
266.8152;419.5344
261.5946;419.5325
261.5921;419.5241
259.4425;419.524
261.4348;419.5172
261.6831;419.5166
262.6719;419.5091
263.4485;419.5081
266.724;419.506
261.4948;419.5053
261.3615;419.4997
261.5;419.4987
263.4077;419.4981
266.825;419.4966
266.6867;419.4919
261.3987;419.4913
257.655;419.4903
261.2106;419.4856
261.5817;419.4853
259.541;419.4847
261.4494;419.4813
266.7646;419.4806
261.5485;419.4753
261.6062;419.4728
266.2513;419.4587
263.6379;419.4516
256.82;419.4509
263.6402;419.45
267.0029;419.4444
261.2894;419.4444
261.5692;419.4409
257.2583;419.4406
261.4417;419.4362
261.465;419.4362
263.7885;419.4322
263.431;419.429
259.2146;419.4275
266.8631;419.4266
261.5031;419.4231
263.2527;419.4191
261.3521;419.4181
266.8006;419.4175
259.5262;419.4103
256.6106;419.4094
261.4817;419.4075
263.5104;419.4066
263.596;419.4063
261.3631;419.4041
261.2337;419.4031
263.359;419.4025
259.529;419.4016
263.4685;419.3969
261.4896;419.3959
261.4983;419.3959
259.5542;419.3953
259.4679;419.3953
261.5496;419.3938
263.44;419.3925
262.8567;419.3909
257.1229;419.3875
259.4981;419.3869
266.5631;419.38
259.3352;419.3797
261.231;419.3778
259.5038;419.3766
263.5167;419.3763
259.4435;419.3719
263.194;419.3716
264.4775;419.3687
257.49;419.3622
263.3565;419.3581
263.5742;419.3575
261.4775;419.3519
261.7729;419.351
263.55;419.3503
266.9881;419.3491
261.3169;419.3478
266.6629;419.3441
259.17;419.3434
263.246;419.3422
259.4427;419.3391
259.2863;419.3378
263.4471;419.3362
261.6085;419.3362
261.5052;419.335
261.4029;419.3344
259.4585;419.3319
261.7075;419.3278
259.3267;419.3266
261.2296;419.3259
263.1263;419.3253
263.5437;419.3222
263.2494;419.3203
259.3862;419.3185
266.8537;419.3156
266.5567;419.3153
263.1206;419.3144
259.4856;419.3144
259.3219;419.3131
259.5656;419.3122
261.6275;419.3103
259.2475;419.3084
259.3579;419.3072
259.3967;419.3062
263.501;419.3044
261.4383;419.3025
257.256;419.3016
259.4763;419.2991
263.2271;419.2988
261.4771;419.2975
259.1802;419.2966
259.4744;419.2963
259.2342;419.2922
259.4148;419.2894
257.229;419.2885
261.4104;419.2875
263.2108;419.2859
263.4088;419.2844
259.1819;419.2809
263.3288;419.2797
264.2988;419.2784
259.2221;419.2775
259.3154;419.2772
261.3644;419.2753
261.6073;419.2731
259.3925;419.2719
256.9046;419.2716
263.3496;419.2712
259.4742;419.2709
259.5085;419.2694
259.5533;419.2656
261.4558;419.2635
259.5042;419.2634
263.2894;419.2631
259.3412;419.2631
259.3531;419.2603
259.3102;419.2581
259.2285;419.2531
261.3781;419.2509
262.7792;419.2466
259.2952;419.2459
259.4462;419.2444
263.6004;419.244
259.3323;419.2409
259.3498;419.2387
259.4485;419.2378
259.3848;419.2359
261.5517;419.2347
261.3913;419.2341
259.165;419.2322
259.2019;419.2319
259.2829;419.2313
259.2165;419.23
261.6185;419.2281
264.6042;419.2272
263.4212;419.2256
263.49;419.2238
261.62;419.2238
259.4727;419.2225
259.3764;419.2225
257.6454;419.2213
261.2813;419.2203
259.365;419.22
259.4608;419.2197
262.6931;419.2184
259.4015;419.2181
263.5083;419.2115
257.3046;419.21
259.4517;419.2097
261.4483;419.2075
257.5169;419.2069
259.3933;419.2065
259.3306;419.2059
259.3752;419.2053
263.3833;419.2038
257.2969;419.2034
259.3431;419.2031
259.2217;419.2028
259.4025;419.2025
259.5492;419.2019
257.3708;419.2019
259.5817;419.2
264.8294;419.1984
259.5227;419.1972
264.8583;419.1959
259.375;419.1925
259.4238;419.1919
259.339;419.1875
259.1579;419.1866
261.5202;419.1856
266.8429;419.1853
259.4892;419.1847
259.3344;419.1841
261.66;419.1825
259.6135;419.1822
261.3037;419.1812
257.5715;419.1812
257.2033;419.1797
264.2346;419.1794
257.2073;419.1756
259.3033;419.175
266.6971;419.1744
261.4317;419.1722
259.3173;419.1716
263.2342;419.1712
259.5144;419.1706
263.2121;419.1684
259.1454;419.1663
259.4483;419.1663
261.5225;419.1659
259.2656;419.1653
259.2898;419.1622
257.485;419.1622
259.1835;419.1603
259.2933;419.1594
259.2054;419.1578
259.3208;419.1575
259.1167;419.1559
259.4894;419.1556
259.3523;419.1547
264.3304;419.1537
256.7919;419.1519
263.6244;419.1509
263.4304;419.1506
259.2665;419.1416
259.3421;419.1378
259.3763;419.1341
259.2121;419.1341
257.4896;419.1338
257.6481;419.1334
259.3008;419.1322
264.3715;419.1319
261.5537;419.1306
266.6802;419.1303
261.2875;419.1284
257.2623;419.1266
259.3569;419.1259
259.229;419.125
259.2065;419.1241
259.2231;419.1241
259.6546;419.1231
259.4481;419.1219
259.1463;419.1219
259.3983;419.1194
259.2556;419.1162
257.6488;419.1147
259.3856;419.1138
263.3213;419.1134
259.4208;419.1119
259.1481;419.1116
259.4821;419.1112
259.3279;419.1109
259.1869;419.1091
263.0154;419.1088
259.4888;419.1063
259.2198;419.1059
261.3206;419.105
257.4431;419.105
259.4415;419.1038
266.6794;419.1031
263.4385;419.1022
263.4702;419.1016
263.5102;419.1003
259.2356;419.1003
259.3396;419.0991
257.5429;419.0981
263.3302;419.0978
254.5602;419.0966
257.3488;419.0963
259.3404;419.095
259.2104;419.095
257.3783;419.0947
259.4108;419.0944
259.6135;419.0938
261.4531;419.0912
259.1683;419.0909
259.37;419.0869
259.416;419.0853
259.5206;419.0775
259.2523;419.0769
256.5492;419.0747
259.2215;419.0741
266.2998;419.0731
259.2519;419.0731
266.9179;419.0713
259.3596;419.0706
266.6144;419.0675
261.5194;419.0669
264.0229;419.0666
257.4817;419.0663
259.4256;419.0628
261.7802;419.0628
259.2542;419.0612
263.4067;419.0597
259.5065;419.0587
259.346;419.0569
257.501;419.0569
259.2235;419.0537
262.6321;419.0491
259.2204;419.0469
263.5808;419.0466
256.6237;419.0419
264.8015;419.0413
257.2462;419.0394
259.1592;419.0372
259.2458;419.0363
259.3688;419.0353
261.0583;419.0334
259.2202;419.0331
264.2335;419.0303
259.0658;419.0284
259.1027;419.0266
259.1662;419.0259
263.0998;419.0244
259.1481;419.0228
259.2738;419.0222
259.3758;419.0209
259.2335;419.02
257.4379;419.02
259.3269;419.0175
259.3185;419.0166
259.3371;419.0166
259.054;419.0147
263.4123;419.0144
259.3788;419.0113
259.3352;419.0084
259.3106;419.0078
261.4094;419.0075
259.4371;419.0053
259.1471;419.0047
261.3517;419.0034
259.2637;419.0031
259.139;418.9991
264.4858;418.9987
259.181;418.9972
259.4446;418.9972
259.5663;418.9962
259.1471;418.9956
259.3267;418.9944
259.2283;418.9919
259.1675;418.9912
261.4056;418.99
259.1992;418.99
259.0979;418.9875
259.3237;418.9875
259.4462;418.9862
259.2352;418.9853
259.2431;418.9853
259.3127;418.985
261.3279;418.9847
259.409;418.9837
259.4781;418.9834
259.2875;418.9822
259.5135;418.9819
259.2298;418.9791
259.4444;418.9781
263.2317;418.9775
257.4563;418.9772
259.3854;418.9759
257.3971;418.9725
259.2588;418.9697
256.9608;418.9678
263.4606;418.9659
259.356;418.9631
259.2504;418.9609
261.2154;418.9606
263.5048;418.9603
259.1506;418.9597
259.1769;418.9575
261.4027;418.9572
259.4;418.9572
256.5752;418.9572
259.3163;418.9562
259.3019;418.9541
259.1535;418.9537
263.4644;418.9531
259.2881;418.9519
257.204;418.9519
259.3196;418.9516
264.2223;418.9513
257.0102;418.9509
259.2473;418.95
259.4863;418.9475
259.3015;418.9475
256.4192;418.9472
259.3737;418.945
263.2394;418.9444
258.9727;418.9438
258.9858;418.9435
259.4156;418.9409
259.1825;418.9406
259.3663;418.94
259.3544;418.9353
257.0921;418.935
259.4494;418.9341
259.3219;418.9334
257.0813;418.9322
259.4223;418.9319
263.5048;418.9306
259.05;418.9306
261.4515;418.9294
259.2785;418.9284
259.0788;418.9269
261.4469;418.9247
259.2156;418.9219
259.5129;418.9197
259.1142;418.9191
259.1817;418.9188
259.4185;418.9172
259.3663;418.9153
259.066;418.9141
256.9731;418.9141
259.3479;418.9128
259.1621;418.9109
259.5292;418.9109
263.4931;418.9106
263.1592;418.9106
263.5696;418.9075
259.5688;418.9056
259.2731;418.9044
259.1544;418.9044
259.4479;418.9044
264.5633;418.9006
257.6358;418.8997
256.8154;418.8984
258.9565;418.8972
259.2506;418.8962
264.0823;418.8962
259.1275;418.8956
259.3212;418.895
259.2794;418.8944
257.0767;418.8919
257.3854;418.8913
257.0556;418.8903
263.4744;418.89
259.3646;418.89
259.5079;418.8897
257.4312;418.8875
263.1567;418.8869
259.355;418.8869
259.0867;418.8866
257.4381;418.8847
259.2281;418.8803
259.5127;418.8794
264.7323;418.8788
259.3881;418.8766
258.9069;418.8756
257.5181;418.8728
257.6142;418.8725
257.1054;418.8712
259.2702;418.8709
259.7296;418.8709
259.3115;418.8694
259.4521;418.869
259.399;418.8669
257.3194;418.8669
263.1738;418.8662
259.2929;418.8662
259.1008;418.8656
259.285;418.8647
259.1581;418.8644
259.3315;418.8641
257.6577;418.8622
259.3148;418.8616
261.4252;418.8591
259.5302;418.8584
257.1792;418.8578
259.1771;418.8575
261.4438;418.8569
259.274;418.8569
263.5396;418.8559
259.2267;418.8559
259.0281;418.8559
257.2773;418.8544
259.1506;418.8538
257.2954;418.8538
259.4481;418.8513
261.1996;418.8509
259.3954;418.8503
259.5471;418.8491
259.2858;418.8484
259.4702;418.8484
259.3502;418.8481
257.59;418.8472
259.379;418.8469
256.9779;418.8463
259.3121;418.8459
259.2296;418.8453
259.5587;418.8447
259.4702;418.8444
259.426;418.8419
259.0769;418.8416
257.0827;418.8412
259.2754;418.8406
261.4077;418.8403
259.2331;418.8403
259.2917;418.8394
259.1842;418.8387
259.4162;418.8378
259.1615;418.8344
259.2067;418.8341
259.21;418.834
263.2813;418.8322
259.2612;418.8315
259.2735;418.829
263.4058;418.8272
259.2252;418.8256
259.1723;418.8253
261.4065;418.8247
259.479;418.8244
259.0131;418.8244
259.0773;418.8241
259.3285;418.8228
259.2388;418.8222
259.1563;418.8197
261.4719;418.8191
259.4421;418.8175
257.4283;418.8153
261.3554;418.815
259.1608;418.815
257.4527;418.8147
259.156;418.8141
259.2827;418.8134
261.4919;418.8125
266.0644;418.8122
259.3808;418.8112
259.2231;418.8087
259.2121;418.8072
258.8942;418.8069
261.1208;418.8059
259.4477;418.8059
256.9877;418.8059
259.3665;418.805
261.2496;418.8037
259.2229;418.8034
259.2075;418.8025
259.286;418.8022
259.2513;418.8006
259.4419;418.7991
257.2098;418.7991
259.2806;418.7978
259.46;418.7975
264.2744;418.7975
259.276;418.7962
259.1671;418.7959
257.5844;418.7941
257.1473;418.7938
259.3881;418.7937
256.3544;418.7922
259.1352;418.7916
259.1881;418.7913
259.1554;418.7913
259.1942;418.7906
263.4746;418.7897
259.24;418.7897
259.3042;418.7884
257.1715;418.7863
259.2127;418.7847
259.1837;418.7834
259.5;418.7822
263.4104;418.7809
257.3319;418.7791
259.3077;418.7781
259.3302;418.7762
263.4592;418.7759
259.3698;418.7756
259.3125;418.7744
259.3075;418.774
259.0815;418.774
259.4142;418.77
263.4438;418.7684
264.4535;418.7681
259.5273;418.7678
259.284;418.7672
259.3531;418.7669
259.0219;418.7659
259.1892;418.7656
259.2142;418.765
259.2069;418.7644
259.2754;418.7566
259.4037;418.7547
263.3442;418.7544
259.049;418.7544
259.31;418.7538
259.0815;418.7519
259.5158;418.7506
259.0465;418.7481
259.3552;418.7478
264.7181;418.7462
259.2388;418.7459
259.0906;418.7453
259.4229;418.7453
256.9927;418.7444
259.5627;418.7428
260.8554;418.7406
263.4187;418.7394
257.3792;418.7391
259.106;418.7384
259.2896;418.7362
259.404;418.7356
259.2381;418.7344
259.3596;418.7338
259.3725;418.7335
259.2675;418.7334
259.0242;418.7328
259.2244;418.7269
259.199;418.7259
257.1921;418.7253
259.5394;418.725
259.314;418.7244
261.3338;418.7231
259.0994;418.7222
259.33;418.7213
259.4162;418.7206
259.3115;418.7203
258.9783;418.72
257.4042;418.7197
257.269;418.7156
259.1613;418.715
259.326;418.7128
257.3225;418.7116
259.1627;418.7109
259.2271;418.7106
259.275;418.7103
257.449;418.7097
259.2619;418.7091
259.2329;418.7069
259.069;418.7062
257.1573;418.7062
259.3562;418.7059
259.2781;418.7041
259.3121;418.7031
259.0665;418.7031
259.4965;418.7028
259.2702;418.7022
263.429;418.7019
259.2887;418.7003
261.1054;418.6988
261.1727;418.6981
266.4448;418.6963
259.6035;418.6956
