K5PC5CH.OP;K5T5_1.PV;K5F3.PV
57.20193;637.2198;3270.558
57.64448;636.9515;3280.024
57.29724;636.1854;3278.844
56.65698;636.1406;3231.47
57.55307;636.1016;3285.413
57.54391;635.687;3276.491
57.42807;635.663;3283.254
57.28802;635.626;3271.175
57.57073;635.2005;3280.28
57.19188;635.1953;3266.552
57.78016;635.1213;3289.731
57.16885;635.05;3271.916
57.42198;635.0463;3282.096
57.25698;634.874;3274.782
57.2813;634.7406;3270.609
57.60797;634.6724;3287.346
57.50151;634.6344;3280.811
57.45208;634.6166;3278.719
56.89448;634.5516;3266.319
57.29682;634.4636;3281.15
57.10328;634.4537;3231.498
57.11411;634.3927;3274.238
57.20469;634.3693;3277.587
57.16651;634.3635;3280.327
57.4949;634.3542;3267.133
57.48375;634.288;3275.215
57.72063;634.2078;3279.91
57.0489;634.1651;3275.155
57.19239;634.1531;3271.48
57.2187;634.1271;3270.957
57.49026;634.0886;3275.603
57.32094;634.063;3280.899
57.51542;633.8979;3264.476
57.55604;633.5667;3261.872
57.50667;633.4537;3279.369
57.56224;633.324;3277.369
57.55724;633.2109;3282.482
57.08807;633.1995;3213.3
57.06016;633.163;3241.362
57.23667;633.1458;3239.908
57.51568;633.0833;3258.471
57.46948;633.0724;3272.576
57.19026;632.9036;3216.899
57.2338;632.8807;3266.018
57.74542;632.7552;3287.468
56.71667;632.7547;3206.922
57.13365;632.7047;3237.201
57.11672;632.6307;3227.404
57.0351;632.5286;3193.756
57.00651;632.5057;3242.516
56.87365;632.4932;3241.774
57.20542;632.4188;3242.482
56.95318;632.4167;3206.195
57.09229;632.2766;3231.55
57.00427;632.1166;3225.636
57.48505;632.1099;3262.997
57.22;632.0047;3238.012
57.04713;632.001;3214.784
56.95115;631.9531;3201.801
57.0238;631.924;3211.902
57.43953;631.9;3277.754
57.07302;631.8151;3208.566
56.83844;631.6791;3229.249
56.68417;631.6703;3216.77
56.81166;631.6594;3239.676
56.46125;631.6484;3189.82
57.14422;631.6281;3203.62
56.82615;631.5698;3223.061
56.88323;631.5084;3227.605
57.00151;631.4349;3218.168
56.99552;631.4281;3205.893
56.97521;631.424;3234.407
56.83771;631.3912;3194.953
56.95005;631.3713;3201.529
57.14526;631.1984;3208.693
57.0437;631.1833;3216.381
57.21344;631.1464;3231.408
57.47073;631.0901;3260.366
57.04187;631.0646;3211.027
57.27266;631.051;3233.133
57.00099;631.0156;3202.846
57.06078;630.9562;3213.349
57.18943;630.9401;3218.616
57.11323;630.8271;3212.738
57.25109;630.7979;3229.153
57.02604;630.7453;3209.393
57.06562;630.6791;3224.181
56.9789;630.6682;3231.383
57.07417;630.6614;3219.577
57.12979;630.6578;3204.649
57.22531;630.6464;3214.45
56.96047;630.6104;3198.476
56.98219;630.588;3211.58
57.06963;630.551;3210.765
56.51849;630.5406;3178.725
56.84609;630.5177;3209.005
57.05437;630.5146;3221.829
57.13844;630.4901;3206.241
57.02083;630.4448;3203.91
56.87708;630.3771;3210.419
57.03349;630.3411;3206.601
56.92229;630.337;3229.421
56.90792;630.3187;3208.067
57.18469;630.3068;3211.014
56.86666;630.1735;3222.029
57.04589;630.1667;3227.883
57.00828;630.1641;3220.778
56.94969;630.0578;3205.251
56.87255;630.0547;3210.749
57.08287;630.0396;3208.142
57.0387;630.0031;3213.573
57.04662;629.9844;3207.057
56.94969;629.9583;3228.313
57.02875;629.9224;3197.509
57.0088;629.9156;3222.499
57.07573;629.8787;3214.295
57.11693;629.7985;3207.594
57.0388;629.7687;3206.247
56.80484;629.7542;3222.972
57.1301;629.6833;3221.452
56.87156;629.6281;3205.25
56.37932;629.5745;3179.504
56.28568;629.5333;3176.678
56.95026;629.4833;3210.313
57.04448;629.4693;3209.405
56.79641;629.4432;3218.666
56.48964;629.3807;3169.793
57.23396;629.3234;3215.158
56.33698;629.2938;3178.542
57.06083;629.2828;3213.357
56.96932;629.2755;3203.167
56.97427;629.2703;3202.452
57.08839;629.2672;3212.827
56.97338;629.2271;3211.118
57.0563;629.1974;3233.081
56.8062;629.1589;3210.674
57.01906;629.1526;3213.207
57.01141;629.1458;3216.671
57.13844;629.1271;3202.383
56.37963;628.9927;3179.658
57.00489;628.9636;3216.886
57.01776;628.963;3210.417
57.08891;628.9016;3208.721
57.13255;628.7537;3212.993
57.13432;628.674;3216.294
56.31401;628.6406;3093.761
57.09099;628.4552;3203.719
56.49469;628.4229;3156.229
57.06786;628.3594;3205.839
57.03125;628.1979;3216.468
56.36;628.1213;3183.732
57.0351;628.0031;3174.572
56.44255;627.9459;3140.479
56.12734;627.8875;3171.043
56.13302;627.5729;3124.048
56.22896;627.55;3175.859
57.01479;627.5031;3168.728
55.78458;627.5021;3079.043
56.36719;627.4984;3110.89
56.32323;627.3906;3098.397
52.82802;627.3588;3081.836
56.60927;627.3375;3116.706
56.34609;627.3193;3122.114
57.12891;627.3088;3210.683
56.48104;627.2922;3122.289
56.55198;627.2432;3106.634
56.37271;627.2239;3121.968
56.47583;627.1406;3126.373
56.56354;627.0802;3094.577
55.20969;626.9604;3085.775
55.60146;626.8693;3088.268
56.48604;626.8349;3103.953
56.27422;626.8203;3082.553
56.00323;626.7646;3129.788
56.47177;626.7584;3109.403
56.59187;626.7495;3102.271
56.53432;626.7224;3095.712
56.50875;626.6594;3104.449
55.8725;626.6505;3082.877
56.55214;626.637;3115.278
55.46391;626.6281;3084.601
53.17573;626.6078;3095.403
55.3987;626.5792;3082.785
55.40818;626.5698;3076.976
56.54515;626.5641;3080.321
55.43073;626.5557;3084.24
55.98208;626.5182;3159.176
55.60844;626.4636;3086.771
55.46542;626.4531;3093.184
56.58906;626.4167;3116.099
56.21062;626.4083;3085.624
56.47302;626.389;3100.139
55.52365;626.3865;3081.301
56.42823;626.3734;3102.863
55.61177;626.3698;3075.614
56.3488;626.3141;3120.037
56.44761;626.2875;3088.494
56.9164;626.2323;3204.122
55.33167;626.2208;3086.05
55.46193;626.0953;3083.652
56.52047;626.0927;3087.701
56.44011;626.0787;3109.629
52.88271;626.0516;3060.404
55.42422;626.0495;3081.098
56.62771;625.9828;3109.629
56.58458;625.9609;3094.96
56.42406;625.9578;3104.316
52.72719;625.9537;3039.419
55.44177;625.9323;3075.265
52.72932;625.9021;3057.008
55.72313;625.8906;3081.135
54.52146;625.8901;3089.844
53.04286;625.8818;3062.451
55.63448;625.8812;3074.687
55.87047;625.8776;3083.469
53.28;625.8771;3071.241
55.4749;625.8594;3080.77
56.54901;625.8563;3092.672
56.44078;625.8489;3099.489
55.36422;625.8386;3084.264
53.28224;625.8292;3095.574
55.74682;625.8276;3077.732
53.11787;625.824;3074.431
56.2962;625.8224;3086.63
55.45922;625.8156;3091.784
55.80875;625.8135;3068.028
56.31839;625.8073;3090.14
55.48573;625.801;3080.987
52.74771;625.7985;3079.512
56.6237;625.7813;3086.117
55.24505;625.7771;3078.108
56.27229;625.7724;3113.107
56.25693;625.7349;3080.626
55.45922;625.7109;3109.363
55.43636;625.7073;3078.39
56.57635;625.7005;3092.269
55.58042;625.6781;3080.403
56.31776;625.6719;3092.166
55.3913;625.639;3078.218
55.57568;625.637;3079.117
56.49682;625.6323;3087.686
56.44224;625.6287;3085.718
56.46448;625.6115;3097.446
56.69255;625.5974;3092.327
53.04948;625.5974;3060.146
53.10688;625.5943;3065.786
55.7163;625.5906;3084.398
56.33318;625.5854;3101.185
55.55198;625.5849;3079.007
56.53912;625.5818;3127.123
55.51963;625.5709;3086.392
55.60219;625.5541;3077.87
55.36911;625.5208;3088.781
55.55854;625.5198;3085.163
55.59896;625.5135;3086.351
55.41823;625.5042;3079.55
55.5901;625.487;3080.629
57.03307;625.4813;3172.836
55.50333;625.4786;3078.737
55.60693;625.4661;3086.555
53.11948;625.4547;3064.481
56.58974;625.4141;3092.652
52.6575;625.4036;3051.577
55.48906;625.4005;3079.512
55.73265;625.3865;3089.529
56.29099;625.3708;3086.13
52.76292;625.3682;3068.343
55.06052;625.3573;3080.132
55.3387;625.3386;3066.124
56.30656;625.3307;3114.426
56.48359;625.3287;3091.686
55.54724;625.325;3081.454
53.11505;625.3224;3069.023
55.6375;625.3182;3084.572
56.34261;625.3177;3093.012
55.31667;625.3041;3082.602
56.38656;625.3021;3089.967
53.18068;625.2969;3064.923
53.13266;625.2953;3073.971
55.39229;625.2844;3082.032
56.20187;625.2833;3078.648
56.30125;625.275;3112.84
53.19297;625.2729;3067.713
56.57833;625.2609;3082.684
55.53896;625.2609;3080.257
56.56224;625.2584;3111.748
55.45599;625.2557;3081.189
53.12062;625.2401;3062.798
56.9351;625.2365;3125.155
55.4588;625.2328;3079
55.30099;625.2224;3081.433
56.36302;625.2052;3090.178
55.39396;625.2052;3087.6
53.16589;625.2031;3067.867
55.38427;625.1964;3081.536
56.40292;625.1953;3092.619
55.53005;625.1943;3080.524
55.69552;625.1932;3078.794
55.52255;625.1849;3082.05
56.51349;625.1828;3088.574
56.57599;625.1797;3084.646
55.57964;625.175;3081.259
55.70198;625.1745;3103.78
52.76031;625.1724;3057.817
55.52422;625.1479;3086.317
55.60724;625.1443;3074.273
56.25463;625.1312;3088.078
55.68943;625.1229;3085.205
55.58229;625.1156;3083.229
56.37979;625.1;3123.594
55.53578;625.0859;3061.79
52.60958;625.0859;3055.74
55.36042;625.0682;3067.072
56.24458;625.0641;3092.744
55.51313;625.062;3083.897
55.58151;625.051;3075.224
53.15964;625.0485;3062.875
53.13334;625.0443;3064.52
55.74635;625.0385;3139.304
52.76479;625.0302;3055.053
55.32354;625.0198;3080.547
55.38073;625.0099;3079.442
55.78318;625.0037;3078.302
56.39838;625;3105.563
52.9012;624.9838;3056.66
56.35948;624.9833;3082.489
56.23406;624.9813;3087.318
55.52;624.9714;3088.919
55.48656;624.9646;3095.58
56.29662;624.963;3121.699
55.90531;624.9609;3117.027
56.64161;624.9589;3085.682
55.64135;624.9547;3105.947
53.16271;624.9505;3062.571
55.35151;624.9448;3088.336
55.65615;624.9432;3072.967
56.37672;624.9354;3108.243
53.13208;624.9203;3067.323
56.46042;624.9099;3117.866
55.35677;624.9036;3090.017
55.47359;624.9005;3082.516
55.73146;624.899;3080.258
55.43489;624.8958;3087.3
55.29724;624.8917;3074.978
55.39;624.8792;3085.696
56.37823;624.8713;3094.731
55.22562;624.8698;3082.458
52.84292;624.8677;3058.253
55.41026;624.8672;3077.024
56.35156;624.8641;3082.711
55.59031;624.8573;3076.588
56.14766;624.8531;3087.978
55.57828;624.8526;3076.617
52.86146;624.8422;3056.213
55.34167;624.8365;3069.865
53.09193;624.8359;3065.739
55.68193;624.8339;3074.295
53.14375;624.825;3058.616
56.54094;624.8214;3076.792
55.48302;624.8177;3087.102
52.60771;624.8104;3077.161
56.33464;624.8094;3089.548
54.62568;624.8021;3094.642
55.51724;624.7958;3095.594
52.75344;624.7896;3051.196
55.54911;624.7891;3090.2
53.75349;624.7813;3036.441
55.4663;624.7708;3081.987
55.48646;624.7703;3075.258
52.73672;624.7662;3046.419
55.46614;624.7609;3071.334
52.76052;624.7599;3058.839
55.42224;624.7594;3084.341
55.54333;624.7552;3068.948
56.14047;624.7537;3091.66
55.60578;624.7416;3071.073
56.27687;624.7406;3089.767
55.4625;624.7406;3085.377
56.42719;624.7401;3090.764
52.64359;624.7344;3052.257
55.3774;624.7208;3082.113
55.65047;624.7198;3088.189
55.50693;624.7083;3080.27
56.45531;624.7062;3084.138
55.37427;624.7047;3090.083
52.80526;624.701;3048.318
55.52964;624.6959;3083.264
53.13411;624.6937;3063.764
56.36599;624.6927;3086.147
56.35552;624.6917;3083.093
56.44584;624.6724;3119.7
55.46766;624.6682;3079.81
55.38245;624.6656;3086.18
55.12365;624.6599;3078.205
55.51208;624.6437;3088.166
55.67901;624.6412;3084.465
52.65339;624.6375;3055.318
55.39245;624.6365;3074.28
56.50964;624.6334;3086.796
53.06344;624.6328;3068.375
55.65646;624.6266;3059.819
56.3362;624.6203;3076.886
52.69927;624.6177;3088.195
55.3326;624.6161;3080.679
55.56739;624.6156;3083.621
55.57125;624.6115;3076.182
52.81734;624.6068;3060.979
55.67641;624.5984;3081.967
52.76927;624.5984;3050.893
55.51609;624.587;3080.769
