K0P125.PV;K5Q2_2.PV;K5FCV4_2I.PV;K5P6.PV;K5PCV6I.PV;K5PCV17_1I.PV;K5P17_1.PV;K5PCV17_2I.PV;K5P17_2.PV;K5F3.PV;K5T20.PV;K5P110.PV;K5PCV4I.PV;K5T12.PV;K5P13.PV;K5HCV60I.PV;K5P16_1.PV;K5GKAL.PV;K5HCV61I.PV;K5P16_2.PV;K5FCV4_1I.PV;K5Q2_1.PV;K5P4_1.PV
63.986;342.5;5.396875;1.152861;97.75;80.375;8.406796;99.46407;8.054375;2547.627;14.61469;62.4605;36.11406;145.3019;4.026619;97.97968;0.7295859;18.37167;97.74219;0.8643828;100;333.2813;15.67188
64.019;155.375;5.245313;1.167567;97.75343;80.335;8.400547;99.44906;8.057422;2545.958;14.59875;62.417;36.10813;145.4075;4.022812;97.91812;0.8048594;18.392;97.80094;0.8699453;100;327.1875;15.61438
64.018;304.1563;5.2675;1.169654;97.73594;80.34938;8.410625;99.42906;8.063046;2547.709;14.61031;62.521;36.11906;145.4844;4.027987;97.93407;0.7611485;18.38161;97.72531;0.8771484;100;341.2813;15.65844
64.492;328.375;5.315625;1.172489;97.75906;80.37719;8.476954;99.45438;8.137501;2557.156;14.63594;62.92;36.125;145.5938;4.028438;97.93719;0.8069141;18.40762;97.70563;0.8837109;100;336.3438;15.72969
65.143;308.7813;5.249375;1.169752;97.73219;80.3975;8.573671;99.43188;8.218047;2573.456;14.61219;63.533;36.11969;145.7006;4.026787;97.89594;0.7902812;18.47004;97.75219;0.8805782;100;338.8438;15.93875
65.593;362.625;5.240313;1.170284;97.73718;80.35625;8.645781;99.44563;8.291641;2584.552;14.61438;63.9705;36.10281;145.7588;4.028025;97.87531;0.7688282;18.65273;97.69437;0.8732032;100;339.25;16.0675
65.4415;341.7188;5.278125;1.168788;97.74532;80.31718;8.644219;99.43906;8.294141;2584.091;14.59906;63.985;36.1;145.8506;4.021725;97.93437;0.7652031;18.67089;97.75156;0.8707031;100;341.25;16.105
65.4315;377.5625;5.2875;1.171583;97.73782;80.31781;8.641093;99.45438;8.292421;2583.026;14.63594;63.9485;36.10563;145.9088;4.022587;97.92844;0.729875;18.74578;97.77625;0.8789063;100;344.9688;16.08156
65.673;255.6563;5.287188;1.169004;97.74281;80.42281;8.667344;99.43938;8.30875;2588.105;14.60063;64.131;36.11094;146.0437;4.023131;97.95594;0.7716172;18.81547;97.75625;0.8767812;100;338.375;16.14219
65.7925;341.6875;5.219062;1.170107;97.7325;80.3125;8.683516;99.45094;8.34164;2592.064;14.60063;64.259;36.10719;146.1356;4.025925;97.94688;0.7666016;18.81715;97.70281;0.8652578;100;332.7188;16.15906
65.8975;164.2188;5.239375;1.168099;97.75;80.31219;8.706562;99.44312;8.347032;2594.855;14.61125;64.4005;36.0975;146.1638;4.025362;97.9;0.7485859;18.92511;97.7775;0.8721641;100;336.0625;16.2
65.946;329.375;5.36125;1.170166;97.75031;80.36156;8.720938;99.44312;8.364532;2594.704;14.60281;64.441;36.12125;146.2444;4.023019;97.95563;0.7770391;18.89392;97.67687;0.8726953;100;339.625;16.20656
65.7705;263.6563;5.203437;1.171268;97.71344;80.35313;8.687422;99.43375;8.344454;2592.495;14.58531;64.2995;36.11375;146.385;4.015069;97.96407;0.7584375;18.96332;97.78562;0.8725703;100;342.875;16.16875
65.2675;348.5938;5.279687;1.197177;97.74687;80.32969;8.626406;99.45;8.276015;2581.655;14.58687;63.8885;36.10312;146.4719;4.016081;97.95781;0.7994609;18.90436;97.87344;0.8900547;100;344.8438;16.01875
64.881;321.5313;5.259063;1.20139;97.70844;80.32125;8.569375;99.43625;8.210468;2572.292;14.56969;63.48;36.09562;146.5513;4.017562;97.94188;0.8091797;18.92674;97.78625;0.9043515;100;344.5;15.91313
64.6165;263.8125;5.269375;1.231315;97.7125;80.37563;8.536718;99.44594;8.182422;2564.428;14.57844;63.205;36.11156;146.585;4.020113;97.96125;0.7804766;18.78943;97.77813;0.9328125;100;336.3125;15.86875
64.5295;382.5625;5.252812;1.250274;97.72781;80.38375;8.493906;99.43501;8.135859;2560.377;14.56812;63.0675;36.09781;146.5963;4.014825;97.93906;0.8129609;18.65307;97.78407;0.9260859;100;331.5625;15.7825
64.8005;314.4375;5.258125;1.249428;97.73625;80.30594;8.53836;99.43156;8.175703;2567.123;14.55344;63.33;36.10156;146.6781;4.012537;97.94406;0.8295156;18.52953;97.77969;0.9268672;100;344.5625;15.87219
65.1725;346.5313;5.263125;1.248995;97.735;80.28656;8.594532;99.44719;8.236876;2575.762;14.54969;63.6635;36.10188;146.7269;4.011206;97.95156;0.8453984;18.53582;97.78687;0.9269766;100;335.4375;15.96
