K5P17_1.PV;K5P4_1.PV
9.956797;18.84031
9.886484;18.70375
9.864297;18.67312
9.86;18.61719
9.822422;18.615
9.807343;18.51375
9.805469;18.5275
9.784141;18.51312
9.776954;18.45969
9.770782;18.50125
9.754922;18.41438
9.536016;18.00875
9.524219;17.98406
9.511171;17.95563
9.448438;17.83656
9.408906;17.77563
9.401172;17.76969
9.384453;17.71156
9.380781;17.7125
9.371641;17.69844
9.337891;17.63281
9.308281;17.55406
9.272656;17.50937
9.10289;17.09063
9.089687;17.05437
9.082188;17.06688
9.07789;17.02875
9.040078;16.9725
9.026953;16.9275
9.015079;16.93625
9.001562;16.89375
8.982656;16.83875
8.973359;16.80625
8.96711;16.75656
8.939453;16.80938
8.935625;16.81906
8.75914;16.275
8.720938;16.20656
8.706562;16.2
8.687422;16.16875
8.683516;16.15906
8.667344;16.14219
8.645781;16.0675
8.644219;16.105
8.641093;16.08156
8.626406;16.01875
8.594532;15.96
8.573671;15.93875
8.569375;15.91313
8.53836;15.87219
8.536718;15.86875
8.502891;15.83
8.493906;15.7825
8.482344;15.80469
8.476954;15.72969
8.476797;15.78562
8.474218;15.71562
8.447656;15.72531
8.433594;15.74531
8.419531;15.62094
8.4175;15.64969
8.415859;15.70406
8.410625;15.65844
8.406796;15.67188
8.405469;15.62969
8.400547;15.61438
8.398984;15.62375
8.398438;15.625
8.389999;15.6075
8.380078;15.59688
7.883125;14.66313
7.879063;14.6475
7.870625;14.62219
7.866016;14.59469
7.862109;14.60375
7.857969;14.6375
7.850469;14.57031
7.829766;14.53312
7.824687;14.51437
7.824531;14.55469
7.780781;14.45
7.74125;14.37594
12.20266;22.55688
12.18484;22.54531
12.17789;22.53437
12.17328;22.50375
12.16938;22.49469
12.16727;22.57563
12.16367;22.62219
12.16;22.52844
12.15969;22.5375
12.15602;22.51344
12.14727;22.55594
12.14719;22.55875
12.14711;22.52594
12.14594;22.48156
12.14539;22.45281
12.14375;22.43906
12.14344;22.44344
12.14008;22.47187
12.13688;22.45281
12.13578;22.46906
12.13562;22.44031
12.12953;22.58438
12.1293;22.47094
12.12922;22.44094
12.12789;22.52563
12.12422;22.51406
12.12164;22.375
12.12039;22.44375
12.12;22.53156
12.11969;22.44469
12.11938;22.49219
12.11812;22.47844
12.11687;22.47187
12.11469;22.42438
12.11344;22.37406
12.11133;22.47313
12.1107;22.43719
12.11047;22.46656
12.10945;22.49375
12.10797;22.41875
12.10789;22.41469
12.10539;22.39812
12.10523;22.45563
12.10461;22.45844
12.1043;22.46625
12.10422;22.43656
12.10188;22.48938
12.10094;22.44
12.1007;22.34219
12.10063;22.45375
12.09992;22.39
12.09805;22.43906
12.09805;22.39063
12.09766;22.38875
12.09711;22.32969
12.09711;22.48844
12.09703;22.49406
12.09539;22.4075
12.09492;22.51188
12.09469;22.43563
12.09414;22.34844
12.09367;22.44062
12.0918;22.41594
12.09164;22.505
12.09094;22.34469
12.09055;22.34375
12.09047;22.50531
12.08914;22.48844
12.08891;22.4075
12.08883;22.43344
12.08875;22.44156
12.08797;22.44656
12.0868;22.45281
12.08648;22.44875
12.08633;22.34562
12.08633;22.36031
12.08445;22.37313
12.08305;22.48313
12.08289;22.37969
12.08227;22.41375
12.08227;22.31531
12.08227;22.44062
12.08203;22.45437
12.08187;22.46844
12.0818;22.37219
12.08148;22.415
12.08148;22.36406
12.08133;22.3625
12.08102;22.45969
12.08086;22.34812
12.0807;22.34469
12.08031;22.47
12.08008;22.35219
12.08008;22.45156
12.07844;22.44844
12.07766;22.42031
12.07695;22.41875
12.0768;22.40438
12.07648;22.4175
12.07625;22.39031
12.07617;22.43063
12.07516;22.44844
12.07352;22.32719
12.07336;22.39969
12.07234;22.39594
12.07188;22.46969
12.07187;22.40625
12.07164;22.41562
12.07148;22.29938
12.07148;22.43156
12.07102;22.37938
12.07016;22.39687
12.06844;22.42562
12.06812;22.29094
12.06812;22.36156
12.06734;22.29031
12.06711;22.37844
