K5PC5CH.OP;K5T4.PV;K5T7.PV;K5PC6CH.OP;K5T9_2.PV;K5T8_1.PV
55.27146;137.632;51.92208;66.42328;27.97594;67.71781
55.4924;137.4834;51.91177;66.36828;27.36854;67.71719
55.37135;137.5406;51.97698;66.37714;27.3226;67.71635
55.37318;137.7088;51.8676;66.38786;26.99854;67.71573
55.61021;137.7054;51.95896;66.41318;28.12687;67.71532
55.7599;137.5607;52.03021;66.40599;27.15469;67.71011
55.53765;137.6834;51.89052;66.37;27.25937;67.70563
55.14672;137.6941;52.1426;66.40021;26.69146;67.70302
55.61625;137.6293;52.06115;66.39162;26.39031;67.7001
55.58505;137.8435;51.77031;66.37062;25.00656;67.69927
55.30099;137.8632;52.06896;66.42401;26.64917;67.69927
55.48302;137.7088;51.86854;66.3839;26.97552;67.69875
55.79708;137.8755;51.86125;66.39313;27.46313;67.69813
55.43443;138.0843;52.07687;66.39906;25.40698;67.69813
55.63443;137.4325;51.94604;66.39484;27.56271;67.69791
55.7249;137.8111;51.75792;66.37432;25.19365;67.69719
55.35729;137.7352;51.85386;66.35031;26.76031;67.69666
55.49229;137.7292;51.93208;66.36219;26.65802;67.69375
55.41026;138.0796;51.86719;66.37756;27.01333;67.69281
55.42136;137.6999;51.88396;66.38443;27.00198;67.69187
55.56739;138.3401;52.11333;66.46344;25.47531;67.69167
55.60812;137.6823;52.1;66.37927;26.44885;67.68636
55.39104;137.7142;51.91636;66.3676;27.39021;67.68552
55.63307;137.8467;51.7901;66.38536;25.91094;67.68114
55.30927;137.7478;52.11896;66.38187;26.765;67.68083
55.53896;137.7795;51.98979;66.37984;26.61583;67.68063
55.74703;137.7683;51.96333;66.37865;26.93417;67.67979
55.37959;137.8161;51.90635;66.34906;26.99292;67.67687
55.43932;137.841;51.85209;66.40729;27.4876;67.67615
55.51208;137.8746;51.9099;66.38635;27.15073;67.67198
55.4574;137.6824;52.10073;66.37802;26.71896;67.67104
55.77422;137.8841;51.82542;66.38078;26.71677;67.67042
55.60693;137.873;51.98989;66.39739;26.17937;67.66927
55.30984;138.0397;52.08583;66.42958;27.30531;67.66906
55.4826;137.8695;51.88656;66.37589;25.53844;67.66813
55.55792;137.6854;52.13271;66.37026;26.26042;67.66604
55.64974;137.7036;51.72573;66.42552;25.59594;67.66573
55.69021;137.8456;51.85729;66.29516;26.9951;67.66563
55.6186;138.1854;52.05875;66.45089;27.17146;67.66563
55.39245;137.8807;52.0775;66.38578;27.06917;67.66552
55.57953;137.6037;52.12979;66.40427;26.24167;67.65927
55.29802;137.8454;51.87312;66.37698;26.49302;67.65614
55.48672;137.6452;51.87959;66.38541;27.41636;67.65583
55.52141;137.697;51.75854;66.39792;27.28125;67.65511
55.52141;137.6745;52.0799;66.35912;26.51917;67.65489
55.37057;137.8047;52.18823;66.34969;27.23708;67.65281
55.46766;137.7407;52.1074;66.38683;26.34719;67.65146
55.52417;138.0207;51.8601;66.39484;25.6799;67.64854
55.22245;138.0571;52.06292;66.41573;25.18312;67.64803
55.57005;137.7914;51.90771;66.37218;26.65792;67.64667
55.24203;137.7104;51.90333;66.37349;27.18552;67.64573
55.64724;137.9055;52.13823;66.40115;27.27896;67.64552
55.625;137.6791;51.67552;66.40463;26.79646;67.64521
55.55729;137.6427;51.96437;66.37583;27.15875;67.64271
55.49729;137.9043;51.85958;66.35213;26.47521;67.64198
55.38073;137.9103;52.13104;66.39302;27.53615;67.64146
55.57729;137.9423;51.92198;66.32474;26.37958;67.64104
55.73037;137.8441;52.0149;66.40969;26.1725;67.63781
55.60844;137.6175;52.11719;66.37594;26.49125;67.63167
55.69307;138.142;51.97406;66.41422;27.00302;67.63156
55.42193;137.633;51.93167;66.37797;27.11667;67.63136
55.65047;137.6819;52.14208;66.41281;27.03719;67.6299
55.3774;137.948;52.13594;66.42963;27.52927;67.62959
55.67026;138.0842;52.14;66.43526;26.28104;67.62354
55.50089;138.0529;51.49;66.35802;26.8901;67.62209
55.475;137.783;51.56844;66.38917;26.93292;67.62073
55.5574;137.8348;51.88906;66.38515;27.11146;67.6201
55.3987;137.5976;51.96698;66.3499;27.17542;67.61542
55.47479;137.7413;51.89344;66.39453;27.47073;67.60834
55.41927;138.3815;51.88334;66.40907;27.30385;67.60792
55.49599;137.6939;51.78229;66.36729;26.21135;67.60542
55.30047;137.7086;51.8;66.32964;26.3325;67.60167
55.61438;137.8546;51.57594;66.37719;26.64521;67.60052
55.55964;137.7746;51.58781;66.36932;27.20594;67.59927
55.45458;137.8945;51.87698;66.36406;26.33719;67.59896
55.13906;138.1577;51.50281;66.38141;27.10906;67.59729
55.80297;137.7196;51.67156;66.40208;26.63073;67.59666
55.45401;137.768;51.90313;66.33807;26.81208;67.59615
55.21922;137.6589;51.76198;66.35932;26.10573;67.59604
