K5L1_3.PV;K5F5.PV;K5F6X.PV
-4.552734;29.92011;21.90295
4.551094;22.97051;18.62462
4.550766;23.87159;18.9647
4.548797;30.44244;24.76682
-4.542562;26.87992;20.33355
-4.537313;27.51707;20.47107
-4.536984;24.92805;18.80985
4.536656;21.76381;17.90121
4.534688;24.28695;19.54696
4.532063;24.32376;19.8391
-4.531734;38.52258;30.51693
-4.527141;29.03842;22.15539
4.5255;32.38323;26.12594
4.524188;23.71922;19.78908
4.522875;32.36044;24.9549
-4.51861;28.74357;20.22546
-4.516641;25.58042;19.63053
4.51336;23.3304;18.12274
4.510735;25.71946;20.16436
-4.509422;35.91588;30.38511
-4.507781;35.76414;29.16409
-4.505485;37.94007;30.51501
-4.503516;36.64809;29.05183
4.498594;38.38364;31.58624
4.497938;21.89994;18.22032
-4.494984;26.11409;18.89686
-4.491047;25.01178;18.35245
-4.491047;28.18577;20.36822
4.489406;41.09753;30.61835
-4.48875;27.83478;19.40061
-4.484484;25.5477;19.79583
4.483172;24.77962;19.48473
4.477594;23.52588;19.252
-4.470703;28.85789;19.22915
4.466437;23.71909;18.86328
4.464468;24.37045;20.06962
4.461187;33.86227;27.72617
4.459875;23.50222;18.80695
4.459547;26.40432;21.16919
-4.458562;26.35828;18.07308
4.458562;34.18371;29.96799
-4.455281;28.24486;20.64983
-4.444781;28.67327;20.26463
-4.444453;24.8942;18.48213
4.444453;25.31745;19.36806
4.439859;25.00808;20.83325
-4.435594;24.87865;18.02986
-4.430672;39.14706;30.19268
-4.427719;27.06596;19.46947
-4.422797;26.28592;19.72353
4.4205;26.63845;21.13441
4.419188;24.77154;19.08215
-4.415906;28.95251;22.2855
-4.41525;26.38461;19.5693
4.41;22.57934;17.87651
4.409672;26.46425;21.64234
4.408688;31.09849;24.99343
-4.40475;26.61171;18.0011
-4.403766;24.77356;18.08764
4.400156;23.59774;18.06982
-4.393594;36.00953;28.32088
-4.390313;33.88799;26.27606
-4.389985;28.62554;21.76833
-4.389984;26.55253;20.04341
-4.387031;25.68241;18.43433
-4.386703;27.00437;19.70628
-4.385063;33.88605;25.99879
4.384734;29.57486;25.65995
4.38375;23.88245;19.34997
-4.382766;26.23096;19.77004
-4.379484;30.37866;21.37856
4.377516;26.81721;21.24417
4.375875;23.61492;19.05726
-4.374891;25.5778;19.89687
-4.371281;37.02526;29.25498
-4.368984;24.00078;18.63754
4.368984;22.68574;18.19666
4.363734;25.66734;20.58268
4.359469;23.13366;18.11241
-4.357828;29.7624;22.10553
-4.356843;25.83307;19.92337
-4.354875;28.29337;22.86785
4.353234;32.36794;24.76881
-4.349953;25.72286;19.45607
4.349625;26.60513;21.57832
4.345687;24.25652;19.44541
-4.345031;24.24514;18.39526
-4.342406;27.49736;19.80931
-4.342406;37.48579;30.52321
-4.340109;27.41914;20.00447
4.339125;24.90342;19.05881
4.336828;25.79339;19.77826
4.335844;27.6909;21.44969
-4.334859;36.47684;29.19217
-4.334203;26.24858;19.68516
4.333219;36.39687;28.42126
4.331906;23.28064;18.39757
4.330594;26.04886;20.44908
4.327641;21.6555;18.146
-4.325672;25.72214;19.84688
4.324031;31.26851;25.18029
4.323703;24.14859;19.92227
-4.320094;41.06165;30.10942
-4.316156;29.27131;22.39076
4.314516;22.22586;18.20591
4.307297;26.69687;19.59102
-4.306313;25.60768;18.45569
4.299094;23.17771;18.09904
-4.295156;27.12239;19.81551
-4.293188;23.68811;18.55984
-4.290891;25.70694;19.5474
4.28925;22.73443;17.75977
4.284656;24.36563;19.00286
4.281703;23.42905;18.15626
4.277766;35.22427;27.64925
-4.276781;34.36435;26.11301
-4.275797;26.33455;19.10518
4.272516;23.74339;19.33787
-4.268906;26.01581;19.41626
