K5PS14_1.PV;K5P8.PV
4.203113;4.027613
4.194112;4.027594
4.188131;4.027575
4.199381;4.027556
4.198894;4.027556
4.199213;4.027537
4.195087;4.027537
4.204256;4.027519
4.200112;4.027519
4.195087;4.027519
4.196813;4.0275
4.198706;4.027481
4.188787;4.027481
4.200375;4.027444
4.196288;4.027444
4.204631;4.027425
4.201632;4.027425
4.195575;4.027425
4.190963;4.027425
4.200075;4.027406
4.196382;4.027388
4.194075;4.027388
4.198256;4.02735
4.1991;4.027331
4.201781;4.027312
4.19835;4.027312
4.200938;4.027294
4.197375;4.027294
4.191094;4.027238
4.198875;4.027219
4.198163;4.027219
4.195481;4.0272
4.191806;4.027181
4.202175;4.027181
4.194375;4.027181
4.200788;4.027163
4.197619;4.027143
4.195781;4.027125
4.201763;4.027125
4.192688;4.027088
4.190063;4.027088
4.19835;4.027087
4.1982;4.027087
4.201013;4.02705
4.196456;4.02705
4.199812;4.027031
4.196437;4.027031
4.197225;4.027012
4.192537;4.027012
4.194131;4.026994
4.200225;4.026975
4.198088;4.026975
4.189425;4.026919
4.19505;4.0269
4.193681;4.026881
4.203844;4.026863
4.1913;4.026863
4.201388;4.026863
4.194788;4.026844
4.194919;4.026825
4.196213;4.026806
4.195125;4.026787
4.203487;4.026769
4.19535;4.026712
4.197769;4.026694
4.193231;4.026694
4.198144;4.026675
4.201875;4.026656
4.184362;4.026638
4.1943;4.026619
4.1853;4.026619
4.196231;4.026618
4.199512;4.0266
4.198969;4.026581
4.189275;4.026581
4.201087;4.026563
4.194525;4.026544
4.194956;4.026525
4.198181;4.026525
4.193306;4.026525
4.202137;4.026506
4.197487;4.026488
4.193681;4.026469
4.195781;4.026469
4.201669;4.026469
4.203187;4.02645
4.19535;4.026412
4.196175;4.026412
4.202794;4.026412
4.19625;4.026394
4.198706;4.026394
4.191244;4.026375
4.202513;4.026356
4.194413;4.026356
4.19085;4.026338
4.189013;4.026319
4.19775;4.026281
4.191094;4.026281
4.192838;4.026262
4.1943;4.026244
4.192781;4.026244
4.192031;4.026244
4.198856;4.026206
4.187531;4.026206
4.198969;4.026188
4.199625;4.026187
4.196119;4.026187
4.198406;4.026187
4.2021;4.026169
4.192012;4.026169
4.196494;4.02615
4.1967;4.02615
4.197525;4.02615
4.199587;4.026131
4.194862;4.026113
4.202531;4.026093
4.198313;4.026075
4.189763;4.026075
4.194019;4.026056
4.191338;4.026038
4.190382;4.026037
4.19355;4.026019
4.195556;4.026019
4.19535;4.026019
4.19565;4.026
4.195688;4.025981
4.189125;4.025981
4.197656;4.025944
4.192237;4.025944
4.199269;4.025944
4.201031;4.025925
4.1928;4.025906
4.198556;4.025906
4.195519;4.025869
4.195031;4.025869
4.187306;4.025869
4.197244;4.025831
4.198894;4.025831
4.198987;4.025831
4.1955;4.025813
4.193775;4.025794
4.195275;4.025775
4.194806;4.025738
4.201181;4.025719
4.193456;4.0257
4.198144;4.025681
4.189912;4.025681
4.195313;4.025662
4.20135;4.025644
4.195687;4.025625
4.198031;4.025625
4.188469;4.025625
4.201256;4.025625
4.1931;4.025625
4.192894;4.025606
4.199044;4.025569
4.202156;4.025568
4.201594;4.02555
4.1823;4.02555
4.191563;4.025531
4.19175;4.025531
4.199231;4.025513
4.198275;4.025456
4.197956;4.025456
4.196606;4.025456
4.188056;4.025456
4.195031;4.025437
4.195575;4.0254
4.196906;4.0254
4.196231;4.025381
4.19655;4.025362
4.198256;4.025362
4.194656;4.025362
4.195031;4.025344
4.193532;4.025344
4.198219;4.025325
4.198613;4.025288
4.197487;4.025269
4.192425;4.025269
4.197113;4.02525
4.190887;4.02525
4.19835;4.025231
4.198913;4.025231
