K5PC5CH.OP;K5P19_2.PV;K5PC6CH.OP
20.53276;-300.7771;32.79281
20.39536;-300.6288;32.75589
19.92432;-300.5033;32.74984
20.14338;-300.4652;32.72099
20.07818;-300.4033;32.73146
19.83797;-300.3592;32.71323
20.47391;-300.2994;32.76266
20.66453;-300.2487;32.74229
20.48406;-300.1098;32.69745
20.54552;-300.091;32.63401
20.31589;-299.9527;32.83193
20.24417;-299.9346;32.75198
20.19594;-299.9035;32.79786
20.62719;-299.8763;32.78563
20.12963;-299.8667;32.76396
19.70344;-299.8586;32.71146
19.80239;-299.8496;32.73505
19.87917;-299.8264;32.73177
19.80511;-299.8248;32.72557
20.60125;-299.8192;32.74479
20.15302;-299.7871;32.76219
20.33583;-299.7721;32.79234
20.66063;-299.7683;32.78042
19.75057;-299.7202;32.71552
20.72328;-299.6831;32.80448
20.23958;-299.6683;32.73583
20.14833;-299.6481;32.7488
20.35807;-299.6467;32.5337
19.59781;-299.5909;32.73151
20.87172;-299.5511;32.8738
20.36599;-299.5254;32.77864
19.74828;-299.4883;32.7014
20.57245;-299.4548;32.6899
20.1051;-299.4329;32.72739
20.55323;-299.4217;32.7313
20.53193;-299.4171;32.71188
20.1925;-299.3894;32.74411
20.34349;-299.3494;32.59396
19.89948;-299.3446;32.85667
20.20115;-299.3333;32.81396
20.23318;-299.2692;32.73021
20.54854;-299.2604;32.74422
20.36312;-299.2517;32.7013
20.1724;-299.2285;32.74068
20.27354;-299.215;32.74896
20.57177;-299.201;32.71625
20.56088;-299.18;32.63917
20.26349;-299.1737;32.75203
19.66068;-299.1711;32.71443
20.54328;-299.1685;32.55917
20.2587;-299.1654;32.7263
20.48385;-299.1585;32.72865
20.6175;-299.1204;32.7774
20.56526;-299.1162;32.81813
20.33687;-299.1044;32.74901
20.35151;-299.0938;32.82141
20.36292;-299.0915;32.77114
19.5962;-299.0652;32.71229
20.59677;-299.0237;32.65635
20.42667;-299.0215;32.74672
20.43386;-299.0079;32.77974
20.34953;-298.9869;32.77875
20.28651;-298.9844;32.74172
20.36276;-298.9823;32.77531
20.35755;-298.9775;32.8049
20.18937;-298.9606;32.755
19.77495;-298.9585;32.71302
20.83729;-298.9562;32.82396
20.40156;-298.9446;32.79568
20.59021;-298.92;32.75953
20.43469;-298.8636;32.80635
20.30016;-298.8096;32.76557
20.73224;-298.8073;32.77573
19.94662;-298.8025;32.74182
20.42766;-298.8;32.74364
19.31562;-298.7748;32.64682
20.4351;-298.7642;32.74844
20.29271;-298.7579;32.72573
20.42156;-298.7535;32.80406
20.28521;-298.7502;32.78141
20.52958;-298.7317;32.84536
20.49177;-298.7231;32.83448
19.73422;-298.7167;32.72635
20.33458;-298.7123;32.7901
20.48844;-298.7044;32.69912
20.71307;-298.7027;32.75557
20.15557;-298.7004;32.87234
20.32063;-298.695;32.80552
20.19542;-298.6917;32.76963
20.55229;-298.6915;32.55641
20.30151;-298.6883;32.80682
20.28453;-298.6858;32.74411
20.62234;-298.681;32.70333
20.02927;-298.674;32.83745
19.68573;-298.6367;32.71719
20.56214;-298.629;32.6949
19.51974;-298.6108;32.69167
20.50005;-298.6083;32.73995
20.09073;-298.5925;32.75646
20.31911;-298.5511;32.74318
19.74036;-298.5471;32.72505
20.28625;-298.5469;32.75427
20.51318;-298.5444;32.7937
20.52443;-298.5365;32.86719
20.38646;-298.5317;32.79625
19.78687;-298.5279;32.71375
20.57255;-298.5212;32.64771
20.53365;-298.519;32.78365
20.35662;-298.5179;32.74464
20.17573;-298.5019;32.83333
19.83297;-298.4985;32.71703
19.75901;-298.4965;32.70927
20.21344;-298.4954;32.74198
20.1263;-298.49;32.73474
19.41339;-298.4796;32.68099
20.24578;-298.4792;32.74411
20.47062;-298.4646;32.86255
20.44161;-298.4635;32.86703
20.36932;-298.4575;32.7711
20.46839;-298.455;32.77016
20.64219;-298.4527;32.76083
19.79719;-298.4438;32.70594
19.68448;-298.4265;32.73656
19.59583;-298.4261;32.68391
19.84474;-298.4223;32.72635
20.36213;-298.4181;32.72641
20.71286;-298.415;32.76135
20.8099;-298.4083;32.57104
20.78036;-298.4021;32.79297
20.26297;-298.3996;32.74588
20.69193;-298.3933;32.79875
20.4888;-298.3931;32.77036
20.56125;-298.3927;32.74724
19.72062;-298.3883;32.71651
20.51354;-298.3765;32.86578
20.47823;-298.3588;32.7799
19.68958;-298.3579;32.73443
20.11714;-298.3383;32.72865
20.54974;-298.3321;32.70615
20.16286;-298.3165;32.70354
19.82979;-298.3133;32.86302
20.12266;-298.3108;32.77505
20.32953;-298.3104;32.76516
20.6025;-298.3067;32.68547
20.80552;-298.3027;32.79411
20.69698;-298.2977;32.83172
20.31266;-298.2913;32.7262
20.68396;-298.2762;32.72109
19.70906;-298.2756;32.70646
19.76078;-298.275;32.69885
19.80177;-298.2725;32.72099
20.25109;-298.2706;32.74198
20.53406;-298.2648;32.78963
20.45073;-298.2646;32.78984
20.0875;-298.2629;32.75245
20.50432;-298.2598;32.87989
20.34188;-298.2408;32.82188
20.33375;-298.2387;32.74839
19.92417;-298.2254;32.7225
20.29677;-298.205;32.78484
20.51745;-298.1996;32.68005
20.40057;-298.1913;32.75245
19.78318;-298.189;32.73349
20.01599;-298.1773;32.72219
20.24484;-298.1756;32.75266
20.19411;-298.1596;32.7274
20.80359;-298.1529;32.78458
18.15203;-298.1506;32.25266
19.71734;-298.1462;32.74313
19.88406;-298.1412;32.75161
20.13682;-298.1373;32.77135
19.76062;-298.1308;32.70078
20.60698;-298.1225;32.79964
20.56203;-298.1133;32.83906
20.1226;-298.1121;32.77625
20.52662;-298.1017;32.84036
20.46854;-298.0927;32.74229
20.45104;-298.0892;32.57427
20.25745;-298.0808;32.84516
20.27464;-298.0752;32.75318
20.47807;-298.0733;32.73359
20.49255;-298.0679;32.88182
20.32203;-298.0615;32.67078
20.37797;-298.0552;32.78453
20.54094;-298.0535;32.69156
20.39135;-298.0371;32.78891
19.83568;-298.0296;32.71703
20.82505;-298.0267;32.84604
20.7362;-298.0227;32.76156
18.57375;-298.0164;32.7037
20.88234;-298.0152;32.5362
20.4688;-298.0142;32.82458
20.31688;-298.0123;32.7687
20.65865;-298.0019;32.76578
20.39359;-297.9944;32.72552
20.06333;-297.9906;32.7364
19.69083;-297.9858;32.71578
20.16203;-297.9696;32.73823
19.82162;-297.9696;32.72901
20.44547;-297.9675;32.77083
20.70214;-297.959;32.7825
20.14182;-297.9569;32.84521
20.52198;-297.9567;32.78729
20.46635;-297.9542;32.74401
20.32307;-297.9536;32.79151
19.82318;-297.9517;32.6913
20.19578;-297.9494;32.68401
17.96432;-297.9454;32.35042
19.7212;-297.945;32.71
20.83339;-297.9435;32.74162
20.50229;-297.9369;32.59787
19.83417;-297.9337;32.71599
20.64047;-297.9262;32.7012
19.76625;-297.9254;32.70229
20.64526;-297.9125;32.73761
20.50094;-297.9125;32.78588
19.59635;-297.9102;32.70901
20.55328;-297.9056;32.71375
20.05094;-297.8967;32.79724
20.3;-297.8769;32.75261
20.57625;-297.8765;32.63906
19.90505;-297.8723;32.74719
20.07776;-297.8719;32.75276
20.55693;-297.8598;32.76286
20.17521;-297.856;32.73828
20.24339;-297.8533;32.73656
20.2899;-297.8525;32.74724
20.50604;-297.8471;32.71641
20.2701;-297.8458;32.82406
20.62771;-297.8448;32.74495
20.42359;-297.8329;32.66057
20.52719;-297.8317;32.76406
20.48948;-297.8271;32.51495
20.68891;-297.8264;32.68594
20.23703;-297.8204;32.76162
19.86672;-297.8173;32.70911
19.81083;-297.8163;32.73307
19.60224;-297.8058;32.69068
20.29068;-297.7954;32.85052
20.43203;-297.795;32.87026
20.52062;-297.7946;32.63667
19.9201;-297.7935;32.73026
19.89573;-297.7933;32.71302
20.36979;-297.7915;32.76661
19.92484;-297.791;32.69891
20.53406;-297.7808;32.71365
20.55677;-297.7762;32.80401
20.39146;-297.774;32.75396
20.69922;-297.7608;32.78484
20.2301;-297.7498;32.70922
20.33276;-297.7487;32.74297
19.77146;-297.7473;32.72589
20.24479;-297.7458;32.88802
19.83047;-297.7352;32.73068
20.56661;-297.7279;32.77969
20.28578;-297.7271;32.76719
20.31745;-297.7181;32.75661
20.56833;-297.7148;32.80724
20.0087;-297.7083;32.7301
19.96;-297.701;32.85266
20.23948;-297.6998;32.80979
20.47854;-297.6988;32.72958
20.41036;-297.6985;32.64203
19.9113;-297.6963;32.74302
20.27521;-297.6913;32.88136
20.29812;-297.6896;32.73229
20.04786;-297.686;32.81516
20.08391;-297.6858;32.73714
20.5162;-297.6837;32.83391
20.48125;-297.6819;32.7362
20.37391;-297.6785;32.84156
20.83922;-297.6714;32.73412
19.90786;-297.6681;32.71203
19.5887;-297.6671;32.68453
20.05787;-297.655;32.86818
20.07391;-297.6494;32.80802
19.81682;-297.6483;32.74526
20.52734;-297.6423;32.76437
20.48953;-297.6402;32.78224
19.87458;-297.6369;32.74172
20.47333;-297.6327;32.79656
20.46161;-297.6115;32.85281
20.46198;-297.6027;32.78896
20.61547;-297.6002;32.71849
19.6499;-297.595;32.71938
20.35755;-297.5944;32.73146
20.47234;-297.5773;32.84609
20.00594;-297.5738;32.74276
20.4337;-297.5708;32.80062
20.75589;-297.5575;32.59578
20.44484;-297.554;32.81068
20.37833;-297.5533;32.7025
20.01391;-297.5479;32.89214
20.76302;-297.5461;32.65547
20.01208;-297.5439;32.86984
19.8026;-297.5371;32.71818
20.34297;-297.5315;32.80037
20.42917;-297.5219;32.73578
20.45927;-297.5206;32.81839
19.96672;-297.5187;32.74688
20.43479;-297.515;32.8512
20.41156;-297.5085;32.83708
20.30505;-297.504;32.73052
20.12687;-297.5025;32.75646
19.16156;-297.5023;32.58995
20.19516;-297.5017;32.72943
20.5388;-297.5004;32.62568
20.69885;-297.5;32.81573
19.74271;-297.5;32.70177
19.7363;-297.4969;32.71693
18.53099;-297.4858;32.85073
20.03703;-297.4844;32.73854
20.575;-297.4771;32.70276
20.51656;-297.4696;32.76594
20.4387;-297.4569;32.81662
20.20807;-297.4438;32.85745
20.12625;-297.4375;32.7812
19.85427;-297.4356;32.69437
19.84943;-297.4296;32.73516
20.62318;-297.4225;32.81115
20.41115;-297.4154;32.78099
20.50932;-297.4148;32.86542
19.695;-297.4091;32.68573
20.67573;-297.4081;32.73458
19.51922;-297.4058;32.68151
20.15964;-297.3961;32.72594
20.23812;-297.3863;32.88599
19.34979;-297.386;32.62625
20.73927;-297.3777;32.78828
18.03328;-297.369;32.3587
20.34849;-297.3673;32.83312
20.40781;-297.3521;32.81958
20.49094;-297.3483;32.76943
20.4388;-297.3473;32.78995
20.19427;-297.3427;32.72542
20.23135;-297.3423;32.75057
20.30214;-297.3392;32.81651
20.02563;-297.3371;32.89412
20.28078;-297.3369;32.77906
20.39109;-297.336;32.74297
20.47698;-297.3337;32.83136
20.36583;-297.3319;32.71823
19.98135;-297.3287;32.73729
20.2038;-297.3269;32.73052
20.6599;-297.326;32.76594
20.31328;-297.3252;32.87547
20.55729;-297.3239;32.74896
20.21542;-297.309;32.71016
19.85573;-297.3071;32.70958
20.29448;-297.3046;32.75943
19.77281;-297.3029;32.6887
19.91312;-297.3021;32.76177
20.33297;-297.3;32.78656
20.44948;-297.2977;32.76271
19.89203;-297.2948;32.71646
20.19995;-297.2939;32.80687
19.99516;-297.2885;32.83912
20.28375;-297.2856;32.78115
18.69708;-297.284;32.67615
18.18547;-297.2827;32.2475
20.55375;-297.2806;32.84167
20.29161;-297.2779;32.82083
19.6425;-297.2769;32.71989
20.63797;-297.2758;32.80755
20.61469;-297.2706;32.57427
20.35156;-297.2667;32.76276
20.59224;-297.2617;32.73604
20.4549;-297.2608;32.73219
19.99521;-297.2588;32.7438
20.59156;-297.2577;32.87833
19.85776;-297.2573;32.72385
20.42583;-297.255;32.87609
19.8899;-297.2538;32.72511
20.2375;-297.2508;32.73224
19.88677;-297.2494;32.70432
19.99036;-297.2479;32.72917
20.32896;-297.2419;32.72609
19.83896;-297.2361;32.69823
20.15786;-297.2283;32.75292
19.7912;-297.2227;32.7212
20.4912;-297.2194;32.77234
20.52453;-297.2094;32.80458
20.40667;-297.2058;32.74739
20.02073;-297.2056;32.82964
19.46917;-297.2006;32.62229
20.65656;-297.1921;32.83141
20.07047;-297.1919;32.80672
19.93104;-297.1913;32.71932
19.8062;-297.1879;32.72604
20.04328;-297.1875;32.80156
20.57719;-297.1871;32.62714
19.8451;-297.1823;32.71469
19.68656;-297.1821;32.71354
18.10411;-297.181;32.38344
19.73245;-297.179;32.72479
20.49724;-297.1754;32.65474
20.25417;-297.1629;32.85531
20.40844;-297.1591;32.79688
20.65458;-297.1571;32.7351
19.78052;-297.1548;32.73026
20.34984;-297.1527;32.7326
19.64115;-297.1431;32.71396
20.50583;-297.1417;32.73838
20.34203;-297.1377;32.77922
20.37875;-297.1375;32.87031
20.69542;-297.1298;32.70646
20.24526;-297.1229;32.67937
20.82917;-297.12;32.78531
20.00443;-297.1154;32.86417
19.8738;-297.1152;32.73438
20.73906;-297.1136;32.61734
20.46479;-297.1117;32.81802
20.59917;-297.1063;32.77198
20.36833;-297.1031;32.73958
19.8199;-297.1019;32.68875
19.81557;-297.0994;32.71323
19.78922;-297.0994;32.7263
20.06427;-297.099;32.88734
20.20588;-297.0979;32.72771
20.52385;-297.0956;32.8276
19.74156;-297.0946;32.70948
19.78646;-297.0931;32.70677
20.55333;-297.0927;32.81818
20.0837;-297.0925;32.80386
20.69401;-297.0894;32.71453
19.23906;-297.0852;32.58297
20.17281;-297.0842;32.76614
20.6726;-297.0827;32.80604
20.66182;-297.0808;32.75776
20.07479;-297.0738;32.7337
20.61755;-297.0708;32.78969
20.33531;-297.0648;32.72318
20.21208;-297.0523;32.72818
20.04099;-297.0408;32.75599
18.29688;-297.0308;32.19708
19.45401;-297.0283;32.68677
20.59135;-297.0269;32.79682
21.27203;-297.0262;33.99125
20.26677;-297.0069;32.77687
19.85198;-297.0067;32.70687
19.90016;-297.0058;32.72151
19.8563;-297.0042;32.64656
19.72562;-296.9925;32.71875
20.49297;-296.9908;32.73146
20.34708;-296.9771;32.6314
19.35792;-296.9702;32.60135
20.43099;-296.9673;32.74656
18.04953;-296.9671;32.48412
20.13661;-296.9602;32.74578
20.55042;-296.9573;32.77625
20.39344;-296.9571;32.79099
20.54948;-296.9496;32.67047
19.22953;-296.9417;32.63219
20.6887;-296.9294;32.81198
20.59672;-296.9273;32.81073
20.01911;-296.925;32.72344
20.45865;-296.9246;32.80255
19.77474;-296.9231;32.73703
20.2801;-296.916;32.81604
19.67281;-296.9102;32.72083
19.6674;-296.9035;32.70615
20.38141;-296.9002;32.84859
20.44354;-296.899;32.77198
19.71974;-296.8904;32.65208
19.66162;-296.8902;32.73177
20.78266;-296.8881;32.79682
19.77073;-296.8846;32.70547
19.45229;-296.884;32.64235
20.68328;-296.8735;32.61391
19.8525;-296.869;32.68422
20.73344;-296.8671;32.78115
19.59026;-296.8644;32.7201
19.75359;-296.8642;32.72401
19.79526;-296.864;32.72604
20.02651;-296.8579;32.76708
20.02271;-296.8529;32.74036
19.89172;-296.8513;32.73073
20.21781;-296.8481;32.71537
19.62568;-296.8473;32.69844
20.29344;-296.8429;32.80573
19.87349;-296.8429;32.7076
20.38646;-296.8423;32.81526
18.66323;-296.8417;32.69333
19.76208;-296.8404;32.70562
19.86109;-296.8337;32.64099
19.67385;-296.8264;32.70469
18.23109;-296.8223;32.22948
19.90573;-296.8185;32.77281
19.90344;-296.8165;32.72485
20.50177;-296.8163;32.62016
19.41177;-296.8129;32.59489
20.72464;-296.8085;32.84865
20.20453;-296.8048;32.85198
20.76406;-296.8044;32.77781
20.00646;-296.8017;32.72641
20.32078;-296.7981;32.74688
19.78958;-296.7977;32.73188
20.00406;-296.7975;32.74323
20.02193;-296.7963;32.86276
20.45823;-296.7954;32.78057
19.83792;-296.7935;32.72427
19.78906;-296.7933;32.71135
20.65333;-296.7848;32.83667
19.7649;-296.7746;32.71057
20.13917;-296.7717;32.81771
20.30026;-296.7661;32.80979
20.45005;-296.7604;32.7763
20.46797;-296.7598;32.75995
20.24781;-296.7517;32.84901
20.53703;-296.7408;32.72422
20.34786;-296.7381;32.81438
19.61354;-296.7267;32.69406
20.34927;-296.7219;32.78089
20.21667;-296.7085;32.72781
19.68125;-296.7079;32.69776
19.81474;-296.7077;32.7174
20.40151;-296.699;32.78552
20.75047;-296.6902;32.74364
19.92281;-296.6833;32.77609
19.50427;-296.6819;32.64995
20.47214;-296.6775;32.79031
20.1912;-296.6767;32.81203
20.20745;-296.6658;32.86766
19.7999;-296.6644;32.69109
20.49083;-296.6604;32.76943
20.24063;-296.6596;32.75292
20.66115;-296.6581;32.78573
20.13516;-296.656;32.74995
19.99463;-296.6521;32.71807
19.83776;-296.6448;32.71469
19.85266;-296.6431;32.73979
19.13365;-296.6288;32.59167
18.21406;-296.626;32.24953
19.62396;-296.6129;32.72063
20.56052;-296.6108;32.70203
19.96182;-296.6088;32.7639
19.44656;-296.6073;32.64412
19.98505;-296.6052;32.86375
19.41641;-296.6008;32.58104
19.6488;-296.5969;32.75359
19.6799;-296.5954;32.66083
18.09135;-296.5912;32.35588
20.11714;-296.5908;32.78109
20.27938;-296.5902;32.82401
20.2038;-296.5858;32.81771
19.94922;-296.584;32.72521
20.775;-296.5831;32.75208
20.49385;-296.5789;32.80531
20.69417;-296.576;32.64557
19.91156;-296.5708;32.70719
20.305;-296.57;32.86271
17.96635;-296.5692;32.30146
20.69417;-296.566;32.8013
20.25984;-296.5638;32.86469
20.27073;-296.5606;32.8413
19.51552;-296.559;32.66849
20.74526;-296.5587;32.84474
19.82323;-296.5581;32.73401
20.23703;-296.5542;32.90453
18.04156;-296.5494;32.19682
19.34594;-296.5415;32.62761
19.92036;-296.5408;32.69328
19.80109;-296.539;32.72255
19.81755;-296.5287;32.68208
19.79927;-296.5252;32.7086
20.30437;-296.524;32.75271
19.75937;-296.5237;32.73078
20.6075;-296.5233;32.8699
20.51724;-296.5233;32.79677
19.94583;-296.5229;32.72937
20.87161;-296.5183;32.72672
20.68375;-296.5139;32.88688
20.77682;-296.5127;34.0187
19.66953;-296.5117;32.71979
20.26474;-296.511;32.76948
19.71083;-296.5031;32.68745
20.03932;-296.5006;32.74276
19.8725;-296.4852;32.71667
18.60469;-296.4831;32.49745
20.23896;-296.4814;32.84323
20.4338;-296.48;32.86297
19.72609;-296.4748;32.71146
19.30266;-296.4738;32.64135
20.49286;-296.469;32.76922
19.84802;-296.4688;32.72708
