K5P18_2.PV;K0P125.PV
-94.86562;66.601
-94.43594;66.78867
-94.12826;67.54242
-93.01511;66.3085
-92.98972;66.67741
-92.64571;67.26859
-92.61601;66.58842
-92.51081;67.04942
-92.39414;67.0955
-92.01588;66.53467
-91.90221;66.36075
-91.64792;66.41317
-91.64635;67.01109
-91.61354;67.15283
-91.59531;66.71658
-91.52344;67.04408
-91.48711;67.0695
-91.48086;66.59383
-91.4724;66.94292
-91.37174;67.0525
-91.35352;66.52792
-91.20808;67.09592
-91.14948;66.55675
-91.14687;66.82591
-91.13372;67.37375
-91.10573;66.8645
-90.89713;66.35641
-90.85989;67.0515
-90.63138;67.09658
-90.55937;67.11642
-90.46575;67.01492
-90.46068;66.89792
-90.4;66.46533
-90.39883;67.14034
-90.32265;67.15833
-90.27565;67.01392
-90.25833;66.8695
-90.22878;67.70959
-90.1655;66.88883
-90.15144;67.08417
-90.14024;66.512
-90.09766;67.23625
-89.99141;67.15217
-89.98776;67.96875
-89.95403;66.61041
-89.93802;67.17758
-89.92292;66.85625
-89.92162;67.26683
-89.87605;66.4245
-89.86979;66.922
-89.84167;67.0755
-89.83711;67.00191
-89.81393;67.52116
-89.78438;67.55117
-89.68997;66.81634
-89.67539;66.64191
-89.67292;67.29559
-89.60521;66.91409
-89.60208;67.07117
-89.55404;67.33608
-89.52839;67.18608
-89.522;67.12975
-89.50781;67.03525
-89.49974;68.104
-89.47656;66.75375
-89.47096;67.11192
-89.4293;66.62241
-89.42565;66.1415
-89.39245;66.91483
-89.38528;66.3505
-89.37904;66.94875
-89.37878;67.29383
-89.36159;66.47258
-89.36094;66.50725
-89.34701;66.50266
-89.32682;67.16583
-89.297;66.59525
-89.27812;67.14834
-89.27682;66.82784
-89.24545;67.11459
-89.24232;66.53008
-89.19636;66.97483
-89.16615;66.83775
-89.16302;66.7815
-89.15391;66.50933
-89.13972;67.15908
-89.1086;67.07217
-89.0901;66.69067
-89.05599;67.24616
-89.0543;67.1585
-89.0543;67.13392
-89.05143;67.12534
-89.03893;67.07809
-89.00026;66.53358
-88.98867;66.4535
-88.96237;67.23759
-88.96042;67.32242
-88.95325;66.99059
-88.94961;66.79117
-88.93776;66.66209
-88.93269;67.03067
-88.93242;66.4575
-88.92226;66.68958
-88.9099;66.45983
-88.90964;67.036
-88.90586;67.21259
-88.9052;66.60191
-88.90404;66.659
-88.88229;66.52917
-88.87981;67.16016
-88.87161;66.58675
-88.83932;67.04925
-88.82877;66.51842
-88.82057;66.41142
-88.81705;67.06167
-88.80364;67.5195
-88.77799;66.98458
-88.77747;66.82875
-88.76406;66.42917
-88.75;66.64
-88.73828;67.132
-88.72929;67.34834
-88.72109;66.44666
-88.6793;66.976
-88.64088;67.48742
-88.62891;66.9905
-88.62461;67.05742
-88.61562;66.27783
-88.59883;66.73558
-88.59675;67.42767
-88.58763;67.254
-88.57122;66.64642
-88.53516;67.21841
-88.53477;66.3655
-88.52747;67.01317
-88.525;67.51925
-88.51159;67.01808
-88.50586;67.31675
-88.49622;67.17258
-88.47982;67.00425
-88.4694;66.80466
-88.46094;66.59875
-88.45313;67.22192
-88.45;67.15567
-88.43855;67.56934
-88.42709;68.41008
-88.42709;67.22792
-88.42448;66.626
-88.42357;67.47867
-88.41953;67.17983
-88.40898;67.26283
-88.39558;67.35133
-88.39453;67.22908
-88.38854;66.6945
-88.38711;67.20284
-88.38372;66.91783
-88.37981;67.23341
-88.36719;66.72916
-88.35664;66.84875
-88.35378;67.149
-88.34401;66.36075
-88.34323;66.39692
-88.34023;66.87383
-88.3388;66.68517
-88.33776;67.46508
-88.33568;67.08375
-88.32695;66.745
-88.32201;66.45258
-88.32162;66.36491
-88.30872;66.46242
-88.30325;66.933
-88.29518;66.48758
-88.2858;66.82042
-88.28451;66.85358
-88.27721;66.77167
-88.26041;66.93767
-88.25091;66.8655
-88.24466;66.9935
-88.24128;66.61916
-88.24128;67.445
-88.24036;66.82467
-88.23086;66.62017
-88.22435;66.38309
-88.22031;67.16792
-88.21823;66.72217
-88.21471;67.03133
-88.20377;66.96917
-88.18269;67.06208
-88.17123;67.0175
-88.16953;66.49667
-88.16706;67.11775
-88.15742;66.43708
-88.15365;67.02883
-88.14336;67.02483
-88.14063;66.99883
-88.14011;66.48717
-88.13567;67.386
-88.13503;66.586
-88.1276;67.298
-88.12617;66.90617
-88.125;67.00608
-88.11068;67.0555
-88.09622;66.95683
-88.08594;67.48583
-88.08424;66.99225
-88.0806;67
-88.07995;66.45333
-88.07695;66.65358
-88.07474;66.95133
-88.0599;66.94542
-88.04778;67.15466
-88.02682;67.14925
-88.01627;66.59725
-88.00573;66.45033
-88.003;66.50308
-87.99766;67.12566
-87.98268;66.58792
-87.96289;67.00291
-87.95469;66.8225
-87.9539;66.57042
-87.94844;66.548
-87.92591;66.63992
-87.90833;67.0875
-87.90117;66.69158
-87.86068;66.74934
-87.8595;67.46358
-87.84466;67.25475
-87.8388;67.57333
-87.83672;67.27025
-87.83581;66.51483
-87.82917;66.46642
-87.81862;67.2805
-87.81432;67.00808
-87.80964;66.6515
-87.80846;67.32467
-87.79805;67.04567
-87.79518;66.88975
-87.79284;66.38609
-87.7763;67.11025
-87.76601;66.771
-87.74727;66.98209
-87.7457;67.04967
-87.74088;67.45808
-87.73711;67.00758
-87.72995;67.50108
-87.72852;67.10042
-87.72826;66.61408
-87.72578;66.78059
-87.72018;67.389
-87.7194;66.57208
-87.71875;66.96825
-87.71328;67.17834
-87.70847;67.21383
-87.70821;66.49267
-87.70078;67.25575
-87.69948;67.06866
-87.69557;66.97166
-87.69388;66.586
-87.68906;66.58092
-87.68763;66.22842
-87.67851;67.28892
-87.6694;66.40125
-87.66471;66.42958
-87.66068;66.43575
-87.65677;66.53633
-87.6487;66.578
-87.63659;66.97041
-87.63515;67.29808
-87.62878;67.237
-87.62747;66.83992
-87.62695;66.81108
-87.62513;66.52392
-87.62214;66.46675
-87.60352;66.60433
-87.60156;67.1285
-87.5957;66.47483
-87.5806;67.56208
-87.57774;66.93892
-87.56224;67.09016
-87.56172;67.47283
-87.55885;67.20567
-87.547;66.18383
-87.54466;67.24641
-87.48672;66.92233
-87.48502;67.22708
-87.48242;66.83933
-87.47201;67.21033
-87.47018;66.53609
-87.46575;66.753
-87.45235;66.96091
-87.44974;66.445
-87.44154;66.94925
-87.43971;66.97967
-87.42552;67.01717
-87.42474;66.67409
-87.42461;67.20092
-87.41211;66.27116
-87.40065;67.91033
-87.39558;66.41133
-87.39088;66.48558
-87.38047;66.63908
-87.37852;66.4575
-87.37669;66.76742
-87.36028;66.76742
-87.34414;66.39975
-87.34167;67.05209
-87.33594;66.96033
-87.33489;66.87225
-87.3319;66.92975
-87.32813;66.66358
-87.32291;66.44725
-87.30782;68.01817
-87.30547;67.08283
-87.30364;66.62617
-87.30013;66.787
-87.29388;67.11967
-87.2931;67.22192
-87.28997;66.9795
-87.28503;66.88225
-87.27956;67.19933
-87.27344;66.88717
-87.27279;67.00941
-87.27253;67.09433
-87.26524;66.57592
-87.2569;66.54508
-87.25026;66.13934
-87.24805;67.24717
-87.24622;66.57325
-87.24557;67.50308
-87.24206;66.977
-87.23737;67.52525
-87.22995;67.39592
-87.22774;66.45766
-87.21784;66.59875
-87.2177;67.04933
-87.21732;66.50083
-87.20885;66.6115
-87.19857;66.68667
-87.19596;67.14117
-87.19492;66.41658
-87.19205;67.074
-87.18125;67.11625
-87.1793;67.16758
-87.16511;67.43308
-87.15833;67.19308
-87.15586;66.86092
-87.13828;66.81008
-87.12643;66.4365
-87.12461;66.82992
-87.11159;67.19967
-87.10638;66.27467
-87.0931;66.38925
-87.08308;67.5745
-87.07877;66.64384
-87.07643;67.15175
-87.07122;66.93567
-87.06966;67.12241
-87.06406;67.10008
-87.06328;67.085
-87.06029;67.03042
-87.05964;66.95558
-87.04518;66.90933
-87.04479;66.73708
-87.0323;66.92758
-87.02344;66.60067
-87.02135;66.73975
-87.02084;66.69942
-87.01875;67.20783
-87.01406;67.04225
-87.01146;66.32025
-87.01107;67.1265
-87.00794;67.60367
-87.00599;66.91358
-87.00468;66.32359
-87.00339;67.12575
-87.00143;66.9415
-86.99635;67.20375
-86.99349;66.86725
-86.9875;66.94534
-86.97591;66.90058
-86.96836;66.49375
-86.9668;67.06634
-86.96641;66.33266
-86.96211;67.48392
-86.96211;67.25925
-86.96029;66.99758
-86.94817;66.37183
-86.93255;67.06583
-86.93216;66.50917
-86.93138;67.0325
-86.91576;66.73209
-86.91484;67.45742
-86.91354;66.92233
-86.91302;66.90858
-86.90794;66.81834
-86.90404;66.60375
-86.89024;67.03933
-86.88985;66.75808
-86.88346;67.12017
-86.87734;67.01791
-86.87565;67.09133
-86.87474;66.85225
-86.87045;66.66908
-86.85729;67.14167
-86.85143;66.79359
-86.8513;67.24225
-86.84154;66.95575
-86.8392;66.62608
-86.83724;66.56633
-86.828;66.85025
-86.82409;67.50484
-86.81875;67.23425
-86.81523;67.26325
-86.80417;66.84975
-86.79232;66.94683
-86.78893;66.50075
-86.78659;67.0185
-86.7858;66.86217
-86.7858;66.69625
-86.78477;66.78492
-86.78307;66.85225
-86.77513;66.96392
-86.76237;66.36933
-86.75391;66.46108
-86.75365;67.24533
-86.75143;66.77216
-86.74961;67.32075
-86.74805;66.29242
-86.74674;67.3105
-86.74414;67.19666
-86.73893;67.30058
-86.73294;67.21992
-86.72865;67.36642
-86.72747;66.81409
-86.7224;67.0125
-86.7224;67.30141
-86.71862;66.59367
-86.71549;66.407
-86.71172;67.14816
-86.70937;66.14208
-86.70729;66.9665
-86.70377;66.61192
-86.70261;67.177
-86.70222;67.01884
-86.69063;66.76833
-86.68594;67.3795
-86.68255;67.25475
-86.67709;67.41108
-86.66888;66.73042
-86.66093;67.09217
-86.66029;67.30375
-86.65456;67.64575
-86.65286;66.88825
-86.64922;67.1935
-86.64674;66.6255
-86.64375;67.1365
-86.63906;66.69234
-86.62487;66.84808
-86.61732;66.59892
-86.6086;66.88175
-86.59596;66.826
-86.58203;66.56625
-86.57943;67.06641
-86.57825;67.03267
-86.5763;66.87325
-86.57357;67.06408
-86.5655;66.94417
-86.5625;66.91875
-86.55898;66.56817
-86.5569;67.0235
-86.55286;67.48334
-86.5388;67.40083
-86.5349;67.2365
-86.53138;67.23383
-86.52657;67.07775
-86.52644;67.20458
-86.52604;67.45233
-86.52604;67.14925
-86.52409;66.92783
-86.52148;67.43484
-86.51524;67.07692
-86.51159;67.39375
-86.5099;66.95042
-86.50846;67.1075
-86.5043;67.32508
-86.5026;66.98942
-86.50026;67.20483
-86.49466;67.14433
-86.4918;66.5175
-86.49114;67.26133
-86.49075;67.08942
-86.4901;67.29366
-86.48307;66.30341
-86.47578;66.66625
-86.46966;67.145
-86.46484;67.0915
-86.46432;66.56175
-86.46341;66.63892
-86.45885;66.92567
-86.45794;66.73341
-86.45703;67.22317
-86.44193;67.20008
-86.43958;67.19675
-86.42239;67.10533
-86.41992;66.96233
-86.41823;67.33992
-86.41276;67.29858
-86.40964;66.77458
-86.40846;66.76775
-86.3918;66.731
-86.39101;66.78958
-86.38451;66.82283
-86.38346;66.45766
