K5P6.PV;K5PC5CH.OP;K5T18_2.PV;K5T10_1.PV;K5T10_2.PV;K5P23.PV;K5P24.PV;K5P20.PV;K5T5_1.PV;K5T5_2.PV;K5T8_4.PV;K5T8_5.PV;K5T8_6.PV
1.011472;37.00447;83.51245;43.57221;94.28467;0.7769912;0.8672438;-798.0953;588.434;696.2855;98.25981;104.1173;150.4068
0.9501139;35.85681;83.19077;74.05736;94.54416;0.7189739;0.8130657;-806.3354;577.2811;682.467;99.2003;104.4542;149.8617
0.9599584;34.75961;83.16307;59.72303;92.65924;0.7438647;0.8242662;-803.7803;583.8773;689.5408;95.70532;101.6473;148.7954
0.9398876;34.3339;83.15954;48.48192;93.19459;0.7282701;0.8064384;-806.904;584.7463;687.868;96.47181;102.1833;148.9266
0.9370682;34.59324;83.11144;78.611;93.07278;0.7229144;0.8059146;-806.4493;585.1682;688.5678;96.42132;101.817;148.091
1.059581;39.57156;82.89586;61.99448;97.5037;0.7982657;0.906135;-793.663;581.7244;695.2565;103.2845;107.97;153.8212
0.9966604;36.82307;82.8649;40.62644;93.4544;0.7571301;0.8522204;-798.8889;584.3345;693.0048;98.40453;103.5987;150.5607
0.8975984;32.91343;82.68428;78.47627;92.2709;0.6963038;0.7732988;-811.0739;582.1085;682.7997;95.22089;100.5505;146.9561
0.9501014;35.6139;82.66502;77.88777;93.69609;0.72651;0.8139245;-805.5347;580.7367;685.2949;97.46637;102.8485;148.8245
0.9501182;36.05956;82.41154;76.76127;95.0139;0.7131894;0.8133811;-806.4006;576.1167;681.0222;100.354;105.4821;150.5033
0.9251372;34.68679;82.09911;43.2294;93.9367;0.7024981;0.7916188;-809.0443;582.2584;682.5069;98.53073;103.713;149.0373
0.9968545;36.42595;82.04697;51.23798;92.11316;0.7632785;0.8533058;-799.8397;584.7068;692.3345;96.85291;102.2424;149.4466
1.074108;39.40107;82.01437;90.8318;96.24824;0.8213568;0.9197563;-791.1064;584.857;698.5901;101.0615;106.135;152.9261
1.041015;37.0233;81.91438;71.05275;94.62981;0.8034658;0.8944435;-793.8561;587.181;694.4102;97.4267;102.6866;148.8049
0.8625768;31.50435;81.83503;76.48598;91.16395;0.6718405;0.7432709;-815.0524;581.8292;680.3489;93.76206;98.95304;145.1544
0.9599705;35.59554;81.8271;64.47109;93.40629;0.7325681;0.8220077;-804.7969;579.46;685.8892;97.62517;103.3725;150.0146
0.9001001;33.80516;81.75993;47.75001;93.72823;0.6801465;0.7706398;-811.6475;581.1814;679.56;98.72416;103.6573;148.6692
0.8208157;30.27296;81.49049;68.3828;90.74348;0.6393856;0.7064599;-819.9294;576.7737;671.7205;93.39013;97.90876;143.7918
0.9501268;34.82315;81.11062;73.18319;91.84342;0.7317526;0.8146427;-804.0622;584.0978;688.5229;95.21812;101.0047;147.8861
1.13007;40.97502;81.09863;48.77014;93.06995;0.85823;0.9672771;-784.9843;582.4279;699.4631;98.27553;104.3739;152.7498
1.036205;38.35403;81.00182;91.55956;95.16459;0.7923133;0.887919;-794.6814;583.9727;695.4329;99.75983;104.6857;151.4504
0.9952369;35.75674;80.94609;82.01917;93.42611;0.7593341;0.8539572;-799.6718;583.9886;688.8809;98.03481;103.1698;149.0631
1.000126;37.66147;80.83459;66.14414;92.82574;0.7497378;0.8548858;-800.777;577.499;687.8035;99.54939;104.6259;150.9893
0.961855;36.2478;80.64419;30.50717;92.49481;0.7262362;0.8233196;-803.2705;577.8278;684.8022;98.08252;103.2679;150.1653
0.8201611;30.81606;80.57363;70.15643;91.20943;0.6389875;0.7056422;-819.4164;575.5281;670.5251;92.90253;97.49499;143.5022
0.8201925;30.65722;80.56977;68.12777;90.82298;0.6354004;0.7046791;-819.8909;575.1644;670.0099;93.49619;98.01254;143.8106
0.8898709;33.68279;80.50156;93.35352;94.83636;0.6752848;0.7642158;-813.7296;577.7311;677.8435;99.94418;104.186;149.6711
0.8157939;30.24927;80.49529;67.98415;90.50634;0.6387002;0.702172;-819.8497;575.9326;671.4623;91.89983;96.42628;142.6755
0.8898752;33.38612;80.49064;92.94937;94.55048;0.6769554;0.7637205;-813.717;578.6777;678.4529;99.56817;103.8871;149.429
0.8898649;33.25313;80.47744;92.96518;94.62846;0.6783773;0.7640107;-813.6609;578.9767;678.8871;99.48669;103.8382;149.5026
0.8096289;29.27619;80.39757;74.13808;89.49928;0.6292046;0.6971489;-821.4968;576.1835;670.3198;92.24976;97.26915;143.1756
1.060352;39.03453;80.36185;21.3845;92.47743;0.8052376;0.9064907;-792.5073;579.5924;693.7807;97.28607;103.1777;151.3878
0.8781226;32.90705;80.10125;93.61079;94.61106;0.6667501;0.7537888;-815.4399;576.3058;674.607;99.8765;104.1379;149.6594
0.9456407;35.36905;79.97526;62.39564;91.22826;0.7165422;0.8094177;-806.9418;578.2987;683.3951;96.80028;101.8874;148.5343
0.900129;33.66739;79.90562;65.85126;92.71043;0.6792167;0.7714359;-811.4972;581.274;679.9196;98.14675;103.3062;148.396
0.8502773;32.17711;79.89172;90.90981;93.0257;0.6460157;0.7283043;-818.4977;571.8922;669.0017;97.87888;102.1538;147.844
0.8898735;33.82248;79.88044;93.02364;94.64364;0.6760803;0.762948;-813.8314;577.3361;677.6287;99.67205;103.9851;149.5606
0.8918725;33.93472;79.70918;93.01054;94.44852;0.6759943;0.7629084;-813.9371;574.485;674.8057;99.69399;104.0516;149.6763
0.7945205;29.16151;79.60711;73.18196;90.10819;0.6122535;0.6837548;-824.0093;575.0162;668.9897;93.33189;98.1699;143.4937
0.871911;32.11076;79.52145;70.68388;90.26237;0.6764353;0.7485657;-814.0372;580.2913;679.4576;93.26229;98.59125;144.9311
0.8817543;33.39332;79.10992;68.05637;91.99626;0.6762037;0.7582414;-812.5995;579.0649;677.1272;95.36046;99.94947;145.7436
0.8980568;33.96859;79.10628;90.72232;92.79956;0.6835613;0.7704545;-812.215;581.5963;681.7993;97.94549;102.2648;147.6731
0.9001337;33.93195;79.01286;76.52168;91.47911;0.6821985;0.7706643;-811.4841;577.6559;678.961;96.01524;101.4025;147.4828
0.9255994;35.06376;78.90215;89.73193;92.94927;0.7069696;0.7930199;-808.3105;583.9296;685.825;97.71322;102.1048;147.8849
0.9145147;34.57165;78.5652;78.16429;91.55879;0.6878854;0.7828533;-810.091;575.8885;678.726;97.04871;102.4742;148.3488
