K5F5.PV;K5F6X.PV;K5T16.PV;K5T15.PV;K5T17.PV
37.2346;31.02451;96.63062;122.6787;132.7869
37.2053;30.94988;96.66312;122.6775;132.7625
36.92529;30.99589;97.28;122.675;132.9894
36.50462;30.72116;97.35875;122.675;133.1581
37.37479;30.84143;97.15875;122.67;132.9538
37.00179;30.97309;97.21438;122.6687;132.9644
37.04657;30.8109;97.31875;122.6687;133.0981
40.29521;33.18293;96.5325;122.6675;133.6888
36.39547;30.92933;97.38;122.6675;133.2781
37.13973;31.03177;96.645;122.6663;133.0775
37.12078;31.06312;96.65188;122.6663;133.025
37.32105;31.03282;97.08625;122.6663;133.0187
37.30721;31.00235;97.12688;122.6663;132.9819
37.32687;31.03427;97.08875;122.665;133.0256
36.75386;31.13528;97.01875;122.6637;133.0506
40.28151;33.06673;96.41688;122.6625;133.09
37.11953;30.8503;96.66688;122.6625;133.2162
36.39727;30.98186;97.12875;122.6625;133.475
37.31967;31.06293;97.11938;122.6613;132.9756
37.51344;30.88891;97.05187;122.6612;133.0369
40.25839;32.86132;96.39437;122.6588;132.9975
37.55846;30.91794;97.06187;122.6575;133.0456
37.02162;30.85928;97.19313;122.6563;132.9362
36.59913;30.98489;97.29375;122.6563;133.035
40.30984;33.21245;96.51063;122.6525;133.7781
36.34022;31.05094;96.94813;122.6525;132.8838
37.58789;30.97014;96.88125;122.6512;132.5656
39.50022;33.23575;96.56;122.65;133.9694
36.40488;30.96466;97.15625;122.65;133.4925
37.55942;30.89274;96.93437;122.65;132.5056
36.44321;30.79942;97.3675;122.6475;133.175
37.47768;30.99463;96.94563;122.6475;132.4531
37.02628;30.92513;97.16937;122.645;132.9719
40.22277;33.30917;96.54813;122.6438;133.9388
36.57388;30.8717;97.3475;122.6438;133.1419
37;30.94917;96.69187;122.64;133.2719
37.02885;30.95282;97.24687;122.6375;133.0013
37.50206;30.97394;97.04063;122.6362;133.0656
40.36305;33.12911;96.51125;122.635;133.5838
36.88149;30.58738;97.19376;122.635;132.9875
37.5813;30.83473;96.93312;122.6338;132.4937
36.52316;31.0428;96.61687;122.63;132.6531
36.55318;31.01527;96.97312;122.63;133.0044
37.32649;30.77386;97.13063;122.63;132.9681
37.03628;30.81156;97.0825;122.6275;132.6969
38.82552;33.15158;96.57188;122.6263;134.0287
36.90437;31.1896;96.70812;122.625;133.2813
37.62308;31.01212;96.86813;122.625;132.5706
37.34804;30.81285;97.13375;122.6225;132.9619
40.27611;32.98159;96.38937;122.6212;132.8325
40.08836;32.82743;96.29;122.62;132.4112
36.61261;31.09214;96.69625;122.6175;133.3212
36.36988;31.11513;97.12125;122.6175;133.4662
40.26021;32.93587;96.3575;122.6162;132.7794
37.62945;30.87917;96.83688;122.6162;132.6125
37.00708;30.82938;97.14125;122.6137;132.8275
36.84176;30.84924;97.31438;122.6125;133.1169
36.93685;30.8711;97.29188;122.61;133.0594
37.58418;30.91978;96.86437;122.61;132.6731
40.30084;33.31388;96.52937;122.6087;133.8431
37.63133;30.80885;96.835;122.6075;132.6438
37.45082;31.11213;97.01875;122.6063;133.055
36.41719;31.08433;97.10938;122.6062;133.4369
40.10616;33.07654;96.35;122.6038;132.6019
36.82764;30.8298;96.79063;122.6038;132.825
38.63737;33.35751;96.59187;122.6025;134.0981
36.67438;30.97269;96.72875;122.6012;133.3913
37.19141;30.96999;96.6125;122.6;132.7344
36.79144;31.04271;97.0125;122.6;133.0231
36.61009;31.15198;96.67937;122.5975;133.3213
37.02851;30.89279;96.94625;122.5963;132.4444
37.55305;31.01908;96.93875;122.5938;132.46
36.45418;31.04123;97.1;122.5925;133.4388
37.63953;31.10687;96.9275;122.5925;132.5381
37.26427;30.88486;96.78313;122.5912;132.8219
36.97387;30.74075;97.12937;122.59;132.7787
36.51835;31.06309;96.68687;122.5875;133.3669
36.30482;31.08378;97.075;122.5875;133.3825
36.30504;31.15104;97.08688;122.5825;133.4025
37.30975;31.03094;97.09187;122.58;132.9819
36.95713;30.4903;97.17875;122.5788;132.9538
