K0P125.PV;K5PCV4I.PV;K5P4_1.PV
66.7995;43.89339;22.05552
67.16742;43.45078;21.9613
67.00425;43.77625;22.06271
66.83933;43.76479;22.06672
67.1385;43.44984;21.96177
66.548;44.69625;22.22281
67.14684;43.44365;21.95417
66.97041;44.03656;22.14146
67.14425;43.72776;22.08302
66.75375;43.94771;22.10443
67.17934;43.71615;22.12651
66.79359;43.91214;22.11042
67.13025;43.72063;22.09521
67.06175;43.73838;22.10453
66.78;44.28432;22.16187
66.659;44.46391;22.21
66.51183;44.63729;22.23307
66.80275;43.41495;21.72651
66.81108;43.41047;21.7349
67.09225;43.44464;21.91833
67.07217;43.74307;22.10141
67.159;43.71854;22.10177
67.17208;43.48547;22.03693
67.09625;43.7362;22.09536
66.57658;44.77844;22.27761
67.0955;43.73615;22.0924
67.0755;43.44745;21.92302
67.01566;43.72557;22.07505
67.06;43.7238;22.08917
67.15975;43.48359;22.03219
66.974;43.44854;21.91292
67.0285;43.7213;22.06104
66.9575;43.72;22.05646
67.07975;43.72474;22.08781
66.5495;44.50323;22.18453
66.67675;44.36338;22.17031
66.99117;43.45146;21.88182
67.09033;43.62182;21.99438
66.63934;44.38115;22.15292
67.05525;43.44026;21.90323
67.04733;43.71177;22.09495
67.01492;43.74073;22.06656
67.15466;43.48755;22.03839
67.06983;43.71375;22.10469
67.15283;43.48078;22.01979
66.97567;43.73557;22.05188
66.661;44.37391;22.16276
67.16817;43.48672;22.04193
66.96291;43.45615;21.88089
67.10183;43.47875;22.00349
66.97433;43.71891;22.05266
66.64642;44.31927;22.13667
67.16433;43.47771;22.04349
67.08417;43.4775;22.01094
66.95492;43.46349;21.8713
66.93117;43.45552;21.85531
66.43708;44.48412;22.12922
67.09217;43.71464;22.07214
66.60683;44.39479;22.14078
67.05042;43.48896;22.00813
67.05334;43.71693;22.05667
66.47491;44.49047;22.13604
66.63058;44.3688;22.14276
67.13275;43.60812;21.97708
66.88975;43.72604;22.02224
67.074;43.48265;21.99838
66.3045;44.61485;22.15542
66.64442;44.36594;22.12099
66.70609;44.25802;22.12625
67.16942;43.61323;21.9849
66.57867;44.45214;22.12599
67.04942;43.48432;21.9851
67.11459;43.48833;22.01833
66.65017;44.3613;22.14859
66.59283;44.3738;22.12995
66.68475;44.34161;22.18839
66.77158;44.38786;22.07547
66.93008;43.71646;22.06406
66.92817;43.72094;22.02849
67.12759;43.48891;22.01521
66.37425;44.79557;22.21495
66.67892;44.25375;22.1326
67.0915;43.48833;22.00323
66.90217;43.45125;21.86812
66.77975;44.36875;22.07698
66.43;44.47469;22.12417
67.03592;43.47969;21.97521
66.76775;44.37401;22.07849
67.068;43.71479;22.06495
66.432;44.73641;22.20844
67.04567;43.47859;21.98787
67.1165;43.47641;21.98516
66.69867;44.24677;22.12786
67.05217;43.48083;21.9687
67.04025;43.48146;21.96849
66.91542;43.72536;22.01214
66.74633;44.47453;22.19047
67.07484;43.47505;22.00661
66.95558;43.44719;21.85276
67.21191;43.60588;21.99568
67.15025;43.48682;22.03812
66.69583;44.26922;22.10969
66.53633;44.39245;22.12182
66.91783;43.44812;21.84901
66.637;44.24511;22.10885
67.10091;43.48495;22.01052
66.84808;43.73557;22.01026
66.715;44.25141;22.09495
66.98458;43.47917;21.96245
66.72684;44.36849;22.06859
66.75808;44.36224;22.04396
67.08783;43.48719;22.00656
66.76109;44.37547;22.06125
66.72217;44.47364;22.16849
66.96967;43.47943;21.97688
66.5975;44.36083;22.11526
66.89858;43.74969;21.89682
66.65858;44.27063;22.0887
66.69283;44.23724;22.10818
66.965;43.72089;22.0438
67.17484;43.60104;21.97672
66.89208;43.71333;22.01594
67.19209;43.39745;21.83557
66.70775;44.24984;22.10359
66.72583;44.25188;22.0951
66.37;44.51177;22.08406
66.65342;44.25412;22.08698
66.687;44.45828;22.1637
66.982;43.4776;21.96094
66.69425;44.38521;22.04323
66.62233;44.34885;22.12406
66.81633;43.71432;21.99031
67.91392;42.33531;21.64807
66.68417;44.36854;22.02698
66.67409;44.14297;22.07182
67.095;43.47286;21.96552
66.72117;44.14989;22.05776
67.14034;43.3726;21.81578
66.67833;44.37307;22.04667
66.66383;44.36922;22.02839
66.68958;44.3536;22.05203
66.32684;44.48224;22.07146
66.88158;43.71463;22.02489
66.53833;44.33953;22.12719
66.65434;44.36036;22.03802
66.59892;44.32193;22.04812
67.05825;43.47318;21.98401
66.59875;44.25911;22.07948
66.62992;44.37411;22.03193
67.05209;43.47422;21.95943
66.79733;43.45625;21.80995
66.62366;44.28495;22.07286
66.97483;43.47776;21.94031
67.07967;43.48328;22.00245
66.63284;44.37943;22.03
66.94341;43.71797;22.02422
66.68483;44.39646;22.04578
66.62991;44.38052;22.02161
66.731;44.37416;22.05948
66.71575;44.2487;22.09286
66.69675;44.18953;22.08354
66.67717;44.24339;22.09026
66.79984;43.72438;21.97896
66.60433;44.25037;22.06339
67.16508;43.59412;21.96906
66.69234;44.36187;22.02448
67.06858;43.60677;21.94875
66.46416;44.37344;22.0826
66.9925;43.60047;21.92703
66.94067;43.48682;21.95161
66.6945;44.23125;22.09078
66.78867;43.73771;21.98391
66.67741;44.37859;22.04328
66.95683;43.48958;21.96412
66.67184;44.24797;22.09562
66.67425;44.40505;22.03005
66.43758;44.24672;22.08219
66.67492;44.37234;22.04703
66.62442;44.38302;22.02839
66.65908;44.40604;22.0499
66.28433;44.53344;22.08797
66.7945;43.72042;21.96578
66.61808;44.37563;22.03281
66.89167;43.48667;21.96047
67.09233;43.36958;21.77786
66.64384;44.24693;22.06932
66.57833;44.25161;22.05854
66.60408;44.39219;22.01672
66.63892;44.2737;22.08578
66.57658;44.36146;22.06969
66.67609;44.36427;22.03417
67.00275;43.48599;21.96797
66.58808;44.26656;22.05641
66.64408;44.36141;22.02156
66.633;44.24927;22.07104
66.60542;44.45287;22.12136
67.03091;43.60802;21.90932
67.0425;43.48823;21.96198
66.98209;43.48844;21.95563
66.63641;44.23172;22.05646
67.09409;43.60802;21.94422
67.15833;43.54516;22.00213
66.82967;43.69474;21.97266
66.49817;44.33771;22.10047
66.66817;44.37547;22.01661
66.58783;44.15599;22.04083
66.8615;43.48536;21.92167
66.97166;43.59724;21.97359
66.6005;44.3951;22.01703
66.39917;44.39766;22.05177
66.74692;44.2038;22.0613
66.51891;44.26292;22.04542
66.65525;44.13823;22.02615
66.611;44.26188;22.06469
66.63908;44.37724;22.04047
66.63992;44.25448;22.05943
66.55642;44.48667;22.1237
67.01833;43.48391;21.95927
66.60283;44.25089;22.06167
66.60284;44.26984;22.07828
66.60567;44.26;22.04875
66.64034;44.38786;22.01687
66.41575;44.37151;22.04854
66.71091;44.12667;22.03839
66.65292;44.13552;22.02537
66.81216;43.48177;21.91703
66.59383;44.37313;21.99927
66.54342;44.37281;21.99802
66.85958;43.48271;21.91443
66.879;43.47651;21.92776
67.07075;43.60615;21.9499
66.45583;44.2751;22.05141
66.62292;44.25281;22.05427
66.8515;43.47932;21.91354
66.61041;44.37344;22.1075
66.59367;44.36292;22.01443
66.5675;44.38328;22.01568
66.60067;44.37838;22.00755
66.68083;44.38692;22.02927
66.83633;43.71682;21.98641
66.63267;44.1562;22.01807
67.12991;43.6087;21.95203
66.53609;44.28959;22.05292
66.72141;43.26922;21.59667
66.21242;44.49146;22.05146
66.6515;44.13292;22.02182
66.60059;44.24557;22.06021
66.58092;44.25479;22.05125
66.61234;44.22651;22.05896
66.80466;43.48656;21.90005
66.9135;43.47406;21.92438
66.40791;44.36615;22.04484
