K5T6.PV;K5F5.PV;K5F6X.PV;K5T17.PV
178.0313;39.98099;32.82783;131.8581
178.0225;39.03652;32.14553;132.17
178.0175;37.44667;32.98132;133.9156
178.0175;38.22592;32.75882;132.0519
178.0125;39.21481;32.70846;132.2288
178.0112;39.70647;32.84855;131.9081
178.0087;38.4;33.10723;132.2906
178.0038;39.01881;32.05647;132.1938
177.9787;39.05925;32.1672;132.1387
177.9775;38.07149;32.69032;132.3288
177.9763;38.86262;33.12199;132.8631
177.975;40.18118;32.68385;131.7275
177.9738;39.05812;32.3181;132.1212
177.97;38.62381;33.28665;132.34
177.9675;39.21797;32.78597;132.2225
177.9588;38.65094;33.20919;132.3288
177.9563;38.91967;33.06762;132.9131
177.9563;38.88788;32.98252;132.9612
177.955;37.49138;32.97034;133.8938
177.955;38.08714;32.95532;132.2369
177.9525;38.43883;33.11209;132.34
177.9512;37.68704;33.23141;134.2875
177.9512;39.31651;32.98629;131.8425
177.95;39.9191;32.74385;131.8175
177.95;36.79738;31.13385;133.6875
177.9487;40.40864;33.40384;133.1113
177.9487;40.2356;32.80235;131.7044
177.9462;38.26454;32.72066;132.0825
177.9438;38.87757;33.08583;132.9
177.9388;38.19863;32.7133;132.0731
177.9362;39.90099;32.99076;131.8687
177.93;39.01991;33.01461;132.9344
177.925;37.58072;30.94584;133.6125
177.9238;37.54044;30.95591;133.63
177.9225;38.53934;32.92707;132.8556
177.9212;38.51244;32.59222;132.0956
177.9175;39.10875;32.97196;131.8525
177.9162;39.91528;32.69747;131.7937
177.915;38.83549;32.6753;132.1281
177.915;38.55094;33.25143;132.3206
177.9137;37.97543;32.57244;132.3575
177.9125;37.23321;31.13592;133.665
177.9113;38.43449;32.96442;132.3112
177.9088;39.24299;32.78864;132.2063
177.9037;38.48026;32.50629;132.155
177.9037;38.41722;33.24714;132.3275
177.9;38.75016;32.97279;131.8475
177.9;38.05043;32.63992;132.3262
177.8963;37.56795;31.00983;133.6475
177.895;37.54181;30.78769;133.565
