K5F5.PV;K5F6X.PV
38.0472;30.34807
38.047;29.88539
38.04113;30.17946
38.03966;30.63701
38.03513;30.84838
38.03368;31.5392
38.0318;30.37938
38.02356;31.83774
38.02077;30.40298
38.01278;30.9976
38.00588;31.03296
38.00378;28.47044
37.99967;31.44617
37.99375;31.01848
37.98792;30.10041
37.98522;30.36506
37.98413;29.7005
37.98212;30.70609
37.97949;30.96939
37.97202;30.66176
37.97151;30.17406
37.96851;30.18072
37.96719;30.08672
37.96573;30.96234
37.96167;30.85631
37.95609;32.1347
37.95392;29.17756
37.95311;31.05745
37.95282;29.83171
37.95087;30.17765
37.94806;30.85585
37.94781;30.58884
37.94749;30.92038
37.94081;29.77123
37.94007;30.51501
37.93995;30.96303
37.92442;30.15414
37.91956;30.87736
37.91939;30.98241
37.91862;30.21355
37.91601;30.37199
37.91553;29.51268
37.90684;30.50048
37.90131;29.78946
37.89935;30.9202
37.89539;30.356
37.895;30.69385
37.88242;30.67967
37.88149;30.59105
37.88124;30.71887
37.88028;30.06551
37.87762;30.87836
37.87697;30.10097
37.87378;30.88369
37.86898;30.22355
37.86866;30.75024
37.86784;30.82982
37.86665;29.93367
37.86277;30.83923
37.86219;30.91115
37.85683;30.01368
37.85489;30.74631
37.84695;30.50564
37.8405;30.89369
37.84016;30.84123
37.83632;30.22705
37.83282;30.32775
37.83241;31.55595
37.82994;29.99976
37.82956;32.21232
37.82145;28.96974
37.81591;30.7111
37.81508;28.89569
37.81408;30.11942
37.80823;30.13813
37.80659;30.9233
37.80448;30.89487
37.80415;30.46846
37.80407;30.96153
37.80062;29.91961
37.79967;30.74407
37.79762;30.94465
37.79623;29.98512
37.79523;30.93318
37.79314;30.2299
37.78925;30.56859
37.78692;30.78265
37.7846;30.15229
37.7834;30.08158
37.77143;30.18646
37.766;30.8449
37.76414;29.84933
37.75727;30.10783
37.74947;30.55442
37.74885;30.22361
37.74558;30.66334
37.73687;30.72426
37.73122;30.25803
37.72322;30.77804
37.72196;30.81954
