K5L1_2.PV;K5F5.PV;K5F6X.PV
9.674109;33.50978;30.49204
9.635062;33.45978;29.9113
9.60586;39.06009;31.88136
9.60389;38.97546;31.2891
9.571078;21.93259;18.02084
9.563531;33.5783;30.90895
9.556641;33.37739;30.17063
9.413906;34.84178;29.84816
9.338109;36.05405;31.66335
9.328266;26.69;21.32633
9.198;38.92078;31.45734
9.154031;29.7193;23.34227
9.137625;33.88785;27.32204
9.051328;35.89275;29.84151
9.047719;31.57947;25.06383
8.986032;33.66782;31.421
8.971594;27.09643;21.25749
8.969625;21.93823;18.02268
8.956828;22.52752;18.74983
8.888906;40.01169;29.79261
8.885625;34.38135;27.23524
8.844609;38.38364;31.58624
8.799656;35.42776;28.54134
8.777672;23.02682;19.2616
8.770125;41.09753;30.61835
8.768484;40.13919;31.64462
8.682516;24.22474;19.78785
8.680219;31.063;25.44455
8.677594;23.63323;19.43468
8.631328;24.08517;19.06701
8.622141;22.46935;18.18943
8.619843;31.39582;25.15523
8.614922;33.49924;27.31238
8.582109;40.94683;30.29482
8.574562;24.61064;18.93047
8.543719;34.18371;29.96799
8.54339;23.24015;19.15734
8.531578;23.16599;18.25348
8.53125;23.57795;18.12784
8.528296;22.63557;19.19038
8.51189;22.82629;19.14705
8.493187;23.43538;17.93482
8.489578;22.43999;17.56286
8.438063;31.33112;24.72382
8.432485;24.71293;19.22864
8.419031;22.19548;17.85079
8.417719;32.20895;25.94438
8.415421;24.40369;19.00837
8.387859;24.7878;19.65261
8.368828;34.24489;27.61535
8.354719;25.18312;20.36419
8.350453;24.38205;19.18565
8.343562;32.36044;24.9549
8.307468;26.31671;21.86026
8.283844;32.38323;26.12594
8.28089;23.21556;19.16465
8.279906;23.72363;19.64332
8.278594;22.38852;18.28894
8.2635;25.05043;17.56866
8.224453;25.97568;21.7001
8.204765;26.63845;21.13441
8.164734;39.81937;31.30399
8.164078;31.46121;22.65062
8.150953;40.2221;30.98221
8.150625;26.76178;21.89523
8.144719;23.36654;19.02352
8.138812;29.43394;23.33228
8.112234;24.2753;19.31274
8.108625;25.71946;20.16436
8.102718;36.58669;30.04873
8.095828;40.84896;29.7514
8.084016;21.73579;20.00129
8.068266;25.11926;19.29559
8.066625;23.52798;19.78195
8.065969;24.40808;19.44448
8.058094;23.82163;19.41159
8.048906;24.36025;19.70981
8.043984;31.09849;24.99343
8.022328;33.38232;30.18181
8.016093;35.22427;27.64925
8.007891;21.673;18.4457
8.005594;34.84594;28.32324
8.003297;22.62919;19.51992
7.983609;23.62037;20.87536
7.965891;24.32376;19.8391
7.924875;23.60493;19.61163
7.918641;25.00943;19.16913
7.913719;36.39687;28.42126
7.90486;26.40432;21.16919
7.887797;30.44244;24.76682
7.877953;25.84935;20.71746
7.877297;34.32523;28.62118
7.865484;24.09357;19.10725
7.855641;22.93246;17.98206
7.839562;24.6429;22.76484
7.838906;24.50703;21.56358
7.827422;29.07133;25.05322
7.823156;33.59461;31.72066
7.821844;31.95048;25.08074
7.819547;24.58219;19.81005
7.817578;26.18316;21.79691
7.806094;23.19303;17.43623
7.803141;37.27064;29.84398
7.793625;30.40244;25.19558
7.778859;25.07949;19.55987
7.772953;25.91611;18.90043
7.764422;22.04555;18.43631
7.762781;26.59764;21.97251
7.761141;41.29942;29.92608
7.755562;35.51142;27.98454
7.738828;25.0124;19.08473
7.735547;33.86227;27.72617
7.735219;30.49868;25.92567
7.728328;23.5446;17.96193
7.727015;22.72776;18.23738
7.726031;23.10482;18.23536
7.718484;23.59774;18.06982
7.710609;28.46924;23.54391
7.696172;22.78748;19.69051
7.690266;24.52904;19.79671
7.686985;25.79339;19.77826
7.675828;25.39742;18.75623
7.672875;26.24277;21.35025
7.652859;28.07892;22.62678
7.640719;32.7667;27.40572
7.620047;24.25876;18.56951
7.615781;23.73417;18.86072
7.614469;22.84621;20.33321
7.613484;23.52588;19.252
7.613156;23.17771;18.09904
7.609547;22.68847;18.10084
7.605609;24.37246;18.72389
7.604953;31.68809;25.21549
7.600031;27.63414;20.95978
7.593797;21.54072;18.84477
7.593469;32.11935;22.50809
7.588547;21.69575;18.13306
7.58625;24.38578;19.43501
7.576406;36.58956;29.71129
7.562625;22.97051;18.62462
7.561313;31.10586;25.24935
7.561312;23.3939;19.30301
7.557703;25.66734;20.58268
7.556063;32.36794;24.76881
7.551469;24.14859;19.92227
7.537359;23.10789;17.94591
7.529812;38.39924;31.66302
7.521281;25.38423;19.84412
7.519969;29.86046;23.38327
7.518;36.62088;29.70893
7.517015;23.98526;17.3988
7.513406;23.50222;18.80695
7.512094;26.69687;19.59102
7.508484;23.47001;19.33374
7.505859;25.05079;19.125
7.504875;22.41487;18.80096
7.503562;24.28695;19.54696
7.502906;23.11344;17.77715
7.501594;26.40205;21.05026
7.500281;35.64103;28.52873
7.490766;23.66547;17.80439
7.487813;37.23844;30.96708
7.485844;38.29402;30.57963
7.48125;22.87588;18.2889
7.479281;24.86281;18.67255
7.474688;31.23631;26.08546
7.467469;24.34253;20.73757
7.466156;22.22586;18.20591
7.465172;26.42685;21.20206
7.464844;32.08176;24.88836
7.460578;29.26123;23.81222
7.459594;26.46425;21.64234
7.455984;28.24363;20.9757
7.440563;26.03425;19.24165
7.440234;35.41452;27.05217
7.435641;24.69101;19.21437
7.432687;29.57486;25.65995
7.427766;23.15268;18.43358
7.427765;24.86484;19.69009
7.427109;36.21358;29.80334
7.426125;23.48591;17.95724
7.404797;26.17322;19.02168
7.402828;26.23779;20.34538
7.394625;31.26851;25.18029
7.394297;23.71922;19.78908
7.388719;32.82048;26.7169
7.386094;22.61558;18.17147
7.384453;25.31745;19.36806
7.382813;24.59306;19.55422
7.382813;35.04807;28.02349
7.370344;29.93363;24.32967
7.363781;25.66969;19.08048
7.363453;30.92328;24.30818
7.359516;23.63008;18.32406
7.357547;26.57792;21.41744
7.357219;34.73137;25.3765
7.35525;27.6909;21.44969
7.35525;25.83475;19.3878
7.35;24.92144;19.66982
7.35;25.20816;21.72313
7.349672;33.6029;27.36973
7.349344;36.62282;29.59764
7.346719;34.70027;28.15878
7.338516;23.61492;19.05726
7.327031;22.73443;17.75977
7.325063;31.89572;25.79855
7.323094;24.97956;19.18723
7.320469;23.66367;17.85032
7.314234;34.92397;28.63191
7.312594;25.71664;20.50042
7.296187;23.74339;19.33787
7.295203;26.70134;21.48028
7.294875;23.87159;18.9647
7.293562;26.04886;20.44908
7.291265;23.79061;17.93741
7.291265;25.86684;20.81026
7.286016;25.03219;20.01512
7.283062;34.62447;27.9951
7.282078;24.94413;19.01773
7.282078;26.38521;22.36664
7.28175;36.90955;30.09636
7.280109;23.83219;17.98626
7.279781;26.81721;21.24417
7.279125;24.77154;19.08215
7.278797;22.84789;18.26356
7.275516;40.31054;31.25109
7.275187;22.821;18.44696
7.27125;34.43844;27.34008
7.269938;22.46304;18.17488
7.267313;21.6555;18.146
7.266328;25.05621;19.51139
7.261734;25.00808;20.83325
7.259438;37.45552;29.88985
7.259438;36.12277;27.85739
7.259438;23.73261;18.02261
7.256813;34.26282;27.12388
7.256485;24.22832;19.64311
7.255172;25.46101;20.0258
7.247953;25.8053;19.57016
7.246313;24.36563;19.00286
7.245656;24.15653;19.40261
7.245;25.19023;22.38225
7.243688;22.57934;17.87651
7.242703;25.15349;19.19184
7.242047;23.42905;18.15626
7.235813;32.97458;26.47311
7.232531;37.03569;29.01945
7.222359;36.77603;29.83675
7.219078;36.68015;30.06452
7.21875;25.40652;18.02299
7.214813;31.54743;25.30165
7.213172;21.76381;17.90121
7.210547;23.28064;18.39757
7.210547;35.35229;28.6659
7.208578;25.72958;19.53654
7.204312;22.09308;18.18787
7.201687;32.24294;25.65192
7.201031;22.61924;18.23387
7.196437;23.3304;18.12274
7.196109;25.42977;20.14392
7.192828;33.39368;27.11449
7.1925;37.98413;29.7005
7.191187;26.22101;20.38559
7.189219;34.12764;27.2976
7.188562;33.85837;27.34728
7.181344;22.35291;18.27986
7.180687;24.59503;19.42095
7.180031;24.19802;19.66893
7.176422;30.95732;22.90603
7.175109;24.77962;19.48473
7.170844;25.62726;20.3243
7.168547;22.45585;17.91251
7.164281;24.73148;19.57407
7.161656;23.33673;19.25278
7.155422;23.13366;18.11241
7.155094;33.44403;25.39465
7.151813;23.88804;19.16774
7.148531;23.79983;18.2171
7.146234;28.14825;21.092
7.143938;23.83501;18.19504
7.140328;24.1798;18.81407
7.137047;26.0897;20.12443
7.136719;23.71909;18.86328
7.135078;34.88424;27.97328
7.134422;24.37045;20.06962
7.130156;23.66072;20.48612
7.1295;25.20923;20.21837
7.129172;23.46325;18.34267
7.127203;24.90342;19.05881
7.126875;24.81153;20.35034
7.123922;24.48937;18.17846
7.122281;23.06876;18.21442
7.120969;28.88175;22.49429
7.119;24.72707;19.71848
7.118344;40.96408;31.67931
7.117359;33.41417;25.75504
7.115391;23.88245;19.34997
7.114406;22.68574;18.19666
7.113422;30.05771;24.19423
7.110797;23.50031;19.32863
7.109813;22.89556;18.08803
7.109484;23.68274;19.96064
7.106859;26.89977;21.96395
7.104234;22.76715;18.09472
7.098328;24.38974;19.44434
7.096688;35.12025;28.47341
7.093078;25.2727;19.20305
7.092422;33.63454;27.84066
7.092094;24.50261;19.68151
7.085859;25.24951;20.05439
7.084219;24.86515;19.36214
7.079625;23.03825;18.10733
7.078312;24.22374;18.18192
7.077984;25.88673;19.46326
7.072734;21.73212;18.34326
7.071422;24.6691;19.30114
7.071094;26.92176;21.13336
7.070766;30.11686;24.27831
7.068141;24.3321;19.61502
7.063219;23.2097;18.02798
7.062234;29.34659;21.15621
7.061906;29.67913;22.18564
7.060594;32.72091;25.74302
7.057312;23.8898;18.9465
7.056328;23.44334;18.30408
7.054688;23.6804;18.17109
7.053047;24.69288;19.20511
7.053047;24.42372;20.7476
7.052719;27.19301;21.18449
7.052719;24.56694;19.0739
7.052063;33.47363;25.57695
7.051078;23.68997;18.0989
7.050422;33.99619;27.47457
7.048453;24.83055;19.54961
7.048125;25.36027;19.67575
7.048125;24.91289;19.48627
7.044188;25.00213;20.72052
7.042875;23.84199;19.12716
7.042547;27.89971;21.61256
7.041234;23.34459;18.15441
7.04025;25.406;20.62284
7.037297;23.37291;18.07172
7.025813;33.75279;26.49303
7.024828;27.81914;20.92092
7.024172;37.1834;29.83074
7.023516;25.86049;20.48812
7.022532;32.73922;26.91798
7.022531;25.65356;19.5339
7.022531;33.77672;26.9941
7.021547;34.85428;28.59224
7.020891;41.72165;29.93844
7.020891;23.92366;17.94338
7.020235;25.11774;20.20232
7.018922;23.42687;17.66689
7.014;24.98926;19.48634
7.013016;24.38036;19.17789
7.010719;23.40395;19.25258
7.009078;23.34468;18.25305
7.00875;26.04434;22.09639
7.007766;22.83225;18.20413
7.007766;23.61181;18.14737
7.004812;23.74918;19.61215
7.004156;23.69463;19.66383
7.0035;28.1062;22.30224
7.001531;32.31322;26.02941
7.000219;25.61337;19.37012
6.991031;24.25652;19.44541
6.988078;23.96767;19.22238
6.985453;25.60679;19.514
6.983156;23.04139;18.41853
6.982828;27.18788;21.70489
6.982172;27.10201;21.60639
6.981844;25.73314;19.92151
6.977906;23.04395;19.22417
6.977906;25.61081;20.24867
6.976265;30.82334;24.14348
6.976265;41.06779;30.01916
6.975937;25.8133;19.42112
6.974953;31.99892;25.36598
6.974625;23.60079;19.75072
6.970687;24.22506;19.27361
6.969703;23.714;18.40818
6.969375;36.54505;29.35056
6.969047;23.72421;19.54746
6.96675;34.17033;25.39979
6.966422;30.09619;25.16185
6.966422;22.7829;17.88967
6.965765;23.96779;19.55094
6.965437;23.79329;19.52451
6.960515;23.35604;19.10609
6.959203;23.32631;17.94344
6.955266;23.33948;19.1504
6.954937;25.30116;19.51932
6.953953;24.28661;18.52272
6.952969;25.19553;19.42384
6.952969;26.98055;21.73894
6.950016;23.68638;19.4283
6.949687;23.02658;18.30076
6.947391;22.51887;18.09662
6.947062;24.57688;19.55399
6.944109;35.29043;28.03395
6.943781;24.31877;20.72917
6.942141;36.41312;29.76538
6.939516;23.29898;18.06235
6.938531;25.11908;19.47619
6.937875;23.84852;18.24042
6.935906;22.55881;19.85676
6.934266;25.12478;19.40527
6.933938;24.72402;19.04307
6.933609;36.78697;29.70225
6.933281;25.70313;20.47886
6.932297;23.7583;19.18021
6.932297;24.70545;19.90574
6.931969;27.67131;21.68156
6.931313;32.56224;25.59607
6.928031;24.98368;19.63723
6.926063;30.93813;25.91682
6.922781;23.42416;18.16373
6.919828;22.09694;17.45144
6.9195;22.84863;20.15624
6.919172;25.47948;18.86296
6.918844;25.10021;18.93587
6.915235;25.65374;19.46513
6.915235;25.72308;19.37515
6.915235;24.03692;19.95637
6.911953;36.1011;29.57358
6.908016;25.15345;18.84268
6.907688;26.51071;21.45949
6.904078;25.24205;21.56765
6.90375;23.72062;18.2974
6.90375;23.05881;19.43367
6.90211;33.46305;27.28596
6.901453;23.08558;18.0752
6.900469;25.6954;19.14993
6.900469;26.60513;21.57832
6.900469;25.24621;19.2959
6.897516;24.87373;19.56427
6.895875;22.39893;17.52105
6.895547;23.52565;18.01517
6.894563;21.89994;18.22032
6.892922;34.7154;27.87117
6.887016;26.22452;19.43817
6.884719;34.69224;27.79471
6.884062;25.06115;19.28724
6.881437;36.79095;28.55861
6.881437;32.10772;25.86442
6.880781;23.87662;18.13035
6.879797;34.55853;25.58184
6.878484;26.5896;20.56225
6.8775;25.19298;19.24838
6.877172;23.31268;19.35596
6.877172;23.55216;18.07498
6.873891;24.79174;18.11545
6.872906;25.24289;19.43902
6.871594;24.05894;19.3278
6.86864;32.79632;25.99149
6.86864;24.68966;20.72719
6.86864;22.05864;18.07533
6.867656;21.91607;18.45412
6.867328;33.67643;27.00118
6.867;25.72594;19.40991
6.867;23.99649;18.25909
6.85814;33.81575;25.63682
6.857484;33.87011;27.17542
6.856172;23.10014;17.68323
6.849937;24.45748;18.97186
6.849937;24.53288;19.51361
6.846984;23.61452;18.39318
6.846328;32.89848;25.88426
6.845672;34.84065;27.41728
6.844687;27.66187;21.38195
6.844687;33.45581;25.93787
6.842062;22.93814;18.09452
6.841078;22.80663;18.8674
6.840094;27.89353;21.16013
6.839437;33.82282;27.37459
6.839437;24.79142;19.51677
6.838453;22.84118;18.26459
6.837797;26.47923;22.10632
6.836812;25.35259;19.58554
6.836812;23.06353;17.96265
6.836484;25.58467;19.3551
6.835828;24.18194;19.76211
6.833859;33.5285;27.58502
6.830578;35.4165;28.42011
6.829266;26.02558;20.03214
6.825984;27.23542;21.71333
6.824016;32.22301;25.71646
6.824016;25.42878;19.2984
6.821719;23.99139;18.05327
6.821719;38.047;29.88539
6.821391;23.75504;18.80101
6.820735;22.14181;17.88914
6.819094;25.76249;17.78939
6.81811;30.66914;24.08965
6.816469;27.24002;21.42692
6.815485;27.13703;21.65182
6.814172;35.86396;28.67999
6.813516;34.59866;25.52393
6.813188;22.81019;18.09893
6.811547;25.98387;20.40327
6.810563;25.25191;19.90512
6.810563;34.71978;28.32713
6.809906;25.23798;19.38005
6.809906;28.25406;21.65577
6.809578;37.30484;29.98087
6.808266;25.39311;19.51337
6.804985;24.97283;19.01995
6.804656;34.21591;25.75588
6.803344;25.33023;20.1529
6.803344;25.73276;20.07475
6.79875;34.52138;27.38849
6.798422;24.26779;19.67487
6.796125;27.3057;21.50136
6.794813;24.49204;19.35608
6.793828;25.1071;19.58513
6.792516;25.72854;18.77946
6.791531;27.79578;22.6779
6.789235;24.97488;19.58317
6.788578;24.72082;19.31692
6.785953;24.69553;19.55861
6.785953;31.98568;26.10157
6.784969;31.50303;26.00126
6.784969;25.39181;20.40166
6.784641;24.37233;18.11881
6.781688;24.83455;19.04179
6.780703;26.75838;20.13609
6.780047;22.39974;18.17207
6.778078;35.58841;30.21338
6.778078;34.22688;30.18962
6.773156;34.27475;28.15068
6.770859;33.81046;25.5695
6.770531;24.69792;18.31335
6.770531;25.15178;19.89267
6.769219;25.03724;19.68225
6.768891;26.22369;20.12198
6.768562;24.40742;19.58549
6.766922;24.10418;19.8092
6.760687;23.45528;19.52709
6.757734;26.428;20.582
6.757734;24.48483;17.96262
6.756094;33.9219;27.02515
6.75314;22.49163;18.39457
6.75314;22.35961;19.09726
6.752484;22.94617;18.33467
6.752484;26.82374;20.30408
6.750515;26.32559;20.12504
6.749531;23.70211;18.02084
6.749203;32.86465;26.19572
6.746906;27.44613;21.47369
6.746578;26.02141;19.37242
6.743625;23.86609;19.09861
6.742969;26.26774;21.24252
6.74264;22.70642;19.97828
6.74264;33.91894;27.10133
6.742312;23.51075;19.51695
6.739687;25.18043;19.46463
6.739359;25.27589;20.61611
6.738375;34.39883;25.5837
6.738375;36.37673;29.3147
6.737062;23.09153;18.23427
6.73575;24.60704;18.70862
6.73575;23.40436;19.54925
6.73575;24.07902;19.1663
6.735422;26.33014;19.1992
6.734109;25.11526;19.4826
6.733453;22.22174;18.23137
6.729844;24.16582;17.9547
6.729187;27.79092;21.85609
6.727875;34.13463;25.72552
6.727875;23.88109;18.77192
6.727875;25.14409;19.47509
6.727875;23.52227;19.27321
6.726891;27.19156;21.74523
6.725906;24.42597;19.30523
6.725578;26.74122;19.81699
6.724594;22.50823;17.86596
6.724594;22.71487;18.19341
6.722625;25.46069;21.87856
6.720656;25.41843;20.09063
6.719672;24.26178;18.1408
6.719016;30.99729;25.28812
6.718688;25.56982;20.09472
6.715406;24.68756;18.76412
6.714422;25.74517;19.5766
6.713109;22.95116;18.31972
6.710485;25.59178;19.74583
6.709828;25.09221;19.31774
6.707531;25.259;19.26731
6.706219;24.65607;19.3329
6.70425;37.23851;31.22411
6.702281;23.86473;18.00922
6.700969;31.00479;25.96095
6.700641;27.37269;21.41703
6.700313;26.63381;20.68091
6.700313;25.23523;19.70537
6.698672;24.90042;19.41129
6.694735;23.78572;18.29292
6.694407;25.93877;18.8489
6.692766;31.0933;23.35888
6.690469;23.38692;17.51402
6.690469;31.30028;25.80186
6.689485;22.98918;18.24545
6.687844;41.29302;29.75058
6.686203;31.82482;25.89416
6.684891;26.2393;20.68258
6.684234;23.90175;17.97017
6.684234;24.18877;18.17869
6.683906;27.6895;21.42788
6.683578;22.98008;18.41168
6.68325;26.24694;21.88793
6.682922;25.33862;19.07101
6.681938;25.52362;18.74606
6.680625;36.40912;28.53815
6.679313;24.95256;19.62227
6.679313;33.73623;26.50032
6.679312;23.33973;19.5635
6.678656;23.96292;18.95575
6.676031;23.0998;17.68221
6.676031;25.44406;19.75623
6.675375;23.08388;18.49195
6.674063;25.40341;19.78075
6.673734;34.64971;25.69969
6.673734;28.3178;21.45076
6.67275;22.46808;18.12138
6.671438;25.14478;19.06932
6.670125;27.81335;21.44757
6.669797;23.10257;18.34249
6.669141;33.8957;30.1546
6.668812;23.40601;17.86928
6.668484;26.50807;21.5974
6.668156;24.95648;19.68765
6.666515;26.48052;20.79533
6.663891;25.60932;19.43247
6.663562;21.35478;20.04022
6.663234;23.25159;18.15124
6.661265;26.95107;21.55903
6.660937;24.36356;19.62699
6.660281;25.38553;19.5382
6.659625;30.12176;24.04699
