K5PS14_1.PV;K0P102_1.PV
4.18215;4.129406
4.153425;4.129387
4.151381;4.129331
4.155319;4.129331
4.152994;4.129313
4.204782;4.129294
4.150687;4.129256
4.152019;4.129238
4.152244;4.129125
4.154138;4.129069
4.151081;4.129069
4.20465;4.12905
4.158169;4.128994
4.151738;4.128994
4.152187;4.128956
4.206038;4.128956
4.203413;4.128844
4.152244;4.128769
4.151456;4.12875
4.154757;4.128731
4.153031;4.128712
4.153275;4.128694
4.152994;4.128637
4.150688;4.128637
4.156238;4.128581
4.140056;4.128469
4.150875;4.128412
4.202325;4.128375
4.201594;4.128225
4.154438;4.128206
4.148775;4.128169
4.150837;4.128075
4.149881;4.128075
4.149075;4.128056
4.15125;4.128019
4.1505;4.128
4.202456;4.128
4.194919;4.128
4.201838;4.127944
4.194788;4.127944
4.201912;4.127944
4.150669;4.127925
4.150537;4.127906
4.203863;4.127906
4.149731;4.127831
4.150669;4.127831
4.203506;4.127831
4.149094;4.127812
4.179975;4.127756
4.20165;4.127756
4.202137;4.127738
4.150444;4.127719
4.148344;4.127681
4.1505;4.127681
4.174931;4.127663
4.193625;4.127663
4.193456;4.127663
4.148756;4.127644
4.150087;4.127587
4.2075;4.127587
4.156819;4.127569
4.201538;4.127569
4.202513;4.127475
4.202775;4.127438
4.149262;4.127419
4.148269;4.1274
4.178531;4.127381
4.192912;4.127344
4.150312;4.127325
4.149506;4.127287
4.203356;4.127269
4.149806;4.12725
4.1397;4.12725
4.152956;4.127194
4.150687;4.127194
4.149188;4.127156
4.159968;4.127119
4.152487;4.127062
4.15575;4.127044
4.203863;4.127025
4.204594;4.126894
4.177856;4.126875
4.148606;4.126819
4.197356;4.126744
4.198763;4.126725
4.149544;4.126688
4.1982;4.126688
4.195069;4.126688
4.148588;4.126631
4.147162;4.126631
4.173488;4.126631
4.150537;4.126594
4.147669;4.126537
4.198594;4.126537
4.192031;4.1265
4.149394;4.126481
4.147425;4.126481
4.149281;4.126369
4.148813;4.126331
4.149862;4.126313
4.147088;4.126312
4.204256;4.126312
4.148194;4.126294
4.146563;4.126256
4.1982;4.126256
4.1466;4.126237
4.146863;4.126237
4.138406;4.1262
4.148944;4.126181
4.136888;4.126181
4.158881;4.126143
4.149619;4.126106
4.186013;4.126088
4.19925;4.126087
4.199044;4.126069
4.146281;4.125994
4.146431;4.125937
4.189969;4.125937
4.154287;4.1259
4.147744;4.1259
4.149694;4.125881
4.15155;4.125881
4.151513;4.125825
4.150519;4.125806
4.198987;4.125769
4.200825;4.125769
4.149019;4.12575
4.151288;4.12575
4.198762;4.125731
4.200037;4.125731
4.146825;4.125712
4.196569;4.125694
4.147444;4.125638
4.199287;4.1256
4.18575;4.1256
4.150219;4.125581
4.184831;4.125563
4.184194;4.125544
4.175306;4.125525
4.202869;4.125506
4.198106;4.125487
4.203338;4.125469
4.201013;4.12545
4.184719;4.125431
4.173656;4.125375
4.201031;4.125375
4.145494;4.125319
4.146525;4.1253
4.203544;4.1253
4.196906;4.1253
4.175025;4.125281
4.20255;4.125281
4.195481;4.125281
4.147294;4.125206
4.148438;4.125206
4.145944;4.125187
4.146469;4.125187
4.153913;4.125131
4.174013;4.125113
4.149094;4.125075
4.149338;4.124981
4.148438;4.124981
4.184044;4.124981
4.203487;4.124962
4.147013;4.124944
4.174931;4.124925
4.14615;4.124925
4.146375;4.124887
4.182825;4.124887
4.148194;4.124869
4.148869;4.124869
4.190794;4.124869
4.146187;4.124831
4.149094;4.124813
4.14615;4.124794
4.14795;4.124794
4.148962;4.124775
4.146825;4.124756
4.183519;4.124756
4.2024;4.124738
4.175569;4.124719
4.196456;4.124719
4.150819;4.1247
4.149;4.1247
4.150894;4.1247
4.201669;4.1247
4.147406;4.124681
4.137938;4.124681
4.200637;4.124625
4.197;4.124625
4.145587;4.124606
4.201875;4.124588
4.189631;4.124588
4.173506;4.12455
4.150519;4.12455
4.20315;4.12455
4.194244;4.12455
4.150106;4.124513
4.147669;4.124494
4.145513;4.124456
4.153706;4.124437
4.150856;4.124437
4.171631;4.124437
4.149337;4.1244
4.194075;4.1244
4.188881;4.1244
4.149225;4.124381
4.201763;4.124362
4.136569;4.124325
4.145456;4.124306
4.151081;4.124306
4.197675;4.124288
4.195275;4.124213
4.199475;4.124212
4.203319;4.124175
4.189069;4.124175
4.199194;4.124156
4.199775;4.1241
4.201838;4.1241
4.19895;4.1241
4.189781;4.1241
4.202569;4.124006
4.196606;4.124006
4.188469;4.123988
4.202063;4.123987
4.182075;4.123969
4.150012;4.12395
4.149469;4.12395
4.158131;4.12395
4.183875;4.12395
4.182675;4.12395
4.154381;4.123931
4.199044;4.123912
4.196588;4.123912
4.1955;4.123912
4.189425;4.123819
4.182075;4.123819
4.145869;4.123818
4.146975;4.1238
4.182375;4.123781
4.147275;4.123763
4.15035;4.123763
4.153631;4.123744
4.2018;4.123744
4.202794;4.123744
4.198612;4.123687
4.187531;4.123687
4.179206;4.123687
4.153725;4.123669
4.183238;4.123669
4.180069;4.123669
4.20045;4.12365
4.181794;4.12365
4.200937;4.123631
4.201406;4.123612
4.201181;4.123612
4.153294;4.123594
4.188844;4.123594
4.189238;4.123575
4.199475;4.123556
4.203244;4.123519
4.146263;4.1235
4.201238;4.1235
4.179244;4.1235
4.148925;4.123463
4.201031;4.123463
4.200075;4.123462
4.183856;4.123425
4.153088;4.123387
4.195425;4.123387
4.148063;4.123369
4.145981;4.123369
4.134825;4.123369
4.189087;4.123369
4.141125;4.12335
4.150594;4.12335
4.203131;4.12335
4.200844;4.12335
4.182787;4.12335
4.181756;4.123331
4.199363;4.123312
4.145587;4.123294
4.148494;4.123294
4.147125;4.123294
4.183725;4.123294
4.1448;4.123275
4.198969;4.123275
4.189144;4.123256
4.195087;4.123219
4.182713;4.123219
4.202025;4.1232
4.201781;4.1232
4.20375;4.123125
4.199062;4.123106
4.197;4.123106
4.146263;4.123087
4.19835;4.123087
4.200206;4.123013
4.196625;4.122994
4.201256;4.122975
4.199213;4.122956
4.201219;4.122938
4.199944;4.122919
4.2006;4.122919
4.194544;4.122919
4.173637;4.1229
4.143581;4.122881
4.204125;4.122881
4.177481;4.122881
4.198388;4.122862
4.146019;4.122844
4.205438;4.122844
4.173;4.122825
4.144031;4.122807
4.134638;4.122806
4.198987;4.122806
4.199438;4.122806
4.187456;4.122806
4.153256;4.122787
4.144856;4.122787
4.181888;4.122787
4.157156;4.122769
4.201632;4.122769
4.195538;4.122769
4.187325;4.122769
4.144294;4.12275
4.149282;4.12275
4.187457;4.12275
4.186219;4.12275
4.202531;4.122731
4.148906;4.122713
4.201369;4.122656
4.2;4.122656
4.134282;4.122638
4.144594;4.122638
4.188244;4.122637
4.143375;4.122619
4.18965;4.1226
4.143675;4.122581
4.200731;4.122581
4.194806;4.122544
4.179882;4.122525
4.168519;4.122506
4.188881;4.122506
4.184625;4.122506
4.200394;4.122488
4.200788;4.122488
4.146375;4.122469
4.185619;4.122469
4.186144;4.122469
4.203844;4.12245
4.200844;4.12245
4.182881;4.12245
4.142981;4.122431
4.133906;4.122431
4.140187;4.122431
4.203919;4.122431
4.185619;4.122431
4.176356;4.122431
4.133925;4.122413
4.205756;4.122413
4.199812;4.122413
4.201313;4.122413
4.182225;4.122413
4.143638;4.122375
4.182431;4.122375
4.151831;4.122356
4.144463;4.122356
4.14615;4.122356
4.206356;4.122356
4.200488;4.122319
4.184756;4.122319
4.170806;4.1223
4.201538;4.1223
4.198987;4.1223
4.200788;4.1223
4.1532;4.122282
4.185338;4.122281
4.187812;4.122262
4.144444;4.122244
4.201087;4.122244
4.2012;4.122244
4.186125;4.122244
4.179281;4.122244
4.183688;4.122244
4.181644;4.122225
4.15095;4.122206
4.198556;4.122206
4.195988;4.122188
4.144763;4.122169
4.194413;4.12215
4.184175;4.12215
4.181737;4.12215
4.201556;4.122131
4.144256;4.122112
4.203206;4.122112
4.196719;4.122112
4.145625;4.122075
4.205944;4.122075
4.144969;4.122037
4.203581;4.122037
4.185788;4.122037
4.144069;4.121981
4.202081;4.121981
4.134356;4.121963
4.143431;4.121963
4.201219;4.121963
4.198144;4.121963
4.181306;4.121963
4.182731;4.121963
4.202644;4.121944
4.1841;4.121944
4.180444;4.121944
4.144594;4.121943
4.142775;4.121925
4.199906;4.121925
4.200112;4.121925
4.187663;4.121925
4.196044;4.121906
4.144425;4.121888
4.206488;4.121888
4.144594;4.12185
4.205944;4.12185
4.196869;4.12185
4.181756;4.12185
4.182675;4.12185
4.151587;4.121831
4.148344;4.121831
4.204875;4.121831
4.200413;4.121831
4.200356;4.121831
4.200994;4.121813
4.151475;4.121812
4.151156;4.121812
4.198144;4.121812
4.138369;4.121794
4.142531;4.121794
4.198088;4.121775
4.139138;4.121757
4.139362;4.121757
4.148175;4.121756
4.183125;4.121756
4.144387;4.121737
4.146619;4.121737
4.143694;4.121737
4.197338;4.121737
4.144687;4.121719
4.144781;4.121681
4.205025;4.121663
4.198163;4.121663
4.191957;4.121663
4.150275;4.121644
4.205419;4.121644
4.141706;4.121625
4.2021;4.121606
4.199381;4.121606
4.14285;4.121587
4.200844;4.121587
4.200956;4.121569
4.142794;4.121531
4.206975;4.121531
4.185843;4.121531
4.179488;4.121531
4.200169;4.121512
4.198856;4.121512
4.1877;4.121512
4.1484;4.121494
4.142531;4.121494
4.204631;4.121494
4.184419;4.121494
4.201256;4.121475
4.205756;4.121475
4.198894;4.121475
4.1979;4.121475
4.194319;4.121475
4.143938;4.121456
4.202381;4.121456
4.182375;4.121456
4.16955;4.121438
4.142888;4.121438
4.143188;4.121438
4.200375;4.121438
4.181794;4.121419
4.181869;4.121419
